ID	Ion_mode	Q1	Q3	RT	Compound_name	Class_I	Class_II	Disease1	Disease2	Disease3	Disease4	Disease5	Disease6	Disease7	Disease8	Disease9	Disease10	Disease11	Disease12	Disease13	Disease14	Disease15	Disease16	Disease17	Disease18	Disease19	Disease20	Disease21	Disease22	Disease23	Disease24	Disease25	Disease26	Disease27	Disease28	Disease29	Disease30	Disease31	Disease32	Disease33	Disease34	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32	Control33	Control34
EPT0001	Negative	103.0037	-	-	Malonic acid	Organic acids	Organic acids	47203.18	113984.834	81372.644	151435.393	157794.438	101652.659	138262.903	104940.754	82540.57	165893.661	125110.127	148826.349	128597.234	134393.643	127924.689	50442.373	163892.013	109741.699	166940.776	115238.868	165556.729	174839.314	110627.11	87104.625	94349.084	221222.388	135894.741	121469.914	142306.717	103979.213	165166.168	98850.611	74979.662	134161.04	165031.788	66738.779	100428.119	154596.192	174606.104	185595.992	105263.638	261598.468	196742.305	104393.15	121510.261	171000.008	120810.869	181604.219	212208.766	103064.533	115499.457	184358.444	197173.713	149985.977	56986.715	123431.456	162484.694	164032.28	194397.19	134377.449	214545.209	108391.424	83929.726	108453.06	64278.344	223442.082	134895.662	138391.421
EPT0002	Negative	103.04007	-	-	3-Hydroxybutyric acid	Organic acids	Organic acids	1056522.307	1256570.236	1396834.337	1066887.726	1369137.678	1230144.428	775250.563	1028123.99	1260531.855	1081684.109	1677445.154	844123.429	1283383.23	714371.253	964751.426	472556.327	655523.26	706382.269	658074.432	604859.951	695581.593	1047363.187	688804.83	550333.659	695983.01	1159509.185	710346.314	1394077.128	550569.021	1116356.583	717441.39	1004234.959	605238.892	1254908.473	1672255.396	398049.425	891236.322	279073.463	446080.325	745921.585	569846.609	960296.952	732588.528	400791.893	970747.866	746448.59	766033.912	576557.753	929457.96	647754.838	708127.172	706457.457	541754.466	1263978.697	481336.376	679045.437	925161.564	848028.726	852096.594	857984.532	417728.803	599801.272	778581.655	1185854.078	618069.646	371418.346	1156136.062	771621.189
EPT0003	Negative	115.00368	-	-	Fumaric acid	Organic acids	Organic acids	3137070.284	3974462.066	3495973.291	1152248.044	1855380.014	1764809.51	2225508.773	1571803.251	3309939.478	2496839.706	2598520.71	1967633.352	1895688.868	1650182.94	2322671.837	2520338.496	1553642.218	3030099.759	3833385.159	2406670.546	3175527.913	4294312.853	3966516.257	3573736.479	2529926.724	5602806.075	1781574.059	4292244.488	3290064.549	3453740.658	1932574.289	2323291.023	3028722.577	4407316.611	3735490.281	2868446.475	1967913.18	2287634.9	5832693.025	1087316.393	4040062.338	4360071.906	3150721.697	2956460.626	4390344.128	3759410.536	4977932.248	1764279.757	3909182.74	5753625.64	3604155.879	4647215.202	2834016.223	4615904.575	1322114.55	3190897.812	2615669.556	3687685.231	4529958.665	2864261.779	1167076.385	3188327.959	3296334.875	2966838.018	2753849.523	3936277.698	2426520.865	3841404.096
EPT0004	Negative	117.01933	-	-	Succinic acid	Organic acids	Organic acids	106782650.7	113461893.4	117656999	91981881.66	100180838.8	107601514.5	101273588.2	100380522.6	118473278.3	105291972.5	93650875.01	75222173.01	100567985.2	81700565.83	88804418.23	76323279.01	88196456.54	92689663.09	116295789.1	111448723.6	114501411.1	110137910.2	130855040.7	86578771.71	117864442.5	125088633.4	89774413.24	104037005.8	108796332	155636833.3	121667167.3	95621796.79	75453158.71	89528613.36	102796773.8	93884862.68	76644282.31	110199662.2	128582522.7	76371754.47	102351169.1	132821055.5	121315035	136225971.9	141352674.2	112827194.6	91348591.79	90055095.11	118708330.5	110221414.3	84176864.54	116297459.4	81090862.4	128860714	65598823	117051814.7	120152335.1	106313530.6	140541858.2	103957546.2	97520183.37	115143069.5	104988763.2	127731014.2	69642074.46	120999920.4	92525441.32	118719715.3
EPT0005	Negative	117.01933	-	-	Methylmalonic acid	Organic acids	Organic acids	108224900.8	118460704.1	119203025.6	93360866.05	102906002.7	105929220.5	100461925.6	102753686.1	117796719.2	104925683.6	91646402.1	71146973.43	104685638.4	79325018.87	88339062.63	76879446.93	89921851.33	92498983.29	117149964.1	112949617.7	116575674	113691299.4	124892853.1	86897193.66	123484263.5	124607857.5	89878186.78	101698213.8	112766896.9	153978127.1	125853164.4	99837016.77	73098420.9	89200294.93	101269232.8	94180850.25	77757481.47	111024121.2	128484720	77752357.03	102397472.1	130659946.4	122838670.8	131265896.6	139403626.6	114865487.8	88846314.71	93403653.03	121207797.6	114119715.5	84308793.72	119302189.5	84647541.63	128370913.9	62098641.81	111981145.5	120424089	111108481.8	141049608.5	101250864.3	97617462.39	115588811.1	102415375	122896141.6	69947454.1	121953990.5	96125580.88	119060420.5
EPT0006	Negative	117.05572	-	-	β-Hydroxyisovaleric acid	Organic acids	Organic acids	404592.065	488924.98	521465.259	554258.26	548477.756	508097.424	800221.219	684349.083	558002.617	606849.137	503509.864	619521.047	487864.237	518140.836	522731.571	707489.887	484940.405	598923.94	619719.148	593017.258	634718.163	685816.391	599169.04	412642.872	560492.772	743463.614	706400.641	554663.216	384296.103	554675.308	493768.377	578455.809	585474.549	553969.317	840086.164	584424.039	470409.777	248500.78	491164.561	433676.766	636224.938	741602.898	567219.695	424983.415	581420.408	578700.88	510423.718	441787.078	579879.46	585912.492	409946.374	461229.229	485204.009	650942.161	383886.927	458902.795	533686.52	532695.842	548492.138	514015.319	325287.184	567530.225	711601.529	615952.369	493679.949	338989.774	582287.665	458920.756
EPT0007	Negative	120.02	-	-	L-Cysteine	Amino acids and derivatives	Amino acids and derivatives	752654.643	585311.047	834371.252	552387.021	709382.789	776720.512	475192.179	494656.359	420301.932	499800.651	470744.333	718822.262	524062.569	523807.648	571712.007	319235.6	293812.234	465156.917	1078272.7	533171.495	673435.128	315701.38	479447.201	311826.221	600312.116	1700259.463	252756.78	338263.103	660228.714	417864.983	454132.438	737800.735	790140.279	403898.096	389224.69	664584.804	760268.403	590752.862	1236960.075	1134845.948	610958.281	313966.072	385822.271	282265.874	338851.547	330647.393	341327.552	426723.245	740600.857	1114103.334	440816.912	401912.148	804575.564	579437.972	721408.69	890426.583	589199.752	1482675.639	413137.161	551395.08	278364.741	267651.198	449839.557	441333.854	750177.053	346874.261	935282.616	303479.911
EPT0008	Negative	121.0295	-	-	4-Hydroxybenzaldehyde	Phenolic acids	Phenolic acids	16384457.59	21681908.26	14822799.15	11172847.39	33795953.35	17794349.02	32266437.88	19953548.26	11184042.47	15942717.14	17052091.07	17542477.57	12390653.33	18806290.51	12908574.06	19306178.16	13870270.94	12179520	15391381.02	15507213.2	17729306.18	12796049.23	9118143.898	28546933.77	12439147.6	15385387.6	14405154.79	10956099.87	22210488.96	16033952.6	13950660.44	21824800.84	18702270.29	16347104.31	19603887.03	21798744.22	25681478.91	25380972.86	11413605.54	10389861.8	10352840.61	19059952.62	15989288.56	12386930.39	13359607.86	13604434.29	12925305.78	17603220.55	9115695.646	9810792.165	13848773.29	11797958	21630099.04	33304537.77	18221849.32	21217741.46	22631296.67	17687056.01	12945898.1	12111192.31	11480747.05	15683067.19	26220705.62	13912634.72	19361732.41	13673591.74	13591158.05	14663130.75
EPT0009	Negative	125.0007	-	-	2-Hydroxyethylphosphonic acid	Organic acids	Organic acids	103697.768	357206.556	166543.045	107413.719	288424.517	186671.336	206752.864	145980.005	148296.314	115198.129	167591.319	73636.751	88736.137	136699.401	117108.708	221277.207	89234.79	97651.057	195360.494	157276.769	110609.261	131045.862	277599.933	134753.627	92216.306	149316.133	192000.23	172257.91	104471.904	167561.738	88877.041	315709.342	109783.923	75500.065	181947.741	129289.297	167688.223	36012.358	129541.246	90811.321	138685.342	190765.633	123017.653	90088.974	113479.663	111995.287	178422.054	287163.629	153676.994	116493.28	138254.433	109653.014	81562.009	154719.242	325578.174	137481.643	282271.765	121846.858	140794.236	139245.744	103512.143	98727.351	360523.907	76952.027	248795.817	170653.754	143084.357	107392.241
EPT0010	Negative	129.01933	-	-	Citraconic acid	Organic acids	Organic acids	994588.756	1096227.027	1024996.413	482197.172	1573482.202	775843.534	20065.501	610370.571	392144.438	1037042.365	694394.855	996114.508	376613.512	490861.9	297249.72	1842168.987	532565.796	794111.103	661227.695	433175.183	684640.904	870866.505	48934.323	1733522.886	425299.566	848574.422	233020.205	744657.366	693339.635	674296.727	210458.85	866049.703	797194.288	1265214.218	1144852.439	798257.159	922927.279	963689.537	492015.654	214334.415	854042.17	1297874.617	1087387.338	810260.381	220533.079	603373.016	2227127.6	1131655.166	62787.112	698649.945	1148013.538	712758.343	2324693.46	4373805.459	610336.516	1446285.018	1248686.524	894168.542	441422.221	524746.376	88922.957	858906.587	1264208.285	659802.845	1107460.543	926034.172	448752.653	1030027.138
