"ID"	"Observed_species"	"Chao1"	"ACE"	"Shannon"	"Simpson"	"Pielou_J"	"Good_coverage"
"Disease1"	1351	1451.67567567568	1456.40056687761	4.76211917602308	0.983089222307395	0.660616340587777	0.9998438620615
"Disease2"	1007	1097.36842105263	1068.26726104159	4.67045163449998	0.980988529077382	0.675435054084046	0.999861668843348
"Disease3"	1521	1780.88461538462	1773.88399115241	4.925523008857	0.984200601326219	0.672231490093875	0.999756092965219
"Disease4"	1609	1947.29591836735	1839.74052455248	4.88095752275346	0.979132683793904	0.661074651240534	0.999734689092637
"Disease5"	1768	2105.58709677419	2090.95357279562	5.14465591981381	0.984688415986789	0.688008585703627	0.99966038163042
"Disease6"	1917	2049.34319526627	2039.40741093732	4.93166944433944	0.982105856617855	0.652465240468894	0.999752154907859
"Disease7"	1666	1830.2625698324	1848.5853928576	4.28614083802905	0.944106997523935	0.577788670895938	0.999754908388185
"Disease8"	1540	1722.875	1708.08946762212	4.81750013109132	0.973263797951744	0.656376509123404	0.999770309808318
"Disease9"	1603	1796.68595041322	1746.07763458685	4.87534808329811	0.986217081104173	0.66064920072935	0.999768613053849
"Disease10"	1170	1313.30769230769	1315.41791103789	4.29157024393207	0.970827036574472	0.607461659633346	0.999834581122643
"Disease11"	2275	2337.34817813765	2353.2575248525	4.97602219744525	0.982187124849959	0.643750656926261	0.999791723124295
"Disease12"	1482	1844.52631578947	1883.92463090138	5.2309312106829	0.986781266580588	0.716453268688428	0.999707101268719
"Disease13"	1368	1494.61165048544	1477.22469753052	4.36058896142202	0.976035520166272	0.60386726160786	0.999826474803499
"Disease14"	1252	1334.6	1323.13010645545	4.98146272236806	0.986545418747504	0.698417726229525	0.99987286759427
"Disease15"	1382	1511.29577464789	1458.91262928169	4.06510923925353	0.966913064218819	0.56215570434706	0.999835120337906
"Disease16"	1388	1653.46153846154	1593.42736711822	4.90659557508396	0.97870265763684	0.678116893582182	0.999793208312215
"Disease17"	1492	1851.43661971831	1904.28777299623	4.80967722370547	0.984112637761739	0.658150103045833	0.999667142375688
"Disease18"	1131	1328.4358974359	1303.17489569326	4.58513323269901	0.974774805036524	0.652144243895534	0.999823322086847
"Disease19"	1249	1346.12765957447	1372.06309615959	3.67730608180956	0.914467403798285	0.515744077951708	0.999829073206092
"Disease20"	1479	1644.648	1668.1801824683	4.89167653363712	0.982258517098221	0.670173329574984	0.999790330753237
"Disease21"	1173	1251.76388888889	1236.40451858488	4.43626497561507	0.961278223850154	0.627715324991313	0.999884674042498
"Disease22"	1529	1699.1654676259	1704.46217748037	4.81203073306203	0.982605778484032	0.656272290431168	0.999742425781998
"Disease23"	1317	1454.8407079646	1460.01593387194	4.65259241011272	0.980713393210407	0.647712663160114	0.999820716465623
"Disease24"	1705	2054.75471698113	2031.39162268816	5.43087620924444	0.992356937751349	0.729826956080106	0.999630684582519
"Disease25"	1649	1869.76335877863	1847.71052392875	4.47594227630617	0.978694102255438	0.604210043382252	0.999734290915065
"Disease26"	1533	1738	1681.57782373726	4.24849756755072	0.974002588970055	0.579210369938115	0.999777656412238
"Disease27"	2019	2448.19459459459	2386.83282744837	4.8327831330616	0.979872317422552	0.635027074343058	0.999574828119739
"Disease28"	1323	1516.8	1428.3806561507	4.55037665548791	0.978678442631106	0.633082039333496	0.99982875907409
"Disease29"	1423	1540.65217391304	1547.09581696272	5.08484936786573	0.987173947409633	0.700342062044334	0.999705272408675
"Disease30"	1372	1591.61333333333	1508.74386215008	4.79510439403584	0.983587532105538	0.663771861433247	0.999815508441502
"Disease31"	1277	1421.72115384615	1414.35107296621	4.04120702848744	0.957730575400731	0.565024485213375	0.999824130151774
"Disease32"	1146	1323.66	1296.81944975976	4.06616112149093	0.953060288751303	0.577249024924928	0.999810452396975
"Disease33"	1438	1914.59375	1774.48782995583	4.88017227393436	0.985030851945359	0.671182305486348	0.999694765684813
"Disease34"	1298	1513.0625	1468.26524075508	4.49910173287472	0.974418071261804	0.627614087776555	0.999769304042389
