"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease1"	0	0.512953684340536	0.852080975404148	0.539028444010774	0.465983322637392	0.594041023033662	0.62040800911279	0.589550874757855	0.610916000629909	0.493694936546899	0.520303365132098	0.48565022986306	0.559706277899909	0.412869438230684	0.718898696750683	0.477235891747171	0.410137987901734	0.322502878291203	0.591935654683214	0.439856950475086	0.550195443681759	0.504506391459486	0.495516767846471	0.491623803736944	0.86862670771863	0.73714476786853	0.542532387838915	0.643616300569048	0.44541181347896	0.543392460325019	0.532306825928296	0.507278206639429	0.385625038673431	0.579506147857396	0.907917524875315	0.620202290671285	0.769264478869354	0.590761605967831	0.836669813012826	0.598502657655146	0.818471389237679	0.735931911402013	0.68675208511674	0.68967222423816	0.548678016180446	0.869415884292628	0.75866475182307	0.667876895316803	0.730918001336237	0.55454901202687	0.52193447033039	0.494640000158638	0.93673711440846	0.670040327317241	0.535109998565695	0.56833501019843	0.747593339427142	0.776360264818082	0.644999286317729	0.457399406393548	0.594068572726036	0.491844869995787	0.696535781420665	0.817709605782569	0.53941957690846	0.76619008708424	0.478925591174256	0.567230795930348
"Disease2"	0.512953684340536	0	0.870804752670548	0.686515676145449	0.667676321687113	0.675728842585265	0.834664638807844	0.697281284667738	0.742199562368308	0.650928295443621	0.684364213905073	0.475083570632162	0.755185436216709	0.587039770072246	0.802639567869812	0.524603188292525	0.579727366430432	0.56618672210984	0.762197264166569	0.61620487470928	0.668181751125738	0.629603720974077	0.668711347689927	0.536250226830055	0.966143846821062	0.826344201503953	0.734994972513219	0.791886486756781	0.595590748899858	0.549335634005606	0.77681192546191	0.656532206931222	0.539827207169573	0.68751134634229	0.995488435409485	0.637601502321615	0.860809591407084	0.750822329929757	0.910988495858129	0.775222302583101	0.920287470512102	0.638195822662487	0.840952134707873	0.755743194096396	0.704796163901234	0.951367981362836	0.836076015341292	0.59092860173209	0.769713664796953	0.375417396732657	0.599253554289996	0.665797297702831	0.950148539742697	0.696993232855613	0.635768075565237	0.74382458675709	0.831828742628355	0.849770967545312	0.766462380040632	0.532449588473217	0.591779702713698	0.608473446659594	0.784038933992449	0.883098390136221	0.745347450926213	0.84574892398111	0.490603415475781	0.445759154034991
"Disease3"	0.852080975404148	0.870804752670548	0	0.759816477174435	0.762528269410906	0.855571379231238	0.883872220566761	0.720303665030592	0.752171825465746	0.876177126013807	0.809759063585079	0.774380620754168	0.65290019228268	0.857380067024112	0.868444929438957	0.809224725136934	0.853567665476836	0.868223042814477	0.860890019545275	0.807602803383833	0.867862970687969	0.836867724269061	0.786048190715645	0.798986456242454	0.572417903686888	0.695988412652518	0.794745138415415	0.791444606056673	0.841526238661185	0.745991266084839	0.799149578188478	0.888523265363789	0.817184692345931	0.843718053949319	0.960033070230433	0.751592085697334	0.802865679587197	0.860371120042493	0.55199717665044	0.872835173149263	0.833857433017533	0.81060041340675	0.84091622154189	0.657596683413503	0.869069632836742	0.849513615254108	0.852607105158874	0.818485517406601	0.857307432690566	0.763773448255344	0.831777541243695	0.887671235040956	0.68530342962356	0.75492340691264	0.832252275332672	0.793822440105273	0.586322441803418	0.819192199075274	0.78625303618766	0.812930291099768	0.821191581070606	0.720708863735711	0.841380990522727	0.733633296623236	0.828852290299761	0.907452813283972	0.658011037469201	0.815966402498021
"Disease4"	0.539028444010774	0.686515676145449	0.759816477174435	0	0.579225506744869	0.635068471396975	0.702692178667471	0.612138140732916	0.622724624906589	0.623763759959868	0.562287521329181	0.634500441590592	0.641439988553043	0.507325957309267	0.749855559442652	0.538857409962831	0.564927278794626	0.652486665450328	0.650553171632511	0.528965930115618	0.457666191056708	0.538672536180148	0.56714947931122	0.495190883046369	0.74360635717479	0.715043994372011	0.573844858355778	0.632667135535711	0.499212174496854	0.626444307805343	0.676065709191523	0.648406520901169	0.639418897535189	0.638260269510187	0.876739758832194	0.634941772909437	0.71320492968987	0.586595516614647	0.718257141663686	0.63653381460032	0.706499638486882	0.783434593447722	0.731951339290692	0.568127966530549	0.581083710737155	0.80572394763999	0.788843777975916	0.66375385889767	0.717905072019269	0.64195919269742	0.604367785762718	0.632025732912422	0.796842085364719	0.679063351584055	0.530766958616677	0.593924254952922	0.652739868868274	0.738748041512564	0.700165506608697	0.636820399545097	0.693458351155279	0.534656583065242	0.717345823445774	0.782844763436983	0.665832315563913	0.742633324742249	0.485059437740918	0.597444044629115
"Disease5"	0.465983322637392	0.667676321687113	0.762528269410906	0.579225506744869	0	0.530303490942303	0.676795491778599	0.590423182507917	0.594893414975888	0.530156237330776	0.50243731990461	0.49055883042855	0.661241011449888	0.349547503164906	0.675946462847537	0.42771957244609	0.383950998469383	0.514033249487309	0.600776682077717	0.428016728074279	0.589939163520273	0.530982236461152	0.572346465421508	0.485150527044176	0.758263935654862	0.714620157783447	0.614180513568226	0.608802390192591	0.411210139157719	0.617051205212167	0.636777709932944	0.570273652658202	0.491695973514001	0.631214325118847	0.862966514513316	0.584741029400271	0.703016673956305	0.560951426754908	0.765089804912641	0.591272278591492	0.761221578444793	0.736017350569247	0.651709819493612	0.671210903853869	0.558748593043714	0.808235830743846	0.733547439318882	0.666824818362783	0.689595553865399	0.571017273525249	0.526561087137734	0.61191592233626	0.933866852501819	0.592006059837713	0.517015042920359	0.555633176687802	0.677343546956234	0.725061969718078	0.610725280513954	0.578525004046343	0.505500516868636	0.438891640617489	0.707031497821585	0.711780492909638	0.632996728321936	0.715028542774834	0.516066260080004	0.604255477056822
"Disease6"	0.594041023033662	0.675728842585265	0.855571379231238	0.635068471396975	0.530303490942303	0	0.801230955397921	0.741628309907121	0.464401404588787	0.726627580548039	0.434544899002305	0.592738969507126	0.781871255735343	0.413311642694127	0.301711734382847	0.611132352214966	0.625944713065275	0.637380278018762	0.711119714274181	0.634543263328322	0.709883254910735	0.351659795959643	0.75609602764011	0.534220954928933	0.608397019689771	0.428512853017793	0.754965565050352	0.292284365276677	0.486381282585721	0.688866340699827	0.773322141391711	0.763013953441156	0.640495982681951	0.735797078969762	0.43701627062575	0.734078639359017	0.358476767320178	0.36283299122637	0.801824623998726	0.355609752187768	0.635695857791554	0.753064460816702	0.401258730035935	0.493116560485705	0.526251719439853	0.418379050307873	0.386302037782478	0.373596029604401	0.334263490700016	0.67056517782534	0.726346473273573	0.763144589920066	0.919083207321187	0.441800048352836	0.363475851436226	0.472925841058068	0.4243234465257	0.333676779726661	0.361475453376441	0.727434047701829	0.619012584082576	0.660985503619344	0.787568030939793	0.42405824544751	0.746091766683755	0.329807635452535	0.576318751685375	0.668276351373979
"Disease7"	0.62040800911279	0.834664638807844	0.883872220566761	0.702692178667471	0.676795491778599	0.801230955397921	0	0.657632671506226	0.769343193837815	0.662236828033256	0.708693553802832	0.729999289034729	0.70362916904685	0.67742227919592	0.848508439088443	0.705230341106023	0.662898430814525	0.648606188471905	0.744998675043899	0.626675840187967	0.635965500011219	0.726205080471803	0.683040993115258	0.740834367614312	0.908596035189469	0.871539147824685	0.657830032019802	0.786698955007523	0.644823474100108	0.755834482251578	0.657032687706225	0.696533885503926	0.641319200822506	0.695655144050271	0.958497948245888	0.737193562766253	0.854689814500965	0.761636578891435	0.885896402989608	0.775829854614238	0.728306361843636	0.893887291151968	0.810536393062651	0.848614013368465	0.749598479543668	0.926779913214752	0.864813051992005	0.860379836488928	0.888982396366276	0.766451621543996	0.712485245901041	0.673979472339556	0.954069164339648	0.795757396797128	0.724110853828515	0.730736608577902	0.858182997483354	0.880872499201553	0.7984435776453	0.65877933272909	0.788620267052164	0.655813278513435	0.715214001215869	0.890361866411585	0.596206129804863	0.85257601591068	0.734914331498144	0.723008162168669
"Disease8"	0.589550874757855	0.697281284667738	0.720303665030592	0.612138140732916	0.590423182507917	0.741628309907121	0.657632671506226	0	0.665285388418701	0.40903057724627	0.648635279084544	0.604241381181042	0.551370838263703	0.539553012306785	0.809659049009057	0.531511229391273	0.55780298480648	0.551544887938147	0.718442480437784	0.514423819701832	0.609002810516065	0.682864154572585	0.581286661747652	0.6078108591089	0.825854723981208	0.811704000876271	0.581967794171039	0.688438024574017	0.523641241262286	0.507040890146959	0.524544086308836	0.647296925286575	0.516379054278774	0.64275647779671	0.955604942726521	0.560376856053753	0.788797624726945	0.688102081753742	0.771926045683509	0.738999398784138	0.831725213948879	0.781670167932367	0.778358496076814	0.734161023180481	0.705852088900495	0.862309467474848	0.839252630064573	0.777995519533165	0.808076658329312	0.630219212413951	0.474292063644954	0.524924035160777	0.892263518670197	0.693814668801777	0.66857509487905	0.669786299516447	0.739631715340971	0.791865044157328	0.710698476432266	0.611946551041808	0.708263072661354	0.552458944524056	0.767737094388149	0.792232578687524	0.486524065742832	0.830241327869636	0.610173923285014	0.668687754294094
"Disease9"	0.610916000629909	0.742199562368308	0.752171825465746	0.622724624906589	0.594893414975888	0.464401404588787	0.769343193837815	0.665285388418701	0	0.632845804472475	0.349541480729219	0.62431789120936	0.53908475728042	0.489500663157357	0.42328469828151	0.626726860786921	0.608854063264806	0.693061360492376	0.626937679669056	0.570925353766776	0.679121917245047	0.387490959884873	0.625381201237986	0.595026646942103	0.495443202222227	0.346696643474963	0.516851990006766	0.340731796343668	0.428203041047868	0.557393938285207	0.589362969995608	0.684016308224192	0.639411745594025	0.644901995493879	0.642545818164891	0.695016326094116	0.495900428749133	0.35919040117278	0.653658174885488	0.391143258250043	0.684399830403081	0.822916320349068	0.430144627753521	0.348450263344559	0.43252221128922	0.558288110815047	0.486427716185315	0.489684070797037	0.47926643522093	0.723653420172144	0.654591622909966	0.670767303442979	0.775532098317105	0.490562729666468	0.412403782222337	0.365217412430806	0.390589395162731	0.540670953860989	0.415832207169546	0.616227536853425	0.751807084477941	0.586630399667399	0.732853414585043	0.572232422417014	0.632576323648611	0.528920974504262	0.519626536515365	0.757780194414328
"Disease10"	0.493694936546899	0.650928295443621	0.876177126013807	0.623763759959868	0.530156237330776	0.726627580548039	0.662236828033256	0.40903057724627	0.632845804472475	0	0.509817494379278	0.587656422448121	0.434575271260309	0.43449513340178	0.655245710344394	0.421678851152615	0.369835387466345	0.477865394412675	0.517249641988094	0.348124413197118	0.514944552317103	0.616445167477286	0.4123277606866	0.582603016410173	0.916937037599215	0.697144148845027	0.403308068107934	0.665143053125399	0.465894860625563	0.50346780230757	0.352570871831306	0.412761907904857	0.373797297963248	0.553937815600361	0.959022729915098	0.537423260638869	0.828179890260441	0.564181137559702	0.892611499572538	0.543279793723024	0.87499629907389	0.83150773175941	0.628546055252184	0.804587573555949	0.517009044081099	0.919146238897855	0.792021653078528	0.803125649006131	0.804271779161923	0.65896848752889	0.302781897663244	0.361905226939047	0.938980095422432	0.773679453333835	0.639740597709174	0.537190918545015	0.808309788064888	0.858658998867328	0.718522756269467	0.47437852378585	0.727791780757974	0.45196306393998	0.632165095511652	0.882433926262022	0.480443988907453	0.807134452779329	0.583757018695225	0.69537718499824
