"sample"	"NMDS1"	"NMDS2"	"Group"
"Control1"	1.00317192190729	-0.111567870226576	"Control"
"Control10"	0.420671912898804	-0.086304986652504	"Control"
"Control11"	0.0193334602930241	-0.197243173586523	"Control"
"Control12"	0.594207836803475	0.0680335432417008	"Control"
"Control13"	0.381044788286959	0.0453387509761245	"Control"
"Control14"	0.228958219128204	0.124027866810321	"Control"
"Control15"	0.31813738988606	0.158007053541439	"Control"
"Control16"	-0.366029804464469	0.351040391920558	"Control"
"Control17"	-0.740718941148654	0.150281974325006	"Control"
"Control18"	-0.515311731914608	-0.289478929293069	"Control"
"Control19"	1.00891310671249	-0.150222468006465	"Control"
"Control2"	0.183367643021681	0.0160128458804466	"Control"
"Control20"	0.0419247421688805	0.266779672349466	"Control"
"Control21"	0.0138043231087685	0.0193945466758654	"Control"
"Control22"	0.105520538915496	-0.00665525624763084	"Control"
"Control23"	0.371157741780498	-0.0157457699297106	"Control"
"Control24"	0.348544739946447	0.0463112626595971	"Control"
"Control25"	0.127659439990145	0.100735500530449	"Control"
"Control26"	-0.366597892404078	0.294724865919166	"Control"
"Control27"	-0.43566957123703	0.402765960676948	"Control"
"Control28"	-0.51003535980966	0.0234207801264327	"Control"
"Control29"	0.224808978664423	0.787814920493743	"Control"
"Control3"	0.684006813195408	-0.0943535311832756	"Control"
"Control30"	0.181219092196436	0.242103147937987	"Control"
"Control31"	0.0903855432641188	-0.419552476214897	"Control"
"Control32"	0.574847539307788	-0.13371135600475	"Control"
"Control33"	-0.103260406457039	0.119796617394337	"Control"
"Control34"	-0.426654272577893	0.277194949468709	"Control"
"Control4"	0.222192617047798	-0.337494981140294	"Control"
"Control5"	0.53099457384257	0.0296783122148619	"Control"
"Control6"	0.266012708483501	-0.129622299285412	"Control"
"Control7"	-0.217088320490733	1.17078860167771	"Control"
"Control8"	-0.179504469700415	0.574629323168778	"Control"
"Control9"	0.487415407595388	-0.0149170782082195	"Control"
"Disease1"	-0.241448599197256	-0.0219012780947771	"Disease"
"Disease10"	-0.466669216400396	-0.450953851188436	"Disease"
"Disease11"	0.0237077113521274	-1.24825135436197	"Disease"
"Disease12"	-0.381865173438115	0.196626528437232	"Disease"
"Disease13"	0.500920396552857	-0.347266283021607	"Disease"
"Disease14"	-0.206342830692258	-0.169027298784294	"Disease"
"Disease15"	0.518229592790355	-0.0741669485079652	"Disease"
"Disease16"	-0.387703690144979	-0.179992707873074	"Disease"
"Disease17"	-0.662767094834494	-0.531936254091803	"Disease"
"Disease18"	-0.724092905526245	-0.169710815687228	"Disease"
"Disease19"	-0.0711539430762753	-0.235730184493424	"Disease"
"Disease2"	-0.760707108911436	-0.0385338631926401	"Disease"
"Disease20"	-0.371262677897046	-0.340173363538334	"Disease"
"Disease21"	-0.552229451473233	-0.185623574636784	"Disease"
"Disease22"	-0.0295091098811941	-0.350575630138959	"Disease"
"Disease23"	-0.246499670351486	-0.409861398545868	"Disease"
"Disease24"	-0.67008644138192	0.426343717384295	"Disease"
"Disease25"	0.631578853270693	0.068696496358329	"Disease"
"Disease26"	0.479967889650572	-0.0992859552590186	"Disease"
"Disease27"	0.0556759495776499	0.961690839431356	"Disease"
"Disease28"	0.369561281360824	-0.0563902377924453	"Disease"
"Disease29"	-0.3645212312246	0.000697859947454342	"Disease"
"Disease3"	0.481321836804408	0.162748038003917	"Disease"
"Disease30"	-0.263875438668448	0.110417523074526	"Disease"
"Disease31"	-0.118090464623078	-0.265477578030073	"Disease"
"Disease32"	-0.589185503235758	-0.110718609814304	"Disease"
"Disease33"	-0.629895388946109	-0.253875845526988	"Disease"
"Disease34"	-0.3393584338754	-0.261167787444864	"Disease"
"Disease4"	0.15421438286898	-0.243143685700715	"Disease"
"Disease5"	-0.419344423642248	-0.0655309659539074	"Disease"
"Disease6"	0.297172810107981	0.321239962856139	"Disease"
"Disease7"	0.198267616246888	0.558307265051967	"Disease"
"Disease8"	-0.268427147654695	0.190912040616547	"Disease"
"Disease9"	0.486987316252263	-0.170395511492596	"Disease"
