"sample"	"PC1"	"PC2"	"Group"
"Control1"	18.8038843553035	-4.05472729843359	"Control"
"Control10"	4.96136035218595	4.36585852403683	"Control"
"Control11"	-3.22287303695533	-8.76664342564435	"Control"
"Control12"	16.4406622901684	-1.96784627004577	"Control"
"Control13"	12.1716388103251	-5.47842229214695	"Control"
"Control14"	6.49659142260598	1.89085587249502	"Control"
"Control15"	11.7978159029267	-0.997101907815229	"Control"
"Control16"	-3.5004092938058	4.54157725526524	"Control"
"Control17"	-9.41809181158786	-3.53198567972497	"Control"
"Control18"	-8.34447475656829	-1.14488063474189	"Control"
"Control19"	-0.0667029701964293	19.6760267596143	"Control"
"Control2"	-4.1509701344155	3.28153706182414	"Control"
"Control20"	5.03370511978184	1.41774683473569	"Control"
"Control21"	3.57165487394884	0.190181995375735	"Control"
"Control22"	-0.166506052376217	-6.84138662979196	"Control"
"Control23"	7.34783956262946	6.13129662128149	"Control"
"Control24"	13.3089871137503	-1.87713903771366	"Control"
"Control25"	6.12507387980303	-2.82815801950092	"Control"
"Control26"	-8.09221594764211	-4.0208810453609	"Control"
"Control27"	-2.58326476755527	5.05058676087571	"Control"
"Control28"	-5.87198338271632	-1.83303889712311	"Control"
"Control29"	-4.89862664603046	-2.69097926238661	"Control"
"Control3"	13.8428890046591	-2.54699812150682	"Control"
"Control30"	8.14414572885095	0.695494677825101	"Control"
"Control31"	-5.09317567577637	2.87542033419023	"Control"
"Control32"	15.2226145569053	-3.80166173871325	"Control"
"Control33"	-2.42672585972261	4.18447302797517	"Control"
"Control34"	-3.30453792661538	4.99059955848249	"Control"
"Control4"	4.09622851615974	-3.2425150119736	"Control"
"Control5"	1.50305712317331	12.8274265661107	"Control"
"Control6"	4.2809894858653	-7.5116097123876	"Control"
"Control7"	3.64915999517736	2.90735927851733	"Control"
"Control8"	-1.06146592052259	8.04587350881273	"Control"
"Control9"	3.51102963349667	-10.423392411974	"Control"
"Disease1"	-3.79694562126803	1.49021957869042	"Disease"
"Disease10"	-8.576405554114	-2.93078046417763	"Disease"
"Disease11"	0.891671153366875	-4.82919606624955	"Disease"
"Disease12"	-3.28847725827785	1.88127977945698	"Disease"
"Disease13"	-6.00281515377435	4.19979688251565	"Disease"
"Disease14"	0.0450140505511929	1.44983170467047	"Disease"
"Disease15"	6.04439361573782	-7.71822667600971	"Disease"
"Disease16"	-6.63286374369111	-1.03771971637427	"Disease"
"Disease17"	-6.05469179213042	-0.858307150370127	"Disease"
"Disease18"	-6.02836133231527	2.85743118463138	"Disease"
"Disease19"	-11.4705728878043	-17.3295272872259	"Disease"
"Disease2"	-4.34454330023342	3.92629837928423	"Disease"
"Disease20"	-6.47657463774929	-1.76327032968437	"Disease"
"Disease21"	-6.53321543469324	1.16276091978116	"Disease"
"Disease22"	3.58382669288652	-2.04572300426614	"Disease"
"Disease23"	-7.04235543667116	-2.0193475785573	"Disease"
"Disease24"	-1.98042754933738	2.57940186257784	"Disease"
"Disease25"	6.31202693239832	7.42149013887986	"Disease"
"Disease26"	4.11257763065433	-2.56692071207758	"Disease"
"Disease27"	-6.89638370084872	-2.27792715088894	"Disease"
"Disease28"	6.14511091320571	-3.71745284139443	"Disease"
"Disease29"	-0.884470461712532	-0.251892327547329	"Disease"
"Disease3"	-0.763722089350637	9.23116406193177	"Disease"
"Disease30"	-4.63427987680745	3.9386372713218	"Disease"
"Disease31"	-10.0952352712715	-7.42170808683602	"Disease"
"Disease32"	-11.1761710039677	-9.98399524774545	"Disease"
"Disease33"	-6.41371590097309	0.552135516219662	"Disease"
"Disease34"	-5.77716826146616	0.379938686067294	"Disease"
"Disease4"	-1.36814947258335	4.98465432826555	"Disease"
"Disease5"	-1.28700133805163	2.14922600148916	"Disease"
"Disease6"	8.15774796819645	-0.606412052222658	"Disease"
"Disease7"	-3.3860308987975	4.78894516075813	"Disease"
"Disease8"	-5.05981005329096	5.08152585292464	"Disease"
"Disease9"	2.57071552895357	-0.229277858271478	"Disease"
