"sample"	"PC1"	"PC2"	"Group"
"Control1"	0.594176441654601	0.118852798662075	"Control"
"Control10"	0.257325752163578	-0.215373461194012	"Control"
"Control11"	-0.0170521985477442	0.179515377953216	"Control"
"Control12"	0.543590657650783	0.0281351560870256	"Control"
"Control13"	0.415648615909232	0.141146797494915	"Control"
"Control14"	0.280828737899528	0.0273096432767923	"Control"
"Control15"	0.399873158015107	0.0878345237687565	"Control"
"Control16"	-0.228676455889516	-0.0917390116230922	"Control"
"Control17"	-0.315443714511067	0.0998519520903867	"Control"
"Control18"	-0.32099054336825	0.083705076444917	"Control"
"Control19"	0.103446906188805	-0.635057997459261	"Control"
"Control2"	-0.225084806522045	-0.0422003061490893	"Control"
"Control20"	0.230723008533477	-0.0117910865620368	"Control"
"Control21"	0.110194476568953	0.0934175228169235	"Control"
"Control22"	0.0846383732127377	0.130181101281781	"Control"
"Control23"	0.355875795430641	-0.229809420086944	"Control"
"Control24"	0.453069743014764	0.0668642257147215	"Control"
"Control25"	0.266719359307078	0.091825499167766	"Control"
"Control26"	-0.290903965738795	0.0769220783759601	"Control"
"Control27"	-0.194068807913525	-0.106079758088249	"Control"
"Control28"	-0.242496498487733	0.00961797366082204	"Control"
"Control29"	-0.133042898873207	0.028809383416862	"Control"
"Control3"	0.43422447979302	0.0564944012138417	"Control"
"Control30"	0.421502650507624	-0.00891297713272965	"Control"
"Control31"	-0.207073502646978	-0.0763923455467661	"Control"
"Control32"	0.423338450904069	0.15829534756618	"Control"
"Control33"	-0.149396151338577	-0.170810323314158	"Control"
"Control34"	-0.239266261599373	-0.0750542700942405	"Control"
"Control4"	0.131723149908017	0.175519907223622	"Control"
"Control5"	0.178234232579213	-0.548553160562306	"Control"
"Control6"	0.17746340150975	0.236309167068813	"Control"
"Control7"	0.269126048044523	-0.0199338838040466	"Control"
"Control8"	-0.0344214453906116	-0.193555477597922	"Control"
"Control9"	0.265945965535025	0.206670691790269	"Control"
"Disease1"	-0.236279053026829	0.052966805886604	"Disease"
"Disease10"	-0.314848336829965	0.119133274769027	"Disease"
"Disease11"	0.0713466956839476	0.145129877889747	"Disease"
"Disease12"	-0.189541150291433	-0.0298731752086585	"Disease"
"Disease13"	-0.226163980338254	-0.211558890430388	"Disease"
"Disease14"	-0.0625947951239983	0.120418179329804	"Disease"
"Disease15"	0.308172327926719	0.199782121470127	"Disease"
"Disease16"	-0.290039683403745	0.0546979157019616	"Disease"
"Disease17"	-0.305605954812364	0.107877216899138	"Disease"
"Disease18"	-0.328951959022487	0.0214284831480153	"Disease"
"Disease19"	-0.157651750367703	0.138049188447976	"Disease"
"Disease2"	-0.243604130566735	-0.0480887442332009	"Disease"
"Disease20"	-0.2773995089255	0.0867033013285517	"Disease"
"Disease21"	-0.289410217551528	0.0742708637555047	"Disease"
"Disease22"	0.111016885371916	0.147340265369898	"Disease"
"Disease23"	-0.288589338167131	0.0459258223353015	"Disease"
"Disease24"	-0.158774383604196	-0.0286338701668863	"Disease"
"Disease25"	0.417850200126452	-0.344636160593348	"Disease"
"Disease26"	0.318514830321973	-0.0361485532919174	"Disease"
"Disease27"	-0.228990519043701	-0.0215709517700303	"Disease"
"Disease28"	0.273104582378012	0.0870291880574076	"Disease"
"Disease29"	-0.0846560144025198	0.104226783929067	"Disease"
"Disease3"	0.0425016462150288	-0.519055880481482	"Disease"
"Disease30"	-0.228199500885034	-0.103051287625527	"Disease"
"Disease31"	-0.250343771844775	0.0402256649012851	"Disease"
"Disease32"	-0.326406289573177	0.150654702635953	"Disease"
"Disease33"	-0.345193322917677	0.0630916828262156	"Disease"
"Disease34"	-0.260199367400657	0.0519872260864375	"Disease"
"Disease4"	-0.105791142903347	-0.110665000963334	"Disease"
"Disease5"	-0.135277209629901	0.0163247894374314	"Disease"
"Disease6"	0.261330264017437	0.124801696910405	"Disease"
"Disease7"	-0.198905878616853	-0.0363390657003644	"Disease"
"Disease8"	-0.228703983593441	-0.12160221654569	"Disease"
"Disease9"	0.158531657298361	-0.0128563999658216	"Disease"
