"variable"	"index"
"Disease1"	47.598911
"Disease2"	28.8589889
"Disease3"	1.734579
"Disease4"	26.45012
"Disease5"	32.89827
"Disease6"	-42.14672
"Disease7"	56.960597
"Disease8"	53.216936
"Disease9"	2.5766
"Disease10"	74.040414
"Disease11"	4.18884
"Disease12"	17.950238
"Disease13"	52.98945
"Disease14"	16.68556
"Disease15"	-37.36493
"Disease16"	47.404459
"Disease17"	58.322424
"Disease18"	62.5909217
"Disease19"	62.485021
"Disease20"	53.454349
"Disease21"	67.773655
"Disease22"	-12.50766
"Disease23"	63.888465
"Disease24"	18.79292
"Disease25"	-32.619189
"Disease26"	-21.92781
"Disease27"	43.78402
"Disease28"	-30.89948
"Disease29"	25.59045
"Disease30"	37.534143
"Disease31"	74.46699
"Disease32"	70.8828312
"Disease33"	55.6712379
"Disease34"	56.127613
"Control1"	-95.1397777
"Control2"	28.85501
"Control3"	-66.591664
"Control4"	-1.18738
"Control5"	-19.720875
"Control6"	-11.59725
"Control7"	-14.72662
"Control8"	-4.821061
"Control9"	-16.07929
"Control10"	-35.395073
"Control11"	27.35902
"Control12"	-83.340618
"Control13"	-59.96558
"Control14"	-41.100801
"Control15"	-58.638988
"Control16"	16.048243
"Control17"	68.992889
"Control18"	79.192141
"Control19"	-1.488914
"Control20"	-27.201295
"Control21"	-7.56942
"Control22"	8.85279
"Control23"	-37.67424
"Control24"	-70.372781
"Control25"	-30.74517
"Control26"	47.8296213
"Control27"	19.869449
"Control28"	40.635
"Control29"	-11.15433
"Control30"	-50.648706
"Control31"	50.00084
"Control32"	-71.95921
"Control33"	18.222256
"Control34"	19.6443856
