"variable"	"index"
"Disease1"	54.29672
"Disease2"	26.35185
"Disease3"	-32.15851
"Disease4"	31.59812
"Disease5"	33.90095
"Disease6"	11.413088
"Disease7"	61.576977
"Disease8"	46.08314
"Disease9"	23.026503
"Disease10"	76.696829
"Disease11"	32.893181
"Disease12"	14.815225
"Disease13"	54.6836655
"Disease14"	39.69863
"Disease15"	24.423754
"Disease16"	45.307989
"Disease17"	61.433431
"Disease18"	60.465585
"Disease19"	70.85535
"Disease20"	56.248969
"Disease21"	68.458059
"Disease22"	22.537623
"Disease23"	62.367179
"Disease24"	23.029303
"Disease25"	-8.49292
"Disease26"	21.994917
"Disease27"	55.145022
"Disease28"	19.184684
"Disease29"	42.760536
"Disease30"	37.896033
"Disease31"	77.22468
"Disease32"	70.847741
"Disease33"	53.43464
"Disease34"	55.229971
"Control1"	-0.316070605
"Control2"	25.78623
"Control3"	0.507716
"Control4"	40.755519
"Control5"	-6.404014
"Control6"	37.105144
"Control7"	-10.69208
"Control8"	-6.63452
"Control9"	33.798287
"Control10"	1.469405
"Control11"	49.928827
"Control12"	-2.5442096
"Control13"	8.805286
"Control14"	-2.90056
"Control15"	-3.206268
"Control16"	0.261109999999999
"Control17"	62.560886
"Control18"	80.475679
"Control19"	1.6098124
"Control20"	-0.790453000000001
"Control21"	22.051339
"Control22"	35.14207
"Control23"	1.134845
"Control24"	-2.755666
"Control25"	9.805962
"Control26"	40.819431
"Control27"	10.09017
"Control28"	32.98396
"Control29"	23.523664
"Control30"	-18.7303478
"Control31"	62.89267
"Control32"	9.34196
"Control33"	16.33742
"Control34"	9.41342
