"variable"	"index"
"Disease1"	47.113886
"Disease2"	22.956302
"Disease3"	2.5404262
"Disease4"	24.619087
"Disease5"	25.429552
"Disease6"	6.911877
"Disease7"	31.2232809
"Disease8"	50.204349
"Disease9"	21.1230045
"Disease10"	66.6218169
"Disease11"	28.720888
"Disease12"	17.78259
"Disease13"	42.0502381
"Disease14"	31.794924
"Disease15"	22.917896
"Disease16"	39.50527
"Disease17"	42.702215
"Disease18"	53.157689
"Disease19"	60.523511
"Disease20"	46.622104
"Disease21"	52.546066
"Disease22"	18.4591326
"Disease23"	45.004338
"Disease24"	17.198272
"Disease25"	1.477058
"Disease26"	21.0506796
"Disease27"	46.089523
"Disease28"	18.7567643
"Disease29"	36.351886
"Disease30"	28.966837
"Disease31"	71.2774826
"Disease32"	55.954867
"Disease33"	43.246142
"Disease34"	31.1895641
"Control1"	-0.038653115
"Control2"	27.004008
"Control3"	3.70704
"Control4"	26.2843749
"Control5"	-0.911914
"Control6"	29.6250311
"Control7"	14.212295
"Control8"	-4.4394742
"Control9"	32.7463541
"Control10"	3.735179
"Control11"	37.432702
"Control12"	-1.102794
"Control13"	7.436661
"Control14"	1.460739
"Control15"	2.309542
"Control16"	11.50952
"Control17"	57.14775
"Control18"	70.9542033
"Control19"	1.4578941
"Control20"	1.592736
"Control21"	13.805107
"Control22"	28.319153
"Control23"	4.7983195
"Control24"	-0.620214
"Control25"	11.006739
"Control26"	41.0634
"Control27"	8.897729
"Control28"	33.00787
"Control29"	25.4387972
"Control30"	-2.9723713
"Control31"	55.289203
"Control32"	6.973444
"Control33"	16.208053
"Control34"	8.096414
