"variable"	"index"
"Disease1"	41.5463543
"Disease2"	19.1201921
"Disease3"	3.0191393
"Disease4"	21.0331042
"Disease5"	24.9854659
"Disease6"	6.784736
"Disease7"	31.4535989
"Disease8"	43.12476
"Disease9"	20.7057385
"Disease10"	64.8768242
"Disease11"	30.6772622
"Disease12"	20.353608
"Disease13"	42.0541039
"Disease14"	26.4092768
"Disease15"	22.9548527
"Disease16"	33.2989296
"Disease17"	42.3578792
"Disease18"	53.5326444
"Disease19"	60.534052
"Disease20"	45.215532
"Disease21"	37.6502394
"Disease22"	18.8887946
"Disease23"	45.3516442
"Disease24"	19.9521338
"Disease25"	1.666983
"Disease26"	21.3337639
"Disease27"	45.1015956
"Disease28"	19.3278752
"Disease29"	29.1121802
"Disease30"	29.9529671
"Disease31"	71.0268767
"Disease32"	55.3878
"Disease33"	43.7680615
"Disease34"	31.236359
"Control1"	-0.235513999
"Control2"	26.28035
"Control3"	3.9086602
"Control4"	26.190988
"Control5"	-0.49676
"Control6"	29.526418
"Control7"	14.6456064
"Control8"	-2.0302935
"Control9"	32.6736118
"Control10"	4.3603099
"Control11"	37.4630413
"Control12"	-1.012249
"Control13"	7.772624
"Control14"	1.520136
"Control15"	2.798275
"Control16"	12.5872249
"Control17"	57.2636467
"Control18"	70.7750245
"Control19"	1.4584241
"Control20"	3.890949
"Control21"	12.9637229
"Control22"	29.1814139
"Control23"	5.1087988
"Control24"	1.100849
"Control25"	12.485122
"Control26"	41.9948526
"Control27"	10.2105627
"Control28"	32.0345211
"Control29"	-9.52384
"Control30"	-1.7997425
"Control31"	56.1352132
"Control32"	7.121443
"Control33"	17.871713
"Control34"	8.2210538
