"variable"	"index"
"Disease1"	54.611182
"Disease2"	26.527951
"Disease3"	2.882772
"Disease4"	33.461684
"Disease5"	44.459146
"Disease6"	11.736281
"Disease7"	66.2596137
"Disease8"	55.896761
"Disease9"	24.1265788
"Disease10"	77.811612
"Disease11"	34.818376
"Disease12"	21.21665
"Disease13"	54.6339636
"Disease14"	40.354513
"Disease15"	24.699489
"Disease16"	49.18562
"Disease17"	62.778677
"Disease18"	61.712001
"Disease19"	70.232722
"Disease20"	58.560726
"Disease21"	70.866165
"Disease22"	24.2760996
"Disease23"	65.136039
"Disease24"	25.739984
"Disease25"	1.8239979
"Disease26"	22.7411825
"Disease27"	56.928921
"Disease28"	21.3857624
"Disease29"	46.005419
"Disease30"	40.039696
"Disease31"	77.9005098
"Disease32"	69.525085
"Disease33"	55.579632
"Disease34"	57.9976049
"Control1"	-0.037826311
"Control2"	37.133983
"Control3"	5.788509
"Control4"	41.5776139
"Control5"	-0.494662
"Control6"	37.865162
"Control7"	16.0625466
"Control8"	-4.099092
"Control9"	34.7260285
"Control10"	4.943577
"Control11"	51.4802798
"Control12"	-0.9751542
"Control13"	8.51015
"Control14"	2.354598
"Control15"	2.9293209
"Control16"	15.761598
"Control17"	70.35166
"Control18"	81.91365
"Control19"	1.7601052
"Control20"	3.150416
"Control21"	26.555765
"Control22"	39.090946
"Control23"	5.5758132
"Control24"	-0.102263
"Control25"	13.085484
"Control26"	47.26112
"Control27"	17.862038
"Control28"	43.948108
"Control29"	28.608677
"Control30"	-2.8406768
"Control31"	63.924274
"Control32"	9.649767
"Control33"	23.430225
"Control34"	19.275226
