"variable"	"index"
"Disease1"	55.8696469
"Disease2"	28.8588603
"Disease3"	2.026056
"Disease4"	34.6902669
"Disease5"	44.520327
"Disease6"	12.826622
"Disease7"	67.1179638
"Disease8"	54.346767
"Disease9"	24.2719172
"Disease10"	78.0354657
"Disease11"	38.62279
"Disease12"	22.412087
"Disease13"	55.3143385
"Disease14"	41.5125874
"Disease15"	25.3348733
"Disease16"	50.062699
"Disease17"	62.888504
"Disease18"	62.729433
"Disease19"	71.7684156
"Disease20"	59.031595
"Disease21"	71.5883139
"Disease22"	24.610399
"Disease23"	65.8612566
"Disease24"	27.696682
"Disease25"	2.425805
"Disease26"	22.740208
"Disease27"	57.9670656
"Disease28"	22.0967168
"Disease29"	46.3360445
"Disease30"	40.601345
"Disease31"	77.9739891
"Disease32"	72.3221349
"Disease33"	57.0701192
"Disease34"	58.3763068
"Control1"	-0.44535055
"Control2"	35.678749
"Control3"	5.3534043
"Control4"	41.6120062
"Control5"	0.9747708
"Control6"	37.8931944
"Control7"	16.790271
"Control8"	-2.475367
"Control9"	34.063959
"Control10"	4.223643
"Control11"	51.7101161
"Control12"	-1.2159161
"Control13"	10.504572
"Control14"	2.346426
"Control15"	2.731406
"Control16"	15.276585
"Control17"	70.1740822
"Control18"	82.1028621
"Control19"	1.6320723
"Control20"	6.55824
"Control21"	25.60628
"Control22"	40.077706
"Control23"	5.03517
"Control24"	1.210314
"Control25"	14.294881
"Control26"	48.2126406
"Control27"	17.21394
"Control28"	43.7978
"Control29"	28.3403942
"Control30"	-9.02617
"Control31"	64.419052
"Control32"	9.7045516
"Control33"	21.115048
"Control34"	18.668521
