"variable"	"index"
"Disease1"	-9.39442
"Disease2"	-0.7263906
"Disease3"	-41.456063
"Disease4"	-36.245433
"Disease5"	-14.7121629
"Disease6"	-59.3364644
"Disease7"	-10.971788
"Disease8"	-10.252767
"Disease9"	-60.5529646
"Disease10"	-4.74740384
"Disease11"	-37.341332
"Disease12"	-9.108321
"Disease13"	-34.780101
"Disease14"	-25.7453428
"Disease15"	-65.0625893
"Disease16"	-5.2384349
"Disease17"	-6.045603
"Disease18"	-1.2120873
"Disease19"	-9.0822047
"Disease20"	-9.004767
"Disease21"	-2.9948913
"Disease22"	-38.152805
"Disease23"	-5.627901
"Disease24"	-15.60822
"Disease25"	-74.535168
"Disease26"	-66.9580169
"Disease27"	-23.9011165
"Disease28"	-63.2673425
"Disease29"	-22.51034
"Disease30"	-13.9705749
"Disease31"	-10.4900103
"Disease32"	-0.2337128
"Disease33"	-1.9443077
"Disease34"	7.947137
"Control1"	-99.28300926
"Control2"	-23.1489168
"Control3"	-80.8236149
"Control4"	-47.9644485
"Control5"	-79.579301
"Control6"	-50.711424
"Control7"	-34.93990419
"Control8"	-10.3968649
"Control9"	-54.0836375
"Control10"	-71.106483
"Control11"	-25.557854
"Control12"	-93.24060846
"Control13"	-72.6900902
"Control14"	-49.642304
"Control15"	-69.55214928
"Control16"	-3.7886017
"Control17"	-2.1788975
"Control18"	-2.89818469
"Control19"	-95.13028395
"Control20"	-39.8373225
"Control21"	-39.5724322
"Control22"	-37.1392801
"Control23"	-79.2777283
"Control24"	-76.39207079
"Control25"	-49.3856471
"Control26"	-1.7336304
"Control27"	-6.838146
"Control28"	-4.93761
"Control29"	-38.038115
"Control30"	-61.9780998
"Control31"	-18.6867311
"Control32"	-83.68732707
"Control33"	-30.2781008
"Control34"	-3.6528995
