"variable"	"index"
"Disease1"	46.727508
"Disease2"	28.4647078
"Disease3"	-25.590262
"Disease4"	-1.47434
"Disease5"	31.50682
"Disease6"	-44.21356
"Disease7"	57.739181
"Disease8"	48.225894
"Disease9"	-35.14334
"Disease10"	72.925362
"Disease11"	1.20866
"Disease12"	16.846489
"Disease13"	20.39527
"Disease14"	15.48435
"Disease15"	-39.01995
"Disease16"	45.049411
"Disease17"	57.493781
"Disease18"	62.0152221
"Disease19"	62.01251
"Disease20"	50.679849
"Disease21"	67.421874
"Disease22"	-13.78002
"Disease23"	58.546016
"Disease24"	13.31523
"Disease25"	-74.865842
"Disease26"	-42.96342
"Disease27"	33.50101
"Disease28"	-40.79406
"Disease29"	24.28025
"Disease30"	27.41557
"Disease31"	67.77318
"Disease32"	70.9474863
"Disease33"	55.466536
"Disease34"	55.500009
"Control1"	-97.77110274
"Control2"	17.39091
"Control3"	-73.417856
"Control4"	-5.89961
"Control5"	-76.381663
"Control6"	-13.36866
"Control7"	-15.30441
"Control8"	-7.058581
"Control9"	-17.54283
"Control10"	-63.327823
"Control11"	26.56217
"Control12"	-91.6745151
"Control13"	-61.55452
"Control14"	-43.324884
"Control15"	-64.77563
"Control16"	15.423164
"Control17"	68.511954
"Control18"	79.008822
"Control19"	-91.55697
"Control20"	-29.497831
"Control21"	-10.10869
"Control22"	5.69098
"Control23"	-71.97642
"Control24"	-73.174019
"Control25"	-32.67923
"Control26"	46.817458
"Control27"	15.048569
"Control28"	36.486516
"Control29"	-11.6225
"Control30"	-59.7821226
"Control31"	45.71279
"Control32"	-73.291936
"Control33"	0.334769999999999
"Control34"	19.445068
