"variable"	"index"
"Disease1"	47.35836
"Disease2"	28.561838
"Disease3"	1.705018
"Disease4"	26.05713
"Disease5"	32.21743
"Disease6"	-42.3489
"Disease7"	56.492451
"Disease8"	53.054149
"Disease9"	2.43138
"Disease10"	73.185955
"Disease11"	3.90731
"Disease12"	17.756194
"Disease13"	52.66507
"Disease14"	15.93218
"Disease15"	-37.41533
"Disease16"	46.705457
"Disease17"	57.651122
"Disease18"	62.1236926
"Disease19"	62.087458
"Disease20"	52.985355
"Disease21"	67.278573
"Disease22"	-12.81834
"Disease23"	63.004871
"Disease24"	18.2898
"Disease25"	-32.62737
"Disease26"	-21.99117
"Disease27"	43.38656
"Disease28"	-30.96966
"Disease29"	25.02146
"Disease30"	37.475293
"Disease31"	74.30642
"Disease32"	70.5284752
"Disease33"	55.3199936
"Disease34"	55.80488
"Control1"	-95.1397881
"Control2"	28.13624
"Control3"	-66.625373
"Control4"	-1.61698
"Control5"	-19.732508
"Control6"	-11.90363
"Control7"	-14.75263
"Control8"	-4.823523
"Control9"	-16.14286
"Control10"	-35.430355
"Control11"	27.09215
"Control12"	-83.341149
"Control13"	-59.99791
"Control14"	-41.198141
"Control15"	-58.670711
"Control16"	15.92638
"Control17"	68.335185
"Control18"	78.931255
"Control19"	-1.513705
"Control20"	-27.248298
"Control21"	-7.77463
"Control22"	8.70572
"Control23"	-37.719149
"Control24"	-70.384285
"Control25"	-30.84789
"Control26"	47.5747645
"Control27"	19.592316
"Control28"	40.297548
"Control29"	-11.27677
"Control30"	-50.6506312
"Control31"	49.7563
"Control32"	-72.04731
"Control33"	17.855324
"Control34"	19.4577965
