"variable"	"index"
"Disease1"	-9.31428
"Disease2"	-0.8512095
"Disease3"	-29.51655
"Disease4"	-36.51048
"Disease5"	-13.93174
"Disease6"	-58.64414
"Disease7"	-10.09902
"Disease8"	-8.852221
"Disease9"	-60.25013
"Disease10"	-4.434718
"Disease11"	-36.63132
"Disease12"	-7.801522
"Disease13"	-34.833
"Disease14"	-25.54444
"Disease15"	-64.88711
"Disease16"	-5.009859
"Disease17"	-5.776042
"Disease18"	-1.114679
"Disease19"	-9.175973
"Disease20"	-8.418975
"Disease21"	-3.631678
"Disease22"	-39.84991
"Disease23"	-6.771732
"Disease24"	-15.53389
"Disease25"	-78.55164
"Disease26"	-66.69897
"Disease27"	-24.46027
"Disease28"	-63.34619
"Disease29"	-22.33463
"Disease30"	-14.26367
"Disease31"	-10.23668
"Disease32"	-0.3756325
"Disease33"	-1.21062
"Disease34"	-2.777396
"Control1"	-98.888
"Control2"	-21.25466
"Control3"	-80.35544
"Control4"	-47.59883
"Control5"	-79.12872
"Control6"	-51.68554
"Control7"	-32.19156
"Control8"	-8.691689
"Control9"	-53.3646
"Control10"	-70.12291
"Control11"	-25.57968
"Control12"	-92.8898
"Control13"	-72.61307
"Control14"	-48.27853
"Control15"	-68.92393
"Control16"	-3.450098
"Control17"	-1.71994
"Control18"	-2.88794
"Control19"	-94.82179
"Control20"	-39.41505
"Control21"	-37.73101
"Control22"	-37.40965
"Control23"	-78.56283
"Control24"	-76.23463
"Control25"	-49.16946
"Control26"	-1.835298
"Control27"	-6.530568
"Control28"	-8.297253
"Control29"	-40.80741
"Control30"	-61.02273
"Control31"	-19.12157
"Control32"	-83.47558
"Control33"	-26.02983
"Control34"	-1.67131
