"variable"	"index"
"Disease1"	-9.973603
"Disease2"	-1.524518
"Disease3"	-43.10927
"Disease4"	-37.25034
"Disease5"	-15.8855
"Disease6"	-60.33805
"Disease7"	-11.6955
"Disease8"	-12.04218
"Disease9"	-60.80913
"Disease10"	-5.125848
"Disease11"	-40.33149
"Disease12"	-10.02513
"Disease13"	-35.21734
"Disease14"	-26.39463
"Disease15"	-65.36767
"Disease16"	-6.17359
"Disease17"	-7.757827
"Disease18"	-1.919887
"Disease19"	-9.429987
"Disease20"	-9.997154
"Disease21"	-4.239994
"Disease22"	-41.41409
"Disease23"	-8.173556
"Disease24"	-17.92681
"Disease25"	-79.96209
"Disease26"	-67.39365
"Disease27"	-25.16397
"Disease28"	-63.81357
"Disease29"	-23.13921
"Disease30"	-16.39357
"Disease31"	-11.02472
"Disease32"	-0.8328341
"Disease33"	-2.723455
"Disease34"	-4.176032
"Control1"	-99.48748
"Control2"	-23.83966
"Control3"	-81.37759
"Control4"	-48.61532
"Control5"	-79.99512
"Control6"	-52.20644
"Control7"	-35.27891
"Control8"	-12.08142
"Control9"	-54.6984
"Control10"	-72.08174
"Control11"	-26.15584
"Control12"	-93.60603
"Control13"	-73.20347
"Control14"	-50.17749
"Control15"	-69.94023
"Control16"	-4.752327
"Control17"	-2.76198
"Control18"	-3.207905
"Control19"	-95.30332
"Control20"	-41.41312
"Control21"	-40.76563
"Control22"	-37.93282
"Control23"	-79.51486
"Control24"	-76.73633
"Control25"	-50.21102
"Control26"	-2.59692
"Control27"	-10.27651
"Control28"	-11.00424
"Control29"	-44.7251
"Control30"	-62.96367
"Control31"	-19.54264
"Control32"	-84.02571
"Control33"	-31.49665
"Control34"	-5.090376
