"FDR"	"class"	"Control"	"Disease"	"max"	"min"	"LDAscore"	"Pvalues"	"color"
"p__Bacteroidetes"	0.0038858	"Disease"	23.7968832023529	46.1255491376471	46.1255491376471	23.7968832023529	6	9.6016e-05	"red"
"c__Bacteroidia"	0.0038858	"Disease"	23.5948142977647	45.9479284440294	45.9479284440294	23.5948142977647	6	0.00011745	"red"
"o__Bacteroidales"	0.0038858	"Disease"	23.5931045754118	45.9446249007353	45.9446249007353	23.5931045754118	6	0.00011745	"red"
"f__Odoribacteraceae"	0.0038858	"Disease"	0.165419939342353	0.366872013147059	0.366872013147059	0.165419939342353	3.95	0.00015061	"red"
"g__Culturomica"	0.0038858	"Disease"	0.163524427522353	0.362649319	0.362649319	0.163524427522353	3.95	0.00015061	"red"
"g__Alistipes"	0.003908	"Disease"	0.691093548186765	2.90802566323529	2.90802566323529	0.691093548186765	5	0.00021206	"red"
"f__Rikenellaceae"	0.003908	"Disease"	0.694147916069118	3.11842804058824	3.11842804058824	0.694147916069118	5.04	0.00021206	"red"
"f__Bacteroidaceae"	0.0044557	"Disease"	17.7638943420882	32.8314057785882	32.8314057785882	17.7638943420882	5.83	0.00028276	"red"
"g__Bacteroides"	0.0044557	"Disease"	17.6213572555882	32.6120451273529	32.6120451273529	17.6213572555882	5.83	0.00031087	"red"
"g__Tannerella"	0.0048388	"Disease"	0.147172572294971	0.353757913264706	0.353757913264706	0.147172572294971	3.97	0.0003751	"red"
"f__Tannerellaceae"	0.029013	"Disease"	2.67677728607941	5.279950965	5.279950965	2.67677728607941	5.07	0.0026553	"red"
"g__Parabacteroides"	0.029013	"Disease"	2.52960484585588	4.92619293352941	4.92619293352941	2.52960484585588	5.03	0.0029949	"red"
"p__Actinobacteria"	0.029013	"Control"	1.90982866764706	0.834148997058824	1.90982866764706	0.834148997058824	4.68	0.0031166	"darkgreen"
"g__Tidjanibacter"	0.029013	"Disease"	0.00293477550741176	0.210188409675294	0.210188409675294	0.00293477550741176	3.97	0.0032416	"red"
"g__Prevotellamassilia"	0.029013	"Disease"	0.208248120970294	0.528116674647059	0.528116674647059	0.208248120970294	4.16	0.0033736	"red"
"f__Prevotellaceae"	0.034386	"Disease"	1.66375012130294	2.81549467058824	2.81549467058824	1.66375012130294	4.71	0.0042649	"red"
"g__Prevotella"	0.036319	"Disease"	1.44912124035294	2.27486016273529	2.27486016273529	1.44912124035294	4.57	0.0047863	"red"
"f__Pseudomonadaceae"	0.041798	"Control"	1.09668893170588	0.106180155441176	1.09668893170588	0.106180155441176	4.65	0.0072279	"darkgreen"
"g__Pseudomonas"	0.041798	"Control"	1.09658825741176	0.106133707617647	1.09658825741176	0.106133707617647	4.65	0.0072279	"darkgreen"
"c__Betaproteobacteria"	0.041798	"Control"	2.65582740588235	1.18486395235294	2.65582740588235	1.18486395235294	4.82	0.0072279	"darkgreen"
"o__Actinomycetales"	0.041798	"Control"	0.205509345882353	0.0750292476470588	0.205509345882353	0.0750292476470588	3.77	0.0074977	"darkgreen"
"f__Actinomycetaceae"	0.041798	"Control"	0.205509345882353	0.0750292476470588	0.205509345882353	0.0750292476470588	3.77	0.0074977	"darkgreen"
"f__Porphyromonadaceae"	0.041798	"Disease"	0.452319359543235	1.19587241970588	1.19587241970588	0.452319359543235	4.52	0.0077764	"red"
"p__Proteobacteria"	0.041798	"Control"	44.4744732794118	23.7760332617647	44.4744732794118	23.7760332617647	5.97	0.0077764	"darkgreen"
"c__Coriobacteriia"	0.048062	"Control"	0.933709632294118	0.360642680235294	0.933709632294118	0.360642680235294	4.41	0.0093143	"darkgreen"
"c__Actinobacteria"	0.057126	"Control"	0.976116072941176	0.473483552352941	0.976116072941176	0.473483552352941	4.35	0.011514	"darkgreen"
"c__Gammaproteobacteria"	0.058868	"Control"	41.3071788764706	22.0605956441176	41.3071788764706	22.0605956441176	5.94	0.012343	"darkgreen"
"g__Mediterranea"	0.058868	"Disease"	0.142537083503794	0.219360657352941	0.219360657352941	0.142537083503794	3.53	0.012778	"red"
"g__Actinomyces"	0.06518	"Control"	0.189201779176471	0.0670498672941176	0.189201779176471	0.0670498672941176	3.74	0.014653	"darkgreen"
"o__Burkholderiales"	0.07241	"Control"	2.48949996382353	1.14071133617647	2.48949996382353	1.14071133617647	4.78	0.017921	"darkgreen"
"o__Pseudomonadales"	0.07241	"Control"	1.15591297708824	0.142606180294118	1.15591297708824	0.142606180294118	4.66	0.018523	"darkgreen"
"o__Enterobacterales"	0.07241	"Control"	39.9288653	21.2458412088235	39.9288653	21.2458412088235	5.92	0.018523	"darkgreen"
"f__Enterobacteriaceae"	0.07241	"Control"	39.6037281864706	21.0052729179412	39.6037281864706	21.0052729179412	5.92	0.018523	"darkgreen"
