"V1"	"p.value"
"Alistipes"	"0.000146204121458948"
"Bacteroides"	"0.000224673846021025"
"Tannerella"	"0.000277090036157094"
"Parabacteroides"	"0.00267192583449854"
"Prevotellamassilia"	"0.00303418096764882"
"Tidjanibacter"	"0.00330643734719552"
"Prevotella"	"0.0044004623934673"
"Pseudomonas"	"0.00679929210661068"
"Mediterranea"	"0.0123420943908454"
"Actinomyces"	"0.0142313280216191"
"Porphyromonas"	"0.0337525606890626"
"Escherichia"	"0.0348192897470409"
"Achromobacter"	"0.0370380472744776"
"Shigella"	"0.0381912064445395"
"Eggerthella"	"0.04441789522903"
"Enterobacter"	"0.04441789522903"
"Citrobacter"	"0.0485438926088226"
