"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease1"	0	0.107837401134434	0.227442688382623	0.189409342260914	0.153470384060524	0.15028854483552	0.294803342883177	0.125832100175269	0.244246447540887	0.156041007061328	0.211411569990376	0.147249590495948	0.219757277862036	0.109812901208285	0.268947158860537	0.150525310907724	0.221331896031999	0.0870462632424735	0.220475335993576	0.165041678257213	0.203343516931099	0.134869561976366	0.18817741095206	0.222410934993287	0.430631515254065	0.281456768115767	0.220612105899215	0.247008223821478	0.165575568530528	0.113219811468185	0.219827089680067	0.187270262368451	0.0898060774274431	0.150216097484174	0.543982945560912	0.203082015997495	0.280233373169095	0.181157557383551	0.372900568658269	0.18256075201676	0.260815230681017	0.202576262915389	0.240455863413244	0.210123275726643	0.15505758898829	0.459917354172098	0.287965024667768	0.188381823681854	0.197506654452317	0.134889660380319	0.171078560239232	0.221098779834836	0.482575354630883	0.201026524476816	0.144394933822436	0.193107503805792	0.258708112715532	0.295702995004089	0.175768229777111	0.142917504153435	0.16870416099919	0.165721301254986	0.213487309854595	0.273626616912504	0.177565331297314	0.233946454185191	0.125556731881198	0.232399365253702
"Disease2"	0.107837401134434	0	0.225658077847665	0.207301085642699	0.179400045810064	0.16576537442865	0.317374482155091	0.161778993070088	0.268914698145044	0.19511958149648	0.241925307827931	0.151846116439197	0.25944256772077	0.134778380207992	0.298509688193426	0.167019757357656	0.25232652846264	0.114976209522394	0.25704026113421	0.203497215562841	0.23856291858	0.160666649210485	0.233823797166499	0.216598879338406	0.439937884942263	0.305562979383094	0.263413389911135	0.264394743948315	0.187752799409664	0.102311945250468	0.269612895760164	0.230143608995123	0.136650990892138	0.18576178056037	0.55807365291451	0.200354091957955	0.301390553217079	0.216519015972345	0.373973240189221	0.229602275101612	0.280543080320002	0.177595055825278	0.27674334269868	0.214712333901812	0.189407602346317	0.470414220916379	0.297245030356436	0.164383991989943	0.197033193603071	0.10825879067202	0.203392270277621	0.265099652968076	0.484473042500322	0.177003651743568	0.157182129055299	0.230437072460779	0.265719470120994	0.289922591115756	0.179515044748413	0.163312755929881	0.157968942672924	0.195612028122894	0.222604644663186	0.271403138838567	0.218816314278557	0.253706825701132	0.146407062693774	0.223971882408243
"Disease3"	0.227442688382623	0.225658077847665	0	0.23224942452664	0.258848921830841	0.208083459326608	0.364586083725878	0.23908059516558	0.202974022366213	0.291816834458513	0.24772416139088	0.261590644156052	0.23625981207915	0.230413600302045	0.23890836750641	0.26351887614166	0.333806886338327	0.243134962221197	0.318459932351266	0.287282259310786	0.324011580486653	0.213033157777385	0.303860298678396	0.317521636093991	0.289210699111733	0.230679321268481	0.275325379072753	0.207948097656045	0.266931790828405	0.207110786872707	0.327341995733778	0.32104630873097	0.247217251941558	0.280964560603272	0.434701740224954	0.191160727317602	0.208379839603417	0.254605414038665	0.226984579345677	0.224203554390473	0.23262947339198	0.261255166036549	0.247182865206244	0.147148890242007	0.263297348751208	0.341815210633994	0.209181922954507	0.168441837641804	0.179150758665648	0.21835947733215	0.295430744386747	0.342989013853389	0.349458389425296	0.175805751934661	0.200064853932663	0.234594624586286	0.161023157157677	0.202348036940583	0.160054859244265	0.251942062034474	0.258388085046769	0.27753763975343	0.280230777833819	0.154990598416719	0.265180621914868	0.202259738960886	0.22251636776879	0.308472200304099
"Disease4"	0.189409342260914	0.207301085642699	0.23224942452664	0	0.186799845892762	0.16878488881599	0.231817467144528	0.158411967761338	0.216147542079689	0.179899466881017	0.192336055333063	0.270710393812112	0.179648851941528	0.166876831724846	0.251870435600095	0.143861057193017	0.234819682031875	0.181455525304708	0.235383205185405	0.18323783557115	0.161286569768513	0.140690581753168	0.20356661063464	0.219216362070843	0.365426720417249	0.234073072140539	0.18214270715635	0.2238936693563	0.129504003534307	0.184297342571748	0.232416958710364	0.230537372043419	0.204720793993256	0.156847965070548	0.495580233115449	0.176098915728202	0.281800797173745	0.137267416641267	0.328405920044765	0.185818331784052	0.187466953665386	0.293011488357041	0.210044867671943	0.207731951676655	0.158014259777281	0.410945315734162	0.274981397415691	0.216803049853256	0.234752173034228	0.214453882701709	0.178236789612108	0.24236837549844	0.425277813175271	0.23207397557376	0.142134544230798	0.178268582751303	0.259820599880134	0.295210253848715	0.201960404731341	0.188522891339357	0.206181373095516	0.19581341055534	0.190266088407688	0.266674140324149	0.166362456243943	0.202351532907461	0.18554274993096	0.195653220728066
"Disease5"	0.153470384060524	0.179400045810064	0.258848921830841	0.186799845892762	0	0.165029133115666	0.253946802930755	0.155564084091359	0.283471103831114	0.156645344513896	0.231466321131685	0.205602157654375	0.241854838852711	0.128706007536896	0.300509116568508	0.132653164960651	0.147239142629123	0.128182241037364	0.230855500176452	0.147599654781785	0.186227621568158	0.148655197745541	0.195501211775597	0.222913832380109	0.440848262999072	0.303738991988642	0.237224079863823	0.285305385917798	0.151055958699489	0.184490030131843	0.240654215961642	0.195718300894156	0.125106336186625	0.149784252258017	0.556390074699885	0.226363390389198	0.314765913852289	0.15486358677826	0.392627480120302	0.21695280309119	0.261108370520129	0.239811314417313	0.2611739661261	0.248688957822838	0.186100689021257	0.473053257782876	0.319291560605434	0.239997284199109	0.239532222842153	0.164743881578768	0.161347540848	0.234345865484972	0.495671528475913	0.257440594788503	0.124927221574594	0.210884260991674	0.300511958433412	0.340594061484241	0.211316808283583	0.166192481736969	0.153566607191815	0.10963346232475	0.200228919849893	0.303592893591579	0.206827038400482	0.245226271789474	0.130400932731757	0.19067269205286
"Disease6"	0.15028854483552	0.16576537442865	0.208083459326608	0.16878488881599	0.165029133115666	0	0.304232186928382	0.187742435693855	0.239684727547709	0.220649181539187	0.22341430677488	0.191663090155556	0.24731902591758	0.139076480601227	0.265482461390587	0.15955375114635	0.2502180372517	0.148912702141295	0.282646333476535	0.22102614483283	0.24575693999369	0.155992705213077	0.258124713088607	0.19894723054809	0.389446443707641	0.27345218938449	0.253665676242813	0.237836781860139	0.186598739967301	0.159368195974991	0.290847303365065	0.266725122379077	0.159869146877026	0.206504041322965	0.49740060295368	0.213560660266403	0.246442302292803	0.17564037051586	0.338061920550026	0.202383143756199	0.242032036770597	0.233801736339576	0.247920317563556	0.181114183295548	0.203958497102291	0.412661392121258	0.267243603531273	0.17862725604232	0.167284966730031	0.162710203995745	0.230336151146075	0.298745537989629	0.452584128969161	0.186113162767517	0.129469363998866	0.21524007636369	0.230084303632365	0.264301551691368	0.16462880932777	0.212354070397583	0.149158940290571	0.205209334370219	0.237160471446981	0.236346823486462	0.22958452127865	0.193005002801314	0.14573689611665	0.21708562421854
"Disease7"	0.294803342883177	0.317374482155091	0.364586083725878	0.231817467144528	0.253946802930755	0.304232186928382	0	0.265236340893466	0.359056197321622	0.247968265493087	0.298587627041725	0.363941805353925	0.288318324117868	0.272534045700592	0.36528370570656	0.226866082331303	0.235926521973493	0.279890242903179	0.275982469028913	0.237460600995895	0.212950095620317	0.253336851557961	0.240004942717096	0.308247658577442	0.473071025501805	0.355722932635056	0.266895589366499	0.362516657566162	0.214450060587205	0.309059117604895	0.281421616220678	0.256238754078358	0.284066681600969	0.19610579078865	0.577026081919595	0.30080648850416	0.40628261222222	0.231125446362412	0.456023471422151	0.296130107072472	0.266168049179658	0.387707836623454	0.308078269316446	0.358796994452278	0.24051167121263	0.511843548798973	0.398696695579958	0.346960088119255	0.371370564564823	0.309258142475769	0.225397806155263	0.280156335657219	0.532149659815268	0.371399466391658	0.261688536041413	0.274541443087904	0.401788012194513	0.432301405108936	0.339197688680192	0.269715115212012	0.295148830529989	0.230271132062064	0.239272320315645	0.398273657195956	0.227276309525389	0.333989247640072	0.283007296688872	0.198163304746334
"Disease8"	0.125832100175269	0.161778993070088	0.23908059516558	0.158411967761338	0.155564084091359	0.187742435693855	0.265236340893466	0	0.217128706486127	0.11255840461034	0.184404764677597	0.220814903877543	0.16568062606437	0.130324985550492	0.243500082745832	0.150006612276049	0.199340870224541	0.124492398129842	0.186049212943274	0.136108124414066	0.150756389133233	0.120132879216291	0.149701732067031	0.258845933175625	0.400852056782902	0.24173884445607	0.166199193733468	0.225820787319471	0.131127343507871	0.132812570045378	0.174870525894638	0.156950947606246	0.137367239855068	0.120942790494496	0.521405028072538	0.17794758857424	0.284670936019536	0.14538417622079	0.356696423736755	0.156468352881169	0.226624532134253	0.254741658731283	0.196661436471189	0.214837570944197	0.122008177725019	0.43851569387092	0.279840386635796	0.207937085846104	0.224481180175931	0.18186518686672	0.122127403034891	0.1751267873374	0.460521449315424	0.224580694858824	0.141642033854035	0.147303843553785	0.265746871534345	0.303432403393991	0.190215418623352	0.133203241532648	0.210680075443159	0.150395171162185	0.193497849202571	0.279195619953006	0.125757183872969	0.220984800644214	0.149979853829114	0.23661480041943
"Disease9"	0.244246447540887	0.268914698145044	0.202974022366213	0.216147542079689	0.283471103831114	0.239684727547709	0.359056197321622	0.217128706486127	0	0.260775496491411	0.187083662142999	0.336084813326224	0.160315611914152	0.249204725937916	0.0964020531351471	0.274459994855475	0.324799993450009	0.262020232544988	0.272170782720964	0.252226748457661	0.289176481712033	0.192768961780986	0.267749556132719	0.358970487286327	0.225762163944067	0.0819543091490122	0.200783191727765	0.0774173620365733	0.256050211326795	0.216944260620976	0.259971986257997	0.281468818005218	0.269685686279075	0.247974163513803	0.349770150277846	0.175928257936651	0.153230542218087	0.213927067318198	0.194645418635681	0.142483728705536	0.223649122840829	0.341153018156467	0.141337536416135	0.127004809882764	0.204696241168485	0.264314270236401	0.120453287933181	0.189791383448087	0.19606536524208	0.294544488496976	0.267536262319883	0.282700369820635	0.302973766225973	0.201113054283019	0.218147330895109	0.169346850304037	0.125331875947993	0.154140974508059	0.17913236126878	0.242048938758684	0.32064199566625	0.278322233721303	0.274037870352958	0.179853822333227	0.212946280323829	0.13676484161866	0.268140046865053	0.348007974711474
"Disease10"	0.156041007061328	0.19511958149648	0.291816834458513	0.179899466881017	0.156645344513896	0.220649181539187	0.247968265493087	0.11255840461034	0.260775496491411	0	0.197595821471961	0.246684029785085	0.161172410078796	0.137628988228262	0.27138116529672	0.149885346306027	0.155255968186689	0.135142654297876	0.14933368144279	0.103353083370497	0.121595731594465	0.138397408345766	0.111668324266296	0.2677548090077	0.444419619754621	0.264627477510268	0.143109596676877	0.26989619113844	0.131045250673872	0.185738936199203	0.137190137221035	0.111147315359607	0.148543552650391	0.11001086786141	0.553545057475344	0.208502045413138	0.3352850355849	0.134444703177054	0.405336182377966	0.164930499173811	0.251219548360852	0.283061016015401	0.19056991999195	0.268202372177257	0.128451001428942	0.476754412769984	0.320080554281759	0.256974621185377	0.274281346298437	0.2104292779383	0.0773310916421842	0.123374778521921	0.494457608709995	0.284402451998191	0.170864672967984	0.145981010364017	0.32151069625417	0.359285143917459	0.231795324881581	0.130566229294264	0.226064470686272	0.129279009474853	0.186146862185084	0.33478063754931	0.131781830413466	0.257734053007806	0.173018323281299	0.232668301074349
