"sample"	"NMDS1"	"NMDS2"	"Group"
"Control1"	0.799998977096262	0.149863858655684	"Control"
"Control10"	0.152244469192478	-0.0696086818152174	"Control"
"Control11"	-0.0898526274036478	0.0883226985516854	"Control"
"Control12"	0.622804570102916	0.0679546235330321	"Control"
"Control13"	0.284971022918019	0.00178273659655606	"Control"
"Control14"	0.0826888196842053	-0.127436626896605	"Control"
"Control15"	0.103255317372182	-0.171133910093443	"Control"
"Control16"	-0.136087799270843	-0.196198654050954	"Control"
"Control17"	-0.182115437289439	0.100675116261778	"Control"
"Control18"	-0.179955346665177	0.238320336847039	"Control"
"Control19"	0.690365562090205	-0.0505284676994758	"Control"
"Control2"	0.0474725924245891	0.00972376985249427	"Control"
"Control20"	0.0944545846947951	-0.191058066463709	"Control"
"Control21"	-0.0673355624829575	-0.0612133916237034	"Control"
"Control22"	-0.0174107517258292	0.10718240010735	"Control"
"Control23"	0.258933991322706	-0.0716727396951549	"Control"
"Control24"	0.321936609667014	-0.104820349874129	"Control"
"Control25"	0.0616755254858749	-0.0912233073831346	"Control"
"Control26"	-0.140256432784681	0.0145714099747948	"Control"
"Control27"	-0.217279882422006	-0.204890473535946	"Control"
"Control28"	-0.209459353494111	0.0314981581315591	"Control"
"Control29"	-0.230657207582392	0.0661780672749769	"Control"
"Control3"	0.305621126200703	-0.0476514001891277	"Control"
"Control30"	0.253406032829967	-0.146463626317051	"Control"
"Control31"	-0.0870867185045435	0.125008271243251	"Control"
"Control32"	0.169131669768705	-0.0128532291604249	"Control"
"Control33"	-0.131726001248896	-0.114961770013653	"Control"
"Control34"	-0.336519839397551	-0.127360921212389	"Control"
"Control4"	-0.0856840833930195	0.0690017701757138	"Control"
"Control5"	0.456683294970269	-0.0566491682436951	"Control"
"Control6"	0.025269999311142	0.0829082411099204	"Control"
"Control7"	0.10153266184866	0.214341536881662	"Control"
"Control8"	-0.106134138866802	-0.356445860906147	"Control"
"Control9"	0.0733266634476074	0.145824682573485	"Control"
"Disease1"	-0.120922610613061	-0.0869407434369417	"Disease"
"Disease10"	-0.174494595695541	0.0858508557458084	"Disease"
"Disease11"	0.0341609121103127	0.125174761041358	"Disease"
"Disease12"	-0.173842326887647	-0.286232362392108	"Disease"
"Disease13"	0.0077533094019631	0.155444414076101	"Disease"
"Disease14"	-0.129539679478611	-0.0653618470754683	"Disease"
"Disease15"	0.2203979907681	0.0882278819316344	"Disease"
"Disease16"	-0.199045349492723	-0.0438112617047578	"Disease"
"Disease17"	-0.312830913796478	0.0873013252041588	"Disease"
"Disease18"	-0.157111230009457	-0.0795381549255224	"Disease"
"Disease19"	-0.157310077194891	0.224835995226374	"Disease"
"Disease2"	-0.120855634422863	-0.163584926582719	"Disease"
"Disease20"	-0.163893706746157	0.0886374216964143	"Disease"
"Disease21"	-0.233598700432709	0.125457437321871	"Disease"
"Disease22"	-0.0611167967570645	0.0165863250601995	"Disease"
"Disease23"	-0.169044874579208	0.160479755462552	"Disease"
"Disease24"	-0.303781589042143	-0.271710225766982	"Disease"
"Disease25"	0.546193442854455	0.0353179553893402	"Disease"
"Disease26"	0.211762835891219	0.109333122596037	"Disease"
"Disease27"	-0.0527792112419559	0.1848561962362	"Disease"
"Disease28"	0.198346069507532	0.0331876845087521	"Disease"
"Disease29"	-0.175381238272774	0.0148090363522071	"Disease"
"Disease3"	0.155435973601406	-0.172131925774865	"Disease"
"Disease30"	-0.0567911239821238	-0.0973274909018185	"Disease"
"Disease31"	-0.141338071015756	0.23705950021856	"Disease"
"Disease32"	-0.198429481527589	0.170369737543584	"Disease"
"Disease33"	-0.171371994001139	-0.0810733799372793	"Disease"
"Disease34"	-0.167106810178121	0.0558587211295506	"Disease"
"Disease4"	-0.0556794597385106	0.00213639574333159	"Disease"
"Disease5"	-0.207008291880998	-0.0633104465742399	"Disease"
"Disease6"	-0.0473956361123968	-0.157623547694737	"Disease"
"Disease7"	-0.396948829270594	0.189428962101329	"Disease"
"Disease8"	-0.10483531638292	0.0206952371006219	"Disease"
"Disease9"	0.190190706722041	0.0466105584844325	"Disease"
