"sample"	"PC1"	"PC2"	"Group"
"Control1"	-2.02717521090302	-1.48467661396088	"Control"
"Control10"	-0.757894329423972	0.0251975561506995	"Control"
"Control11"	0.695672871774256	-0.0538266546733844	"Control"
"Control12"	-1.79006755416452	-1.0392388415875	"Control"
"Control13"	-0.802882844052803	-0.543339291114049	"Control"
"Control14"	-0.785131944733053	0.332280876286054	"Control"
"Control15"	-0.922106161664865	0.519680858951622	"Control"
"Control16"	-0.372419783271196	0.998519940424767	"Control"
"Control17"	0.997265974680149	-0.0620593545546453	"Control"
"Control18"	2.20582556435593	-0.791537074111315	"Control"
"Control19"	-1.80059904066594	-1.12115892485871	"Control"
"Control2"	-0.2065153881032	-0.121124822038984	"Control"
"Control20"	-0.796558121621822	0.474467174838182	"Control"
"Control21"	-0.182052319383612	0.433299770810812	"Control"
"Control22"	0.563315444492642	-0.419726432632733	"Control"
"Control23"	-1.09289320069172	-0.155289773003338	"Control"
"Control24"	-1.2563480314669	-0.166889863736703	"Control"
"Control25"	-0.438206797764619	0.200748063580422	"Control"
"Control26"	0.484303383308125	0.218594574993097	"Control"
"Control27"	-0.250851020349487	1.20630766492483	"Control"
"Control28"	0.523105078628487	0.239062815328563	"Control"
"Control29"	0.263905002263834	-0.0983724676903085	"Control"
"Control3"	-1.13363024995647	-0.2322362942288	"Control"
"Control30"	-1.26112585660942	-0.0365747583491473	"Control"
"Control31"	0.906572170709377	-0.375498753290011	"Control"
"Control32"	-0.703852038138235	-0.207627214130993	"Control"
"Control33"	-0.176548681859656	0.754363118176555	"Control"
"Control34"	-0.328017334004647	0.920124860364347	"Control"
"Control4"	0.440876817070326	-0.09745264945095	"Control"
"Control5"	-1.50076518662568	-0.689319688879234	"Control"
"Control6"	0.431030278886228	-0.413369772251497	"Control"
"Control7"	-0.124528161070732	-0.477341193075691	"Control"
"Control8"	-0.761213526659393	1.22938021013811	"Control"
"Control9"	0.58482760955762	-0.835989915527576	"Control"
"Disease1"	0.31415001754505	0.635923011126085	"Disease"
"Disease10"	1.10654353010999	-0.0272924332266993	"Disease"
"Disease11"	0.308762747002499	-0.368880632052146	"Disease"
"Disease12"	-0.343646948139253	1.4623341879865	"Disease"
"Disease13"	0.610672088504458	-0.606086654836708	"Disease"
"Disease14"	0.0872092385855325	0.615640120347897	"Disease"
"Disease15"	-0.191996643604096	-0.750190876684783	"Disease"
"Disease16"	0.214963113472149	0.669321360538663	"Disease"
"Disease17"	0.859341584950472	0.174179809812956	"Disease"
"Disease18"	0.455007179818796	0.68373866064884	"Disease"
"Disease19"	1.57831018890867	-0.639894264062903	"Disease"
"Disease2"	-0.186476770950281	0.973986381147708	"Disease"
"Disease20"	0.69768965718651	0.110971399640658	"Disease"
"Disease21"	1.33232867899107	-0.30956624294973	"Disease"
"Disease22"	0.293589124724536	0.061106430571379	"Disease"
"Disease23"	1.22847223932285	-0.406193350066939	"Disease"
"Disease24"	-0.179019937517867	1.33437549563476	"Disease"
"Disease25"	-1.54509506831431	-1.12605693125946	"Disease"
"Disease26"	-0.079171326148505	-0.925663660913182	"Disease"
"Disease27"	1.08133498627253	-0.719921827144286	"Disease"
"Disease28"	-0.427223008845636	-0.513842378243589	"Disease"
"Disease29"	0.370621290652519	0.271021278090012	"Disease"
"Disease3"	-0.965471355104823	0.119494140914856	"Disease"
"Disease30"	-0.145927592154189	0.477563275800142	"Disease"
"Disease31"	1.98925147538967	-0.902053734774774	"Disease"
"Disease32"	1.39018208907194	-0.270715264899313	"Disease"
"Disease33"	0.330328786459338	0.643755802442421	"Disease"
"Disease34"	0.606050659574936	0.120768409927551	"Disease"
"Disease4"	0.161065086939151	0.152655509523253	"Disease"
"Disease5"	0.148940379939939	0.616703019742539	"Disease"
"Disease6"	-0.409127646926901	0.806091208116318	"Disease"
"Disease7"	0.4822515887672	-0.134868682945994	"Disease"
"Disease8"	0.508409418254088	0.174524642523097	"Disease"
"Disease9"	-0.30763626528003	-0.532304342296742	"Disease"
