"sample"	"PC1"	"PC2"	"Group"
"Control1"	0.411197227182346	0.0677203640856694	"Control"
"Control10"	0.101018039187763	-0.0572248180982832	"Control"
"Control11"	-0.0654588605892806	0.0542330906527408	"Control"
"Control12"	0.341334679854272	0.0247608090189638	"Control"
"Control13"	0.173770193686451	-0.000526541369892529	"Control"
"Control14"	0.0512396738939777	-0.0828177549798041	"Control"
"Control15"	0.0660760894926609	-0.112376027338873	"Control"
"Control16"	-0.085863976058297	-0.137530103430512	"Control"
"Control17"	-0.123196120868529	0.0704032293335422	"Control"
"Control18"	-0.116961127684416	0.140549020904145	"Control"
"Control19"	0.337716518105626	0.0284858231299999	"Control"
"Control2"	0.0237535272416456	0.00904704221952729	"Control"
"Control20"	0.0544585036306841	-0.101310651110735	"Control"
"Control21"	-0.0416245686583811	-0.0500527553177759	"Control"
"Control22"	-0.0117415833255665	0.0826420426600983	"Control"
"Control23"	0.163850238830048	-0.0591786865117525	"Control"
"Control24"	0.193618688284452	-0.0742678942434154	"Control"
"Control25"	0.0354935736111525	-0.0638376071238737	"Control"
"Control26"	-0.0904907014554329	0.00711491283757533	"Control"
"Control27"	-0.111446657550788	-0.139840330010521	"Control"
"Control28"	-0.120735244484046	0.0236883780548206	"Control"
"Control29"	-0.0743274904252907	0.0344417923814883	"Control"
"Control3"	0.178499026314202	-0.0381191269847956	"Control"
"Control30"	0.149208074785712	-0.0879575045495393	"Control"
"Control31"	-0.0575514543600151	0.0765041003203264	"Control"
"Control32"	0.106216469750918	-0.0104486117068458	"Control"
"Control33"	-0.0786174230664243	-0.0809507031708606	"Control"
"Control34"	-0.127509107772938	-0.0689383207988837	"Control"
"Control4"	-0.0512034238441174	0.0513728575004806	"Control"
"Control5"	0.253351408217428	-0.0230937091131892	"Control"
"Control6"	0.0181707780487518	0.0700854310088589	"Control"
"Control7"	0.0340632802217043	0.0325239309157997	"Control"
"Control8"	-0.0629552716123724	-0.180055730513113	"Control"
"Control9"	0.0447992274316652	0.112898190329057	"Control"
"Disease1"	-0.0850750460614581	-0.0588946794022299	"Disease"
"Disease10"	-0.120056469631926	0.0578226681127132	"Disease"
"Disease11"	0.00405040848546128	0.0511156519621395	"Disease"
"Disease12"	-0.0994417321958975	-0.158068797020126	"Disease"
"Disease13"	0.0108111816350882	0.108341001367103	"Disease"
"Disease14"	-0.0838509534845183	-0.0512891825800819	"Disease"
"Disease15"	0.131152231960959	0.0677441130059204	"Disease"
"Disease16"	-0.108847215276118	-0.0342199414540975	"Disease"
"Disease17"	-0.14940401809274	0.0566238091183727	"Disease"
"Disease18"	-0.107571509575199	-0.0609725321080631	"Disease"
"Disease19"	-0.102820690493915	0.118164003881605	"Disease"
"Disease2"	-0.0816847516519607	-0.105065803874315	"Disease"
"Disease20"	-0.105190783350519	0.0575380512527964	"Disease"
"Disease21"	-0.127905097010422	0.0785796140357826	"Disease"
"Disease22"	-0.0432102691800109	0.00904373451429765	"Disease"
"Disease23"	-0.112250964049988	0.103258710029583	"Disease"
"Disease24"	-0.118507960053845	-0.137969050913887	"Disease"
"Disease25"	0.302991572368793	0.0393156207239936	"Disease"
"Disease26"	0.132725770358894	0.0920222736654747	"Disease"
"Disease27"	-0.03139761080782	0.12795716779823	"Disease"
"Disease28"	0.127381540107296	0.0294126383877376	"Disease"
"Disease29"	-0.0970780616486722	0.0110607639885438	"Disease"
"Disease3"	0.0828402471738722	-0.0868167124081658	"Disease"
"Disease30"	-0.0411410013240472	-0.0634473139746477	"Disease"
"Disease31"	-0.0913849462593644	0.145067114065333	"Disease"
"Disease32"	-0.133100586101834	0.100511504251672	"Disease"
"Disease33"	-0.108846515406168	-0.0522444052464488	"Disease"
"Disease34"	-0.109734340223025	0.0400936170838533	"Disease"
"Disease4"	-0.0369147394643608	0.00471006409474163	"Disease"
"Disease5"	-0.110041197821393	-0.0403586170599968	"Disease"
"Disease6"	-0.0287498240993662	-0.0966199077796318	"Disease"
"Disease7"	-0.127437403916143	0.075285652654252	"Disease"
"Disease8"	-0.0726079468971518	0.0124193278367441	"Disease"
"Disease9"	0.124146475971933	0.0419357030103729	"Disease"
