"variable"	"index"
"Disease1"	20.0944622
"Disease2"	18.279267
"Disease3"	13.5266
"Disease4"	20.2179659
"Disease5"	21.605266
"Disease6"	18.882268
"Disease7"	21.8550321
"Disease8"	20.352998
"Disease9"	14.966969
"Disease10"	23.5226512
"Disease11"	18.8392781
"Disease12"	19.065927
"Disease13"	19.5311232
"Disease14"	20.2412125
"Disease15"	15.508074
"Disease16"	21.139071
"Disease17"	24.35541
"Disease18"	21.360843
"Disease19"	23.865325
"Disease20"	22.1488195
"Disease21"	24.407712
"Disease22"	19.7661301
"Disease23"	23.4597059
"Disease24"	20.9755453
"Disease25"	8.908507
"Disease26"	15.745369
"Disease27"	21.5367198
"Disease28"	14.547176
"Disease29"	21.346521
"Disease30"	17.688821
"Disease31"	24.5052413
"Disease32"	24.2408793
"Disease33"	21.370308
"Disease34"	21.8408909
"Control1"	5.598272
"Control2"	16.313044
"Control3"	11.736334
"Control4"	21.048435
"Control5"	9.009421
"Control6"	18.975238
"Control7"	16.806264
"Control8"	15.323894
"Control9"	18.819528
"Control10"	14.034496
"Control11"	20.662221
"Control12"	7.296819
"Control13"	12.24312
"Control14"	14.214644
"Control15"	13.973027
"Control16"	17.609355
"Control17"	22.8477858
"Control18"	25.3213399
"Control19"	7.108163
"Control20"	13.326277
"Control21"	18.395992
"Control22"	19.67331
"Control23"	11.816866
"Control24"	10.556243
"Control25"	15.434348
"Control26"	19.926754
"Control27"	19.713093
"Control28"	22.0509995
"Control29"	19.4044688
"Control30"	11.216893
"Control31"	20.6509803
"Control32"	14.808422
"Control33"	18.89221
"Control34"	19.5335353
