"variable"	"index"
"Disease1"	0.366792
"Disease2"	0.172324
"Disease3"	0.00181379999999987
"Disease4"	0.298439
"Disease5"	0.089121
"Disease6"	0.050298
"Disease7"	0.167997
"Disease8"	0.360856
"Disease9"	0.246611
"Disease10"	0.440866
"Disease11"	0.537031
"Disease12"	0.0723180000000001
"Disease13"	0.400784
"Disease14"	0.183611
"Disease15"	0.3351545
"Disease16"	0.213053
"Disease17"	0.044216
"Disease18"	0.17482
"Disease19"	0.703538
"Disease20"	0.198976
"Disease21"	0.467876
"Disease22"	0.343801
"Disease23"	0.702341
"Disease24"	0.0097980000000002
"Disease25"	-0.0866309999999999
"Disease26"	0.342976
"Disease27"	0.588487
"Disease28"	0.194913
"Disease29"	0.31836
"Disease30"	0.192231
"Disease31"	0.865305
"Disease32"	0.764793
"Disease33"	0.259826
"Disease34"	0.377174
"Control1"	-0.2024071
"Control2"	0.252986
"Control3"	-0.075245
"Control4"	0.275742
"Control5"	-0.2225401
"Control6"	0.467571
"Control7"	0.0559399999999999
"Control8"	-0.3427822
"Control9"	0.406736
"Control10"	-0.0672780000000002
"Control11"	0.35205
"Control12"	-0.4036978
"Control13"	-0.0588630000000001
"Control14"	0.015352
"Control15"	-0.2588906
"Control16"	-0.035018
"Control17"	0.445236
"Control18"	0.912971
"Control19"	-0.4206273
"Control20"	-0.058621
"Control21"	0.0103500000000001
"Control22"	0.410428
"Control23"	-0.1773949
"Control24"	-0.236056
"Control25"	-0.069539
"Control26"	0.3741372
"Control27"	-0.080417
"Control28"	0.133426
"Control29"	0.453443
"Control30"	-0.200664
"Control31"	0.384083
"Control32"	-0.0191209999999999
"Control33"	-0.182086
"Control34"	-0.185789
