"variable"	"index"
"Disease1"	2.1148649
"Disease2"	1.8178019
"Disease3"	1.1323863
"Disease4"	2.2037296
"Disease5"	2.21014
"Disease6"	2.0613672
"Disease7"	2.2963323
"Disease8"	1.96053
"Disease9"	1.4757158
"Disease10"	2.6050721
"Disease11"	1.7914051
"Disease12"	1.9439114
"Disease13"	2.096316
"Disease14"	2.2115703
"Disease15"	1.459089
"Disease16"	2.262035
"Disease17"	2.4160114
"Disease18"	2.1128574
"Disease19"	2.3610215
"Disease20"	2.3659738
"Disease21"	2.6097714
"Disease22"	2.085542
"Disease23"	2.5667067
"Disease24"	2.3949243
"Disease25"	0.8875679
"Disease26"	1.5785297
"Disease27"	2.3294256
"Disease28"	1.4478966
"Disease29"	2.3091463
"Disease30"	1.8621525
"Disease31"	2.6084635
"Disease32"	2.4747283
"Disease33"	2.143028
"Disease34"	2.3593312
"Control1"	0.3950283
"Control2"	1.605795
"Control3"	1.1303513
"Control4"	2.2945331
"Control5"	0.786499
"Control6"	1.9926213
"Control7"	1.7173352
"Control8"	1.223227
"Control9"	1.885397
"Control10"	1.3989488
"Control11"	2.0524565
"Control12"	0.6402064
"Control13"	1.011704
"Control14"	1.0681267
"Control15"	1.3504681
"Control16"	1.7474303
"Control17"	2.3956771
"Control18"	2.6302956
"Control19"	0.8843172
"Control20"	0.9867153
"Control21"	1.8887102
"Control22"	1.9179344
"Control23"	1.2045035
"Control24"	0.7526282
"Control25"	1.3845571
"Control26"	2.0526079
"Control27"	2.0889868
"Control28"	2.3273485
"Control29"	2.1236659
"Control30"	0.7802637
"Control31"	2.091812
"Control32"	1.5523685
"Control33"	1.7682463
"Control34"	2.204861
