"variable"	"index"
"Disease1"	2.978988
"Disease2"	1.95092
"Disease3"	0.0570019999999998
"Disease4"	2.923761
"Disease5"	4.403909
"Disease6"	1.899271
"Disease7"	4.671616
"Disease8"	3.957525
"Disease9"	0.922347
"Disease10"	5.762295
"Disease11"	2.993024
"Disease12"	0.497038
"Disease13"	3.324956
"Disease14"	3.38382
"Disease15"	1.590819
"Disease16"	3.164861
"Disease17"	5.974344
"Disease18"	3.325333
"Disease19"	5.656239
"Disease20"	5.100699
"Disease21"	5.840926
"Disease22"	3.900581
"Disease23"	5.764816
"Disease24"	1.193624
"Disease25"	-2.501004
"Disease26"	1.324917
"Disease27"	4.813178
"Disease28"	0.644937000000001
"Disease29"	4.108963
"Disease30"	1.877583
"Disease31"	6.478649
"Disease32"	6.5437
"Disease33"	3.740582
"Disease34"	4.187884
"Control1"	-3.128382
"Control2"	2.545866
"Control3"	-0.573469
"Control4"	4.531075
"Control5"	-2.64468
"Control6"	3.42367
"Control7"	2.475875
"Control8"	-0.290705999999999
"Control9"	3.647749
"Control10"	0.0472020000000004
"Control11"	3.466787
"Control12"	-2.870345
"Control13"	0.0305559999999998
"Control14"	1.077784
"Control15"	-0.0661860000000001
"Control16"	1.797792
"Control17"	5.586505
"Control18"	7.090006
"Control19"	-4.01879
"Control20"	-0.0568090000000003
"Control21"	2.650791
"Control22"	3.904408
"Control23"	-1.135468
"Control24"	-1.70055
"Control25"	1.688187
"Control26"	3.912772
"Control27"	2.981159
"Control28"	5.2727
"Control29"	5.049263
"Control30"	-0.950836
"Control31"	4.402649
"Control32"	1.113483
"Control33"	2.46769
"Control34"	2.603327
