"variable"	"index"
"Disease1"	19.7772697
"Disease2"	17.99938
"Disease3"	13.29865
"Disease4"	19.8990957
"Disease5"	21.249086
"Disease6"	18.549887
"Disease7"	21.5019144
"Disease8"	20.018043
"Disease9"	14.724848
"Disease10"	23.1458675
"Disease11"	18.5617179
"Disease12"	18.737934
"Disease13"	19.2172228
"Disease14"	19.8895917
"Disease15"	15.25861
"Disease16"	20.7814331
"Disease17"	23.97482
"Disease18"	21.037373
"Disease19"	23.514287
"Disease20"	21.7844542
"Disease21"	24.003377
"Disease22"	19.4882731
"Disease23"	23.0700868
"Disease24"	20.6392529
"Disease25"	8.73432
"Disease26"	15.494036
"Disease27"	21.2223387
"Disease28"	14.315272
"Disease29"	20.984849
"Disease30"	17.413029
"Disease31"	24.1687017
"Disease32"	23.8483493
"Disease33"	21.005399
"Disease34"	21.4737353
"Control1"	5.467762
"Control2"	16.07534
"Control3"	11.521445
"Control4"	20.732619
"Control5"	8.836375
"Control6"	18.681619
"Control7"	16.615091
"Control8"	15.028222
"Control9"	18.537144
"Control10"	13.811858
"Control11"	20.3577241
"Control12"	7.138222
"Control13"	12.0419
"Control14"	13.980357
"Control15"	13.722806
"Control16"	17.323901
"Control17"	22.507816
"Control18"	24.9806779
"Control19"	6.917955
"Control20"	13.12912
"Control21"	18.120673
"Control22"	19.3737
"Control23"	11.591556
"Control24"	10.368302
"Control25"	15.189556
"Control26"	19.635476
"Control27"	19.431028
"Control28"	21.7364309
"Control29"	19.1821384
"Control30"	11.046191
"Control31"	20.3559609
"Control32"	14.562745
"Control33"	18.577194
"Control34"	19.2296318
