"FDR"	"class"	"Control"	"Disease"	"max"	"min"	"LDAscore"	"Pvalues"	"color"
"K01610"	0.0016711	"Disease"	0.116445222941176	0.145353927352941	0.145353927352941	0.116445222941176	4.93	4.761e-06	"red"
"K00262"	0.026433	"Disease"	0.134533055882353	0.175692683823529	0.175692683823529	0.134533055882353	5.08	0.00015061	"red"
"K20509"	0.034691	"Disease"	0.142032218405882	0.193928628541176	0.193928628541176	0.142032218405882	5.18	0.0002965	"red"
"K04079"	0.035653	"Disease"	0.127375103823529	0.155085421764706	0.155085421764706	0.127375103823529	4.91	0.00041168	"red"
"K02564"	0.035653	"Disease"	0.144497944705882	0.181222867941176	0.181222867941176	0.144497944705882	5.03	0.00059397	"red"
"K01880"	0.035653	"Disease"	0.103695632771176	0.139063432647059	0.139063432647059	0.103695632771176	5.02	0.00065005	"red"
"K03100"	0.035653	"Disease"	0.203006795882353	0.252478899117647	0.252478899117647	0.203006795882353	5.16	0.00071102	"red"
"K15633"	0.03726	"Disease"	0.124529794411765	0.145885148823529	0.145885148823529	0.124529794411765	4.8	0.00084923	"red"
"K07165"	0.043653	"Disease"	0.498306749029412	0.836225489235294	0.836225489235294	0.498306749029412	6	0.0012033	"red"
"K03671"	0.043653	"Disease"	0.157706405882353	0.198501182647059	0.198501182647059	0.157706405882353	5.08	0.001368	"red"
"K03205"	0.043653	"Disease"	0.458517327941176	0.649986858235294	0.649986858235294	0.458517327941176	5.75	0.001368	"red"
"K06131"	0.05153	"Disease"	0.186407155882353	0.216828520588235	0.216828520588235	0.186407155882353	4.95	0.0017617	"red"
"K01940"	0.053555	"Disease"	0.122446331176471	0.144323262941176	0.144323262941176	0.122446331176471	4.81	0.0019954	"red"
"K05515"	0.053555	"Disease"	0.112918938235294	0.131203125294118	0.131203125294118	0.112918938235294	4.73	0.0023512	"red"
"K01442"	0.053555	"Disease"	0.110274468058824	0.146500340117647	0.146500340117647	0.110274468058824	5.03	0.0023512	"red"
"K00831"	0.053555	"Disease"	0.104180974411765	0.125624343235294	0.125624343235294	0.104180974411765	4.8	0.0026553	"red"
