"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"	"ID"
"Degradation of aromatic compounds"	0.0833846210129726	0.0818258892674121	0.200314134377414	0.145118688771203	0.0722014802248556	0.107536654803671	0.0482467141518341	0.0976462307562216	0.239423590973506	0.0718060904070765	0.217927142207308	0.087452490295121	0.170740321566294	0.101350584214279	0.192552793604648	0.0876191752343842	0.0478314269611419	0.0681267206638328	0.0504121915916872	0.0675369580238052	0.078073950586957	0.110064126935122	0.0678958617354985	0.0876524434356507	0.467074436532279	0.235278809616536	0.111871427475107	0.235869969062905	0.108333901021333	0.122424093398639	0.0922011281491587	0.0577337879970034	0.064043974313857	0.0718006921154138	0.486006896763299	0.209246006191105	0.302389623201479	0.128316019990758	0.421808121131024	0.168554349352619	0.106210558154559	0.114683440835996	0.199692773202623	0.227507263896504	0.0801789387874077	0.440467536672049	0.234068619888233	0.150532466710018	0.205192469856874	0.0985391623242798	0.0778024294373259	0.0730682527673952	0.577433441343924	0.173537683512434	0.135016099094485	0.110895852103458	0.310628272912309	0.269873164366838	0.179936919625421	0.0814939862387876	0.0903472884979782	0.0786863521643506	0.102412611895999	0.232196336332128	0.0855631025325665	0.248455841059835	0.113238615806715	0.0763903478993681	"Degradation of aromatic compounds"
"Fluid shear stress and atherosclerosis"	0.181200284860697	0.152985497701601	0.144642878239194	0.160833150395395	0.173963927843647	0.185843307793825	0.134875748397851	0.159525136146745	0.152691224143695	0.167680984632502	0.18602961662006	0.213048711542988	0.16008124343171	0.162415572516994	0.146905488157967	0.176515301072036	0.159589053168317	0.164310699421093	0.16378609815078	0.134565597553621	0.171300504984275	0.173481779112586	0.175469760157774	0.175383048068286	0.161851286758446	0.161819274517377	0.156482854256051	0.147405399211372	0.177926195792532	0.163001577935775	0.175615133830039	0.173751106555416	0.186781851042133	0.172125475868355	0.108278280398514	0.148648957918708	0.147770919396911	0.176722234978999	0.148167331530528	0.158722484778439	0.125303596708407	0.136758607374665	0.149178423788248	0.147636914316677	0.155602729094588	0.116860250961398	0.124206623299437	0.133337168725766	0.133317937793497	0.160598533852327	0.158618679262665	0.172389409240328	0.155409124000107	0.121870373522091	0.143200906451926	0.152040442042656	0.149992718473911	0.120065505358782	0.132519649515113	0.143756015232681	0.162992593388294	0.178632164376966	0.143738461874262	0.125752051563063	0.158340874546075	0.151199707477365	0.169589558572494	0.139820062393252	"Fluid shear stress and atherosclerosis"
"GABAergic synapse"	0.126414428093796	0.135495693725078	0.0914899381926014	0.117755082857067	0.120250291540754	0.135198567470088	0.0790725989367914	0.139907323612799	0.12110185229336	0.149670413181502	0.142881314350247	0.102936510492108	0.145824158428897	0.121828613405479	0.129251931172291	0.116653273291302	0.141279640953162	0.118160945601327	0.170991951694697	0.144538236060201	0.158129959293961	0.140252102260851	0.131690579219539	0.123423132216025	0.0731372084022404	0.126921973999241	0.158135019543978	0.128971186031779	0.147081889658824	0.128309699773534	0.166319654723551	0.150369510865135	0.121505455966169	0.132863652669372	0.101675103474245	0.13850213859804	0.107013734610404	0.139912852484832	0.0686031619566295	0.14572924439912	0.130997469922799	0.103354166602391	0.156166381093588	0.0987441388300942	0.131364801428101	0.100774268104598	0.120296571245705	0.11633091292036	0.101270977131393	0.115483977672178	0.167276008167411	0.168353068676688	0.0476510585307484	0.107044637720397	0.12435263847553	0.147452447322772	0.0934785938124012	0.110310773026493	0.104953646620957	0.140669680549337	0.103017246848079	0.128192120817035	0.161099584661924	0.108733898887096	0.116039760058504	0.110827985222125	0.115242670667896	0.0912724797843127	"GABAergic synapse"
"Glutamatergic synapse"	0.114754010683493	0.122594306097572	0.0891739664627738	0.0991153541936414	0.116282243321053	0.127129613593434	0.064091658113584	0.117389995743081	0.103638313426063	0.124739816035438	0.118032354624363	0.0985721329712537	0.123348481504208	0.107267069461619	0.104084231160945	0.102715154390013	0.134856732164417	0.110019775553493	0.146286858409858	0.127763426985914	0.125702880412811	0.121757313452223	0.117187819042225	0.118352876383455	0.0604125218392715	0.103805129406624	0.132711003058129	0.107806471792068	0.117506308450799	0.115965257364841	0.139735242668642	0.129912497694687	0.114548582464148	0.114428047261953	0.0620293265834198	0.116472712734399	0.086608696692526	0.12371387914279	0.0717368869971032	0.122602382638517	0.0963828704285274	0.102505206983993	0.128406109033456	0.0896380285614122	0.11277355441872	0.0689850510038167	0.0957266393231818	0.0995828576148344	0.0893329637473472	0.109448474254211	0.142432076996397	0.14314667787215	0.0467021534034587	0.0975476356416023	0.107777950557457	0.124476422062866	0.0821107482907124	0.0906496844474988	0.0921669196621642	0.126438051193043	0.101547088512936	0.119177132112471	0.131279245640931	0.0922695802420454	0.101423788805475	0.0903468038919491	0.10694571120374	0.0850993275093369	"Glutamatergic synapse"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	0.242060173367253	0.206898006788819	0.11344768540066	0.258022641782541	0.228477735443332	0.133440639607287	0.191611199414178	0.252735522007859	0.217934700658295	0.306255769594138	0.24281267696547	0.167976569028342	0.285360394400536	0.198768896930538	0.247763468965524	0.176013166588503	0.238990723299254	0.235353570100149	0.402875511233554	0.288505477201754	0.394371936147073	0.286848377553266	0.355367489298851	0.164206586385295	0.0756057304069581	0.26087900545385	0.371385291205171	0.192075147173238	0.226064187188423	0.19898467289756	0.453756286602427	0.404209821680586	0.216158422231637	0.243813249710543	0.0415192225010864	0.278413099339616	0.0883645370104164	0.262405267298071	0.0803510908781407	0.292293079924969	0.221730424920708	0.0729521204705404	0.306681787509423	0.149702305762357	0.304251311182494	0.0495285011848269	0.155546322602592	0.211705717827698	0.110764005486692	0.14068722732465	0.284447384925207	0.451509380003793	0.0555893109644673	0.127569456960047	0.16677768841797	0.284355375770103	0.0943807490656847	0.0809073202675626	0.186370911442453	0.277671140653002	0.140265018838136	0.252540816705315	0.369220421491466	0.0769606700875017	0.303268866122545	0.118563213682804	0.154904655316052	0.104384476114331	"Glycosphingolipid biosynthesis - globo and isoglobo series"
"NOD-like receptor signaling pathway"	0.167742810044777	0.125201632986902	0.082969662427786	0.113645352808387	0.140073958631926	0.159231871544831	0.111322917738839	0.116850938100225	0.104644736095103	0.125281869144352	0.104880144595939	0.159200303449104	0.09981186188105	0.138560627258646	0.102007384181187	0.141855596973719	0.118246232557125	0.130227926953371	0.116889332960094	0.10473939923704	0.132507046910258	0.13405354508209	0.126711358880081	0.134237490193781	0.0601113686902003	0.101772038272777	0.101970683402275	0.0984992949707786	0.137422960953162	0.126001033859475	0.131265267710871	0.149577865192656	0.162970971175059	0.136366633479746	0.0594036559115315	0.0842513179709548	0.124891048761606	0.137127337051767	0.0621593102504337	0.134961052125934	0.0845081250512464	0.0806240136721289	0.105226876457562	0.0947225246543834	0.129948815165008	0.062005054485815	0.0759410087148011	0.0922092347387964	0.093347103412929	0.120002981355276	0.120128278502186	0.140581402173759	0.0462836352977594	0.0872554669669478	0.10493270722806	0.109121703924915	0.0955883606618191	0.0779871283060286	0.0941099281741184	0.0973747493084303	0.14282934957995	0.156219102034516	0.0967373909675469	0.0679063126115226	0.116386988938733	0.111813583544967	0.10541864627173	0.116218337010965	"NOD-like receptor signaling pathway"
"Phosphotransferase system (PTS)"	0.225634185583461	0.274680934811821	0.603106961751643	0.262847262440348	0.161173004458241	0.265474410288382	0.132647957170244	0.297341636904693	0.482000092071248	0.145354256215689	0.228838183034513	0.306131582596462	0.315879676267698	0.209811461986557	0.462929784837729	0.144636754158163	0.0961435063164089	0.217298747360386	0.232449678149318	0.147104879025409	0.0973197469636521	0.228707803071537	0.171721622980668	0.075203520768265	0.776751145996874	0.470926754122268	0.235700582586777	0.501939107538681	0.154658405506662	0.32692017026139	0.154585074883298	0.124719735676861	0.241009460229924	0.181265967547637	0.794840214368629	0.418591768728188	0.54725965726479	0.171017510720955	0.79056144748659	0.282098917878116	0.458892473803026	0.778691799487062	0.329567143329025	0.500263642891569	0.262467625386624	0.708031111447603	0.593905840486468	0.615830893741532	0.50876363485113	0.402273680790302	0.121237614398011	0.095417967861051	0.733663973402433	0.491484292548101	0.256012155740133	0.31296540326125	0.542777829238102	0.810672000594661	0.462770521458094	0.317124968479939	0.17630100678667	0.160479092241112	0.12696729544498	0.734892412348037	0.327021248597877	0.371366103387978	0.35363866788333	0.113897469115121	"Phosphotransferase system (PTS)"
"Plant-pathogen interaction"	0.196509925892048	0.166929834507651	0.176093529402437	0.193300880195286	0.169369033345573	0.215642817242797	0.169856808500095	0.173427899953984	0.168603633168653	0.181735330178117	0.153774732183685	0.171186429513792	0.172074468133488	0.191730931847821	0.180370441847623	0.179771990593722	0.150893903328376	0.180374543963487	0.182264234017773	0.176434433271461	0.180065778502003	0.172216457819927	0.170794968320362	0.187056767031502	0.155056988484723	0.166708269585699	0.171431383308155	0.166301396354226	0.188077856106909	0.169914339920434	0.179615754909553	0.189265072016793	0.185735815050339	0.185512596574037	0.189603952764947	0.144639702019204	0.175334605051649	0.174060447780407	0.162007418165993	0.192952998858584	0.16568898609805	0.130529940930777	0.170784980475608	0.164632256903495	0.170391110920275	0.143183203125843	0.151542056477063	0.146539702400733	0.144612022121164	0.161963448943695	0.170900770540805	0.172922488130517	0.148206391135484	0.151346124788026	0.161290180563603	0.162350521032827	0.16571504982284	0.150397092329748	0.154459200897145	0.155144698257384	0.184848623582544	0.167920378254339	0.153639920167109	0.162051485300295	0.158764452627403	0.172190893180915	0.155861658307641	0.166582663879431	"Plant-pathogen interaction"
"Sulfur relay system"	0.206919819468922	0.202480745826198	0.259827051335586	0.16958443128233	0.148621668768306	0.233511208237208	0.0749726413929004	0.142461465172265	0.193272428548089	0.124265140579717	0.164606838837321	0.266200093295985	0.119827927787225	0.20017787280988	0.201177583128523	0.160039260591857	0.104576032342507	0.186533381656802	0.0753175025772831	0.113441499545485	0.0952492567836969	0.168207043608124	0.082066838286797	0.216097845411503	0.242757587214568	0.173619600710735	0.0997012329093615	0.202032230150287	0.147147503457719	0.184224563108044	0.0800556229077932	0.0931137303581585	0.185537563251019	0.106474941122898	0.310297576727052	0.181625662476011	0.267853204304215	0.146948296441762	0.259262430321685	0.155594314124985	0.206975960793401	0.223549750894597	0.13691327475082	0.243385607143603	0.114482432252775	0.297313164559591	0.237944658738171	0.235734305401574	0.260188316085027	0.2326615515994	0.114102432195834	0.0794980239080379	0.277217744682664	0.224431168289371	0.194469401295631	0.14095358377491	0.266952306466404	0.253109781368317	0.203166112079954	0.127923123464878	0.255817990096586	0.140071679998862	0.157598481320468	0.280490904919501	0.101562091753312	0.237437477952997	0.213300136103396	0.188501204160009	"Sulfur relay system"
"Various types of N-glycan biosynthesis"	0.122592496758924	0.121685933728113	0.048608509934804	0.162055452659548	0.10535237550355	0.0546004311381949	0.13209845737197	0.16468529195491	0.128965258745474	0.177870082272366	0.157446261503478	0.0515885886657528	0.185470539836711	0.115648432451976	0.144369088626244	0.113501294335834	0.115346914525388	0.12953554658322	0.27500931114233	0.20218018784072	0.270835050961592	0.18171698687957	0.240991830058224	0.0621354186472097	0.0268838638486975	0.17483687813428	0.245501833049389	0.113727546097791	0.156826525481002	0.121864765105979	0.289583799276451	0.264383029068253	0.124770730778451	0.149182365320886	0.000208190481906687	0.192668453114408	0.0385314009165339	0.156632058862212	0.0178269337436837	0.179294099050558	0.137413104482351	0.025725933423167	0.18706255960538	0.0770524500403041	0.183010936787502	0.00805464422377951	0.076945350126204	0.132709138441187	0.0320565504349357	0.070290909841525	0.19968735592761	0.277057412696715	0.00850709228145133	0.041273357853661	0.0779932843310375	0.183950137093327	0.034112371586404	0.023330138098728	0.0698819549094484	0.160644422665676	0.0548625888824067	0.132299603681083	0.267356177228849	0.0290322122396042	0.171856665618272	0.0645751664730095	0.0562615512249164	0.0591117048202952	"Various types of N-glycan biosynthesis"
