"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"	"ID"
"K00262"	0.16173302410398	0.157215031283561	0.103384046351534	0.174034539703185	0.198115492914696	0.166201378065711	0.162943131419096	0.18763753985619	0.129993076167145	0.231764991940259	0.171109608320088	0.145815596970961	0.173850823908664	0.191046295426177	0.134356426597464	0.207626547667665	0.207121904225762	0.178778765547883	0.200990767436088	0.233455178312936	0.2429123236749	0.144870335779731	0.226807135506122	0.183864660154654	0.0623138995526418	0.131296584921436	0.186639969762277	0.116351324916405	0.210033169761289	0.151403152838929	0.196676113701277	0.228095801474482	0.175909490435974	0.199203123877062	0.056596470488749	0.137867161734362	0.0994898494916677	0.176420151678368	0.0740062353845328	0.158854221128012	0.0968147248774178	0.151128278710229	0.157827195616218	0.116067980642843	0.178528566205203	0.061219268971128	0.096261832316106	0.124508582489667	0.123659747476758	0.165095662108373	0.205423113929156	0.198708991988024	0.0640942419114983	0.105854095517201	0.165163344941414	0.16543490602023	0.102121976182134	0.088365335076495	0.14803835724063	0.182724224765526	0.164502250184104	0.167319274145569	0.137950399574868	0.0880997094119104	0.161750522927577	0.117155193288522	0.167788439901563	0.169283600206042	"K00262"
"K01130"	0.0925001776096709	0.0408407114881245	0.0422693299800129	0.151973376876663	0.0822919530747802	0.0442487029775407	0.097353156440101	0.0722213583803532	0.121803124704399	0.250128147303943	0.137183576512243	0.0441740019435673	0.175673960956568	0.0582099080808474	0.135027814075354	0.0649618444467042	0.0835279494431459	0.0896897146417211	0.247586248044717	0.141670075981613	0.204093951135538	0.120957314584462	0.23729701438899	0.0477614593470262	0.0828148403199874	0.165069225467976	0.281439857584681	0.0879217329751887	0.103560117978248	0.085943717314	0.366490423916171	0.193725755397932	0.112141282654528	0.183978486963927	0.000111078674466533	0.084068313579753	0.0345580084945831	0.14398178643068	0.0365415051781879	0.191624724499635	0.204528633206747	0.00459990768725613	0.189726833242896	0.0522265620852462	0.155450186692177	0.00620996121088301	0.0603082151796441	0.033662660318947	0.0060931587887976	0.0453301025334475	0.122060266024963	0.204771296899857	0.0597635658996872	0.0333409673505232	0.0574191943135697	0.145849328070542	0.0421613381943776	0.0206159942156225	0.0693578873189619	0.157965127108244	0.0254482416733888	0.135516776132003	0.172367072232479	0.00767520027997496	0.253412681097085	0.0477472140935779	0.0518544382226223	0.0219108027795987	"K01130"
"K01223"	0.0821407705018587	0.0937095544241855	0.293329668163873	0.114961294273021	0.0666529479499274	0.0921501259489404	0.0254371251672774	0.147144525054382	0.156881195460339	0.0439118603871403	0.135179920663413	0.15873505984667	0.141796781121362	0.0752142505162175	0.100773180852925	0.0825519981814577	0.0392538210682302	0.12549190950421	0.118732530415713	0.0557608510988532	0.0188240706723648	0.0994650525434917	0.0904939331207576	0.0245310976217185	0.275293612531059	0.132859178032881	0.0972271035288207	0.130124800433701	0.0718165278344459	0.107244147576598	0.0548853240068003	0.0678282956427458	0.135518630769058	0.0650783597585249	0.25660594409843	0.158092280235715	0.208175984976169	0.0632317889020763	0.378150639881849	0.102558675772445	0.0958821624609191	0.107352128532966	0.158759217008059	0.190267698555694	0.134955742536986	0.247492455996794	0.305857120775432	0.34261280172003	0.172635827519806	0.193399711901434	0.0466779667966776	0.0332713691012034	0.311271905594221	0.331440338028089	0.0846086534578129	0.154213113121692	0.223626442689411	0.264212769877948	0.241408640105636	0.0683293595906656	0.0716558149248495	0.0425478029600187	0.0331215451660197	0.261184286876487	0.134510683993935	0.156611436881541	0.257854293524944	0.0500524147926399	"K01223"
"K01607"	0.108954616961458	0.106786220285432	0.0941345579416498	0.120447619841313	0.0910946166167631	0.069694854897352	0.0568262470756444	0.111099698578789	0.129164280116193	0.110123490918475	0.109851857537393	0.112510383211777	0.146923848737568	0.115244494968729	0.0612091002559625	0.145198977075582	0.0816999068268483	0.0916514076172126	0.0943221583555215	0.110546950084472	0.1221186468579	0.119696844814332	0.12742315381624	0.084203599646311	0.154913869234617	0.0950759781688168	0.135271475412648	0.107326050045326	0.134184936484926	0.13613427316142	0.122174513200112	0.0971076302823763	0.0884556284212692	0.125144750557802	0.000578806563627448	0.168145025991657	0.0357085400919045	0.130899272965665	0.178708975993751	0.0876232321970905	0.108914484591545	0.0769151848727074	0.0983501904667963	0.0927471765402638	0.0928698433510952	0.0245952486954784	0.0511751861604562	0.106623482690574	0.0652745678304339	0.11228825140957	0.164250682777482	0.152998050721189	0.16809629961589	0.071658347160639	0.14612338119504	0.0939547212095259	0.0971448283722453	0.0617723235407323	0.112419979234035	0.134876820911591	0.0876630030960549	0.149084465072739	0.204340724460281	0.0577286959176805	0.101082378796039	0.0543876666317972	0.126675588185401	0.0857012209859776	"K01607"
"K01610"	0.155459425316754	0.122671655922406	0.124565263513991	0.144835627565181	0.158064827441922	0.166180192384198	0.190174600594229	0.147317490178279	0.112127359353814	0.145018737611685	0.106450582724308	0.182177771207324	0.140049586475686	0.160574505400779	0.115108355995473	0.150011426713054	0.173467717962456	0.144690835781963	0.150047406387448	0.130910151111431	0.161422525570664	0.132986590268387	0.162811968400544	0.152427739430915	0.111873372389434	0.120036004974262	0.127741124811907	0.11555307744913	0.151639061090682	0.12438932185584	0.139863429585162	0.164434262008707	0.188998958846589	0.167952549726667	0.0739138220783512	0.0998370033821546	0.115399254125706	0.139396540750986	0.0990393324545083	0.134764776135147	0.0943581706607389	0.144543923941588	0.124556069692204	0.106570208730498	0.125968314145026	0.0973782213351787	0.104961178371336	0.109778137954544	0.126560931946949	0.120358470060339	0.134546688748763	0.141952976837054	0.126113122922798	0.091302805550002	0.110155019239188	0.134179270229678	0.12318809399943	0.0995757707319522	0.0967539555916697	0.108553945109973	0.117562441750807	0.147249301970483	0.0843799579791287	0.0826019094252306	0.13326895012421	0.128521675985057	0.147227469390199	0.134619872388266	"K01610"
"K01624"	0.234793656782881	0.302440234763198	0.223366722189703	0.255932343800908	0.219318484110731	0.246591224109874	0.159345987871799	0.210372933844238	0.23917064441957	0.21061263109602	0.190536318068138	0.234227360194328	0.197678776804471	0.21051417242529	0.232208259286503	0.228820992187822	0.206234242529561	0.239142919492052	0.194757295169912	0.187661512149	0.186153470374534	0.204857525463347	0.19081661696949	0.299467964920246	0.160232948387462	0.226838147992743	0.179125605295061	0.233184419734694	0.229199253412342	0.294259944001907	0.159398105144085	0.183739850642866	0.231104217835575	0.222566265621126	0.10514897094098	0.250745252488649	0.156980369208036	0.182935120053777	0.205760359186695	0.164394669013846	0.190713700146387	0.637634953177067	0.150016601545132	0.21045658697487	0.190969515182688	0.120174729186649	0.172340973901413	0.38408909704166	0.264423655417782	0.293380873593491	0.173103659490189	0.165163781160956	0.132930362674886	0.327265308839238	0.224712270614945	0.175235337932746	0.182723781692855	0.335600097193206	0.265376156099955	0.271049033121996	0.295894375272672	0.200027030246614	0.161898509584879	0.292300060369225	0.242178778959005	0.152508204411166	0.256540005165312	0.179517602723198	"K01624"
"K01880"	0.155679878145617	0.146709054203717	0.0655267823418538	0.168717920111402	0.18195873674961	0.175780030642027	0.177803539358909	0.13043772656511	0.0778244379786903	0.165813427775852	0.133665388297749	0.147225085714873	0.104884369359859	0.161342049644593	0.0770359390810781	0.180104482420419	0.190982549668462	0.167146027089693	0.136146009382723	0.154754329489582	0.188139689141452	0.133013573953648	0.138421371439025	0.197393049145269	0.0141356668626823	0.07739049366489	0.111917005777708	0.0789463943544442	0.162768923353324	0.140166751539563	0.126919975791317	0.14233600634701	0.161879085575221	0.155191099963209	7.05242245224812e-05	0.103047600355141	0.0646096772180352	0.150132719756757	0.0338815527583848	0.107547025897338	0.0905758122577481	0.131743520040556	0.0898484186387971	0.0837946088460637	0.130893620189981	0.0197051445403418	0.0675445016486481	0.105112399918124	0.107457536795111	0.14143411347122	0.14407710577253	0.124628506030053	0.0201261440579222	0.100060602127881	0.139737492592825	0.110061277485514	0.0714611844468791	0.0611603383162645	0.113829348818763	0.12042563564925	0.188806756371067	0.153921830089021	0.116361896219182	0.0543698196018679	0.120131740524427	0.108908581435182	0.149596327996741	0.200588440235162	"K01880"
"K01912"	0.109341529033803	0.129229545560884	0.0843975651525282	0.161581260337529	0.0553349697663146	0.119938875671745	0.0719914331205955	0.149307341889605	0.14266263129765	0.191199600301583	0.170409915389503	0.0619235435809462	0.21497630062973	0.140616754350003	0.137035441848841	0.0905680235231985	0.0858716492225089	0.125993782675231	0.269743822187271	0.170842638907888	0.177332459990061	0.135425281314756	0.249669928721535	0.137436432238308	0.0573544889200109	0.165649590225716	0.231008496789922	0.12764932916802	0.108627285935981	0.140580949023204	0.267331321921488	0.189635390201437	0.0732650474842134	0.123291524517181	0.0601958279114298	0.1039318152726	0.0648743889303971	0.148285573338525	0.0486608774320849	0.165725579911781	0.0909989811905553	0.0437634563045175	0.207520452144121	0.0967830380254208	0.176763218014715	0.05096604639072	0.111573399844734	0.0796502412774515	0.0608673002555499	0.117274218005572	0.193352860058187	0.336563772166561	0.0610885722947693	0.11987416216251	0.122392062683835	0.202124204130476	0.0661493380455856	0.0779032729033212	0.090636346763272	0.194202483856739	0.111150579400044	0.0862187673309889	0.123519950027086	0.0370456210646754	0.170825135730597	0.0697916412100778	0.0590685327962636	0.0777868093472043	"K01912"
"K01928"	0.151902646039253	0.138455023353948	0.104253628193878	0.143637905897688	0.163368620078304	0.139493999291477	0.177757530255391	0.128564300005231	0.0979517031749969	0.152012854910273	0.145143039443921	0.160763803320328	0.123270827716657	0.162569435541481	0.10133379917595	0.150345560330479	0.201573802522101	0.153466405099773	0.141315325597056	0.166194811377413	0.145137673739789	0.14015240883029	0.139453418989166	0.195259949878879	0.0706223987226144	0.0951125312550634	0.119286595855955	0.096375300892066	0.144375375462322	0.131947149447008	0.127860850653487	0.148530137965469	0.15631119611862	0.150071279885954	0.0372258866549989	0.122890791640566	0.0936988365390243	0.155189257128803	0.0811716570382458	0.128833072191729	0.102663147056182	0.165056341610312	0.107359245867619	0.116883924820665	0.13804197856636	0.0617662254405148	0.0877826626820507	0.130321266551701	0.135921683685692	0.17075767523413	0.156932754398971	0.130102224675977	0.0765586095230851	0.112265815984277	0.149171389209742	0.124660635564085	0.116543686759058	0.0895517314476538	0.122037609321427	0.127773659135653	0.188028492372283	0.160456220380855	0.132281692331552	0.0894881276132801	0.132212552349241	0.135128949794822	0.153294885700485	0.218553427772131	"K01928"
"K01937"	0.151816394893489	0.150549565098444	0.149139347124829	0.222580025783002	0.178207030053767	0.174199949710027	0.202936489946416	0.143286724271312	0.113786160851849	0.156015228644295	0.133255450697367	0.141399542449656	0.128870438947365	0.164520997918098	0.0966355031521635	0.180918332273166	0.170368754485947	0.154876098731922	0.115115079983377	0.148923140542342	0.150355920108438	0.148593589156911	0.137531391528018	0.219640044765101	0.116453559988352	0.109403715542651	0.130401041263219	0.112296994297229	0.171401855066498	0.142279056521226	0.114488218859625	0.132738822825045	0.151240759520243	0.156200560444301	0.069470946524744	0.140431353283845	0.10769940310172	0.152098485562816	0.114269961615387	0.125188603305083	0.135356535713116	0.171882055299664	0.11041908489478	0.13459653311182	0.133099214669297	0.0835623590755229	0.0992143801020019	0.132238709348033	0.134727455398804	0.144991931176004	0.145946740223221	0.126350964260759	0.114984092545252	0.124871474870141	0.159668209415902	0.116490490198211	0.113087376835143	0.101044478251031	0.133359732952089	0.139139135782125	0.198438853082602	0.162356845615792	0.146211203327142	0.114373505207959	0.135676393664012	0.134336700587241	0.153072086640979	0.177285597594241	"K01937"
