"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"3.1 Membrane transport"	0.740520060900982	0.153018405683603	1.32802171611836	"0.0214829389808674"	"Control"
"1.11 Xenobiotics biodegradation and metabolism"	0.101252344032731	0.0135008290159814	0.189003859049481	"0.00887220926687483"	"Control"
"6.1 Cancer: overview"	-0.0176080281995129	-0.045607577128615	0.0103915207295892	"0.0317016168274278"	"Disease"
"6.12 Drug resistance: antineoplastic"	-0.0178747168411496	-0.0350751231687007	-0.000674310513598364	"0.0485438926088226"	"Disease"
"5.6 Nervous system"	-0.0250474756021619	-0.0445030647716181	-0.0055918864327056	"0.0114824442741448"	"Disease"
"5.2 Endocrine system"	-0.025150706609408	-0.0485660791696951	-0.00173533404912085	"0.0270302698429197"	"Disease"
"2.1 Transcription"	-0.0264785342693583	-0.0484288263614891	-0.00452824217722749	"0.0169426740858376"	"Disease"
"5.1 Immune system"	-0.0347513392772133	-0.0522134223201048	-0.0172892562343218	"0.000263021540430693"	"Disease"
"1.10 Biosynthesis of other secondary metabolites"	-0.121398890249176	-0.242989151903502	0.000191371405149011	"0.0471346611765864"	"Disease"
"4.2 Cell growth and death"	-0.122669594165498	-0.207322411832277	-0.0380167764987195	"0.00389379216512501"	"Disease"
"4.1 Transport and catabolism"	-0.134876148670342	-0.237198392160179	-0.0325539051805044	"0.0132574122560329"	"Disease"
"1.7 Glycan biosynthesis and metabolism"	-0.341990755186541	-0.600692046454131	-0.0832894639189518	"0.00854558527858057"	"Disease"
