"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"K01223"	0.0694596915789892	0.0295992254071923	0.109320157750786	"0.00316439504810872"	"Control"
"K00656"	0.0360986418882658	0.0158019760296215	0.05639530774691	"0.0044004623934673"	"Control"
"K01752"	0.0205710703947195	0.00527254567382378	0.0358695951156152	"0.0106756372231422"	"Control"
"K02073"	0.0191081587585962	-0.0036544309690743	0.0418707484862667	"0.0279145521562619"	"Control"
"K01754"	0.0152785419229823	0.00230626455848145	0.0282508192874831	"0.013736858120833"	"Control"
"K00266"	0.0135320437841072	-0.00183398627969785	0.0288980738479123	"0.0348192897470409"	"Control"
"K00865"	0.0132258406863	0.00164183533458724	0.0248098460380127	"0.0327135201739003"	"Control"
"K00864"	0.013123570925584	0.0018897028301872	0.0243574390209808	"0.04441789522903"	"Control"
"K01704"	-0.00844963451869364	-0.0186745001263671	0.00177523108897986	"0.0359142644007336"	"Disease"
"K01703"	-0.00856707591524358	-0.0220225258920775	0.00488837406159037	"0.0471346611765864"	"Disease"
"K01687"	-0.010468522328046	-0.0226254599133678	0.00168841525727586	"0.0418327016921802"	"Disease"
"K00954"	-0.0109056379576179	-0.0206146275944728	-0.00119664832076302	"0.0222100107017505"	"Disease"
"K00548"	-0.0109598469726331	-0.0199895327464771	-0.00193016119878896	"0.00654122692705704"	"Disease"
"K00099"	-0.0112351285658718	-0.0234285248666693	0.000958267734925634	"0.0370380472744776"	"Disease"
"K01129"	-0.0116593244725891	-0.0210424785261021	-0.00227617041907607	"0.0337525606890626"	"Disease"
"K00053"	-0.0116919035741418	-0.0227915653585433	-0.000592241789740171	"0.0163672064385063"	"Disease"
"K03685"	-0.011738371386493	-0.024033063405246	0.000556320632260121	"0.0499878361665468"	"Disease"
"K00873"	-0.0117548264350623	-0.0219608999459149	-0.00154875292420976	"0.0270302698429197"	"Disease"
"K02871"	-0.0121239767608199	-0.0228467005390182	-0.00140125298262164	"0.0288233034245466"	"Disease"
"K02874"	-0.0121319944529839	-0.0238395088561179	-0.000424480049850028	"0.0471346611765864"	"Disease"
"K00858"	-0.0123608142602216	-0.0238651249956037	-0.00085650352483957	"0.040587952509446"	"Disease"
"K00784"	-0.0127227503654499	-0.0251710782833038	-0.000274422447595893	"0.022958078398137"	"Disease"
"K01755"	-0.0127636813689998	-0.0237959539018835	-0.00173140883611604	"0.0237276187763564"	"Disease"
"K02986"	-0.0127789659786188	-0.0254295499818847	-0.000128381975352975	"0.04441789522903"	"Disease"
"K01338"	-0.0128644855056796	-0.0237242089837693	-0.00200476202758996	"0.022958078398137"	"Disease"
"K01733"	-0.0131084508729647	-0.0235737349317387	-0.0026431668141907	"0.0114824442741448"	"Disease"
"K02867"	-0.0131417925845303	-0.0240008891810772	-0.00228269598798341	"0.0163672064385063"	"Disease"
"K00981"	-0.0134768482488988	-0.0243316120352498	-0.00262208446254782	"0.00854558527858057"	"Disease"
"K01886"	-0.0135065286968229	-0.0246828652595242	-0.00233019213412158	"0.0207763931284584"	"Disease"
"K03584"	-0.0135325615096887	-0.0239114439207118	-0.00315367909866553	"0.0114824442741448"	"Disease"
"K01883"	-0.0137159455475806	-0.0259767441538367	-0.00145514694132442	"0.0307163050616892"	"Disease"
"K01867"	-0.01385688095153	-0.0252892037318451	-0.00242455817121487	"0.00605100188694443"	"Disease"
"K11753"	-0.0139042658887602	-0.0262313364956781	-0.00157719528184225	"0.0457595309732071"	"Disease"
"K00297"	-0.0139125202564588	-0.0257078746424918	-0.00211716587042578	"0.0288233034245466"	"Disease"
"K01000"	-0.0139290648390704	-0.0251585104406958	-0.00269961923744492	"0.0222100107017505"	"Disease"
"K00027"	-0.014252464066431	-0.0250770663289817	-0.00342786180388025	"0.00887220926687483"	"Disease"
"K00760"	-0.0143484751875314	-0.0263651602881994	-0.00233179008686347	"0.0194230317851907"	"Disease"
"K02906"	-0.0144011654773897	-0.0271348622341823	-0.00166746872059715	"0.0288233034245466"	"Disease"
"K17828"	-0.0146709942525694	-0.0301486101363391	0.000806621631200311	"0.0471346611765864"	"Disease"
"K02994"	-0.014747124900692	-0.0259229409319976	-0.00357130886938646	"0.0142313280216191"	"Disease"
"K00927"	-0.0148486356968949	-0.0286345787360127	-0.00106269265777706	"0.0270302698429197"	"Disease"
"K01887"	-0.0149012055236045	-0.0322897489880587	0.00248733794084961	"0.0499878361665468"	"Disease"
"K03703"	-0.0149780279288037	-0.0285830258466968	-0.00137303001091064	"0.0114824442741448"	"Disease"
"K02933"	-0.0150092391143886	-0.0263313211606833	-0.0036871570680939	"0.0132574122560329"	"Disease"
"K01928"	-0.0150960344699738	-0.0308194468172222	0.000627377877274712	"0.0317016168274278"	"Disease"
"K03555"	-0.0151162189015635	-0.0287424802202393	-0.00148995758288773	"0.0152668782154038"	"Disease"
"K01893"	-0.0152971910581183	-0.0279176348597688	-0.00267674725646787	"0.013736858120833"	"Disease"
"K00088"	-0.0154747041121193	-0.0287794727103412	-0.00216993551389735	"0.0175355638392515"	"Disease"
"K03648"	-0.0155568776609432	-0.028075749129246	-0.00303800619264028	"0.00762840096010787"	"Disease"
"K11749"	-0.0155679658420612	-0.0270795686154065	-0.00405636306871598	"0.00516732991081421"	"Disease"
"K09811"	-0.015613361924554	-0.0265829470356756	-0.00464377681343232	"0.00955858493017509"	"Disease"
"K02967"	-0.0156344761909719	-0.0286055316126064	-0.00266342076933733	"0.0200899096680479"	"Disease"
"K02358"	-0.0158007331479043	-0.0279556254483827	-0.00364584084742596	"0.00734261333518027"	"Disease"
"K03217"	-0.0158695836928936	-0.0285887862563092	-0.00315038112947799	"0.0237276187763564"	"Disease"
"K00648"	-0.0161328411173521	-0.0354306001244302	0.00316491788972602	"0.0307163050616892"	"Disease"
"K01791"	-0.0163374395992995	-0.0342157303591055	0.00154085116050655	"0.0288233034245466"	"Disease"
"K00826"	-0.0167773203806467	-0.028483467715076	-0.00507117304621735	"0.00458198975135091"	"Disease"
"K01923"	-0.0168173331238774	-0.0273833803093926	-0.00625128593836214	"0.00477017039244359"	"Disease"
"K01937"	-0.0171907321238002	-0.0306967737528653	-0.00368469049473517	"0.0175355638392515"	"Disease"
"K01465"	-0.0172503424096264	-0.0336147716274204	-0.000885913191832474	"0.0393743153197091"	"Disease"
"K00800"	-0.0173726874671218	-0.0313864918983528	-0.00335888303589079	"0.0207763931284584"	"Disease"
"K01869"	-0.0174363291742092	-0.0322954193485741	-0.00257723899984433	"0.0359142644007336"	"Disease"
"K01874"	-0.0175101481307169	-0.0342256521022749	-0.00079464415915891	"0.0359142644007336"	"Disease"
"K01868"	-0.0176679332100095	-0.0346644378774676	-0.000671428542551321	"0.0317016168274278"	"Disease"
"K06881"	-0.0176858446522545	-0.0361644042324941	0.000792714927985216	"0.0381912064445395"	"Disease"
"K03046"	-0.0177055233848926	-0.0319260626868164	-0.00348498408296883	"0.0142313280216191"	"Disease"
"K05515"	-0.0182841877302691	-0.0298045412241186	-0.00676383423641965	"0.00206185537896448"	"Disease"
