"V1"	"p.value"
"K00012"	"0.024519115100815"
"K00014"	"0.88856538757455"
"K00027"	"0.00887220926687483"
"K00052"	"0.279668324670045"
"K00053"	"0.0163672064385063"
"K00057"	"0.570748383593253"
"K00059"	"0.554271433529298"
"K00067"	"0.0783232309742039"
"K00075"	"0.424192808278133"
"K00088"	"0.0175355638392515"
"K00099"	"0.0370380472744776"
"K00133"	"0.840659006772999"
"K00134"	"0.431320846268577"
"K00145"	"0.233390543899094"
"K00174"	"0.00267192583449854"
"K00175"	"0.00373689464880068"
"K00215"	"0.0826304989590772"
"K00262"	"9.92446805787084e-05"
"K00266"	"0.0348192897470409"
"K00286"	"0.268887690977695"
"K00297"	"0.0288233034245466"
"K00384"	"0.898200818762703"
"K00525"	"0.546119993301677"
"K00548"	"0.00654122692705704"
"K00558"	"0.243180103768127"
"K00560"	"0.0646479716240056"
"K00600"	"0.285165870099187"
"K00602"	"0.056123083717721"
"K00604"	"0.410142429489637"
"K00609"	"0.104405554532115"
"K00615"	"0.403220834022224"
"K00640"	"0.396368758766413"
"K00645"	"0.274242305474424"
"K00648"	"0.0307163050616892"
"K00655"	"0.210132287993012"
"K00656"	"0.0044004623934673"
"K00688"	"0.376232675758544"
"K00700"	"0.184467478542233"
"K00705"	"0.562481165310586"
"K00760"	"0.0194230317851907"
"K00762"	"0.228600545006112"
"K00763"	"0.710101802939085"
"K00764"	"0.0348192897470409"
"K00784"	"0.022958078398137"
"K00789"	"0.638851806277605"
"K00790"	"0.319657498992003"
"K00791"	"0.0485438926088226"
"K00800"	"0.0207763931284584"
"K00806"	"0.0594151355125143"
"K00820"	"0.445780578711665"
"K00826"	"0.00458198975135091"
"K00831"	"0.00234908439973323"
"K00845"	"0.579072261096908"
"K00850"	"0.0514671066904604"
"K00858"	"0.040587952509446"
"K00864"	"0.04441789522903"
"K00865"	"0.0327135201739003"
"K00873"	"0.0270302698429197"
"K00874"	"0.143492106176459"
"K00876"	"0.00405655944234115"
"K00891"	"0.52999509536143"
"K00919"	"0.656389615385712"
"K00925"	"0.0237276187763564"
"K00927"	"0.0270302698429197"
"K00930"	"0.307873054131914"
"K00931"	"0.0545341066124384"
"K00937"	"0.302088583956109"
"K00939"	"0.0594151355125143"
"K00942"	"0.319657498992003"
"K00945"	"0.21922869222007"
"K00948"	"0.363161353518171"
"K00951"	"0.00605100188694443"
"K00954"	"0.0222100107017505"
"K00962"	"0.0683404900278064"
"K00969"	"0.0826304989590772"
"K00971"	"0.0163672064385063"
"K00973"	"0.0529823227829998"
"K00974"	"0.331729177230021"
"K00975"	"0.587451948518093"
"K00981"	"0.00854558527858057"
"K01000"	"0.0222100107017505"
"K01006"	"0.00496521263158993"
"K01012"	"0.946572514110078"
"K01051"	"0.0826304989590772"
"K01091"	"0.258392093918448"
"K01104"	"0.793328089130803"
"K01126"	"0.00290880205386276"
"K01129"	"0.0337525606890626"
"K01130"	"0.00654122692705704"
"K01142"	"0.95627593463618"
"K01190"	"0.0106756372231422"
"K01198"	"0.00706633328650595"
"K01206"	"0.0175355638392515"
"K01207"	"0.344087661549507"
"K01209"	"0.00516732991081421"
"K01223"	"0.00316439504810872"
"K01243"	"0.74673683772813"
"K01270"	"0.00605100188694443"
"K01338"	"0.022958078398137"
"K01358"	"0.133613305472837"
"K01424"	"0.0147412048562606"
"K01442"	"0.00206185537896448"
"K01443"	"0.285165870099187"
"K01448"	"0.719202562997519"
"K01465"	"0.0393743153197091"
"K01489"	"0.124262215323569"
"K01520"	"0.898200818762703"
"K01586"	"0.0646479716240056"
"K01588"	"0.579072261096908"
"K01591"	"0.184467478542233"
"K01607"	"0.350374227125645"
"K01610"	"1.65528804700418e-06"
"K01619"	"0.0646479716240056"
"K01624"	"0.453111385751022"
"K01649"	"0.0664734066660091"
"K01652"	"0.0783232309742039"
"K01653"	"0.522023134865122"
"K01662"	"0.0261699411798132"
"K01686"	"0.00422538505387108"
"K01687"	"0.0418327016921802"
"K01689"	"0.363161353518171"
"K01703"	"0.0471346611765864"
"K01704"	"0.0359142644007336"
"K01710"	"0.127321575076527"
"K01714"	"0.369661586337935"
"K01733"	"0.0114824442741448"
"K01735"	"0.0529823227829998"
"K01736"	"0.356732175349812"
"K01738"	"0.0894442111536932"
"K01740"	"0.0207763931284584"
"K01752"	"0.0106756372231422"
"K01754"	"0.013736858120833"
"K01755"	"0.0237276187763564"
"K01756"	"0.136846840301918"
"K01775"	"0.831141432576995"
"K01776"	"0.546119993301677"
"K01778"	"0.490754945087912"
"K01783"	"0.490754945087912"
"K01784"	"0.840659006772999"
"K01785"	"0.00267192583449854"
"K01790"	"0.0529823227829998"
"K01791"	"0.0288233034245466"
"K01803"	"0.431320846268577"
"K01809"	"0.124262215323569"
"K01810"	"0.0918121168198633"
"K01835"	"0.522023134865122"
"K01866"	"0.00605100188694443"
"K01867"	"0.00605100188694443"
"K01868"	"0.0317016168274278"
"K01869"	"0.0359142644007336"
"K01870"	"0.279668324670045"
"K01872"	"0.121259738729039"
"K01873"	"0.0871250698157355"
"K01874"	"0.0359142644007336"
"K01875"	"0.228600545006112"
"K01876"	"0.683047775355489"
"K01880"	"0.000509509025534809"
"K01881"	"0.403220834022224"
"K01883"	"0.0307163050616892"
"K01885"	"0.0529823227829998"
"K01886"	"0.0207763931284584"
"K01887"	"0.0499878361665468"
"K01889"	"0.0646479716240056"
"K01890"	"0.133613305472837"
"K01892"	"0.290735043730587"
"K01893"	"0.013736858120833"
"K01912"	"0.0147412048562606"
"K01915"	"0.0237276187763564"
"K01921"	"0.946572514110078"
"K01923"	"0.00477017039244359"
"K01924"	"0.109806619263421"
"K01925"	"0.268887690977695"
"K01928"	"0.0317016168274278"
"K01929"	"0.350374227125645"
"K01933"	"0.228600545006112"
"K01934"	"0.214646222766377"
"K01937"	"0.0175355638392515"
"K01938"	"0.192754743057949"
"K01939"	"0.274242305474424"
"K01940"	"0.00172828547353961"
"K01945"	"0.831141432576995"
"K01951"	"0.0871250698157355"
"K01952"	"0.350374227125645"
"K01953"	"0.621511053820763"
"K01955"	"0.356732175349812"
"K01956"	"0.498477708836822"
"K01972"	"0.74673683772813"
"K01991"	"0.0214829389808674"
"K01999"	"0.124262215323569"
"K02031"	"0.107079478740393"
"K02033"	"0.907851082514503"
"K02034"	"0.812180734410161"
"K02035"	"0.878946175875843"
"K02036"	"0.562481165310586"
"K02037"	"0.630156297343347"
"K02038"	"0.52999509536143"
"K02040"	"0.205686541308142"
"K02073"	"0.0279145521562619"
"K02078"	"0.157510924413854"
"K02108"	"0.168679033945972"
"K02109"	"0.656389615385712"
"K02111"	"0.701041658032387"
"K02112"	"0.917514785529495"
"K02113"	"0.403220834022224"
"K02115"	"0.783945538083123"
"K02171"	"0.00389379216512501"
"K02313"	"0.0783232309742039"
"K02314"	"0.647596584329815"
"K02316"	"0.0253330571529404"
"K02335"	"0.0942294301909441"
"K02337"	"0.0804537759686363"
"K02338"	"0.0826304989590772"
"K02340"	"0.396368758766413"
"K02342"	"0.0027881012850664"
"K02343"	"0.356732175349812"
"K02358"	"0.00734261333518027"
"K02428"	"0.467972484917295"
"K02495"	"0.0826304989590772"
"K02563"	"0.115423037080574"
"K02564"	"0.000461267758087026"
"K02863"	"0.313729359139662"
"K02864"	"0.337872608901708"
"K02867"	"0.0163672064385063"
"K02871"	"0.0288233034245466"
"K02874"	"0.0471346611765864"
"K02876"	"0.0942294301909441"
"K02878"	"0.0826304989590772"
"K02879"	"0.223880027713982"
"K02886"	"0.164893020299318"
"K02890"	"0.157510924413854"
