"V1"	"p.value"
"K20509"	"0.000213086139951252"
"K04079"	"0.000307331403107934"
"K02564"	"0.000461267758087026"
"K01880"	"0.000509509025534809"
"K03100"	"0.00056234149245272"
"K15633"	"0.000683366812794726"
"K07165"	"0.000999656225223891"
"K03205"	"0.00114923256816823"
"K03671"	"0.00114923256816823"
"K06131"	"0.00151106720098876"
"K01940"	"0.00172828547353961"
"K01442"	"0.00206185537896448"
"K05515"	"0.00206185537896448"
"K00831"	"0.00234908439973323"
"K03076"	"0.00256012699124204"
"K00174"	"0.00267192583449854"
"K01785"	"0.00267192583449854"
"K02342"	"0.0027881012850664"
"K01126"	"0.00290880205386276"
"K17836"	"0.00303418096764882"
"K01223"	"0.00316439504810872"
"K00175"	"0.00373689464880068"
"K02171"	"0.00389379216512501"
"K03654"	"0.00389379216512501"
"K00876"	"0.00405655944234115"
"K01686"	"0.00422538505387108"
"K00656"	"0.0044004623934673"
"K00826"	"0.00458198975135091"
"K01923"	"0.00477017039244359"
"K01006"	"0.00496521263158993"
"K01209"	"0.00516732991081421"
"K11749"	"0.00516732991081421"
"K03040"	"0.00559366943950493"
"K00951"	"0.00605100188694443"
"K01270"	"0.00605100188694443"
"K01866"	"0.00605100188694443"
"K01867"	"0.00605100188694443"
"K14155"	"0.0062918806509214"
"K00548"	"0.00654122692705704"
"K01130"	"0.00654122692705704"
"K01198"	"0.00706633328650595"
"K02358"	"0.00734261333518027"
"K03648"	"0.00762840096010787"
"K03737"	"0.00792397077071731"
"K00981"	"0.00854558527858057"
"K00027"	"0.00887220926687483"
"K02945"	"0.00887220926687483"
"K09811"	"0.00955858493017509"
"K01190"	"0.0106756372231422"
"K01752"	"0.0106756372231422"
"K10206"	"0.0110726078171952"
"K01733"	"0.0114824442741448"
"K03043"	"0.0114824442741448"
"K03584"	"0.0114824442741448"
"K03703"	"0.0114824442741448"
"K02933"	"0.0132574122560329"
"K07456"	"0.0132574122560329"
"K01754"	"0.013736858120833"
"K01893"	"0.013736858120833"
"K02994"	"0.0142313280216191"
"K03046"	"0.0142313280216191"
"K12373"	"0.0142313280216191"
"K01424"	"0.0147412048562606"
"K01912"	"0.0147412048562606"
"K03555"	"0.0152668782154038"
"K00053"	"0.0163672064385063"
"K00971"	"0.0163672064385063"
"K02867"	"0.0163672064385063"
"K21636"	"0.0169426740858376"
"K00088"	"0.0175355638392515"
"K01206"	"0.0175355638392515"
"K01937"	"0.0175355638392515"
"K00760"	"0.0194230317851907"
"K02967"	"0.0200899096680479"
"K15923"	"0.0200899096680479"
"K00800"	"0.0207763931284584"
"K01740"	"0.0207763931284584"
"K01886"	"0.0207763931284584"
"K18682"	"0.0207763931284584"
"K01991"	"0.0214829389808674"
"K00954"	"0.0222100107017505"
"K01000"	"0.0222100107017505"
"K09808"	"0.0222100107017505"
"K00784"	"0.022958078398137"
"K01338"	"0.022958078398137"
"K00925"	"0.0237276187763564"
"K01755"	"0.0237276187763564"
"K01915"	"0.0237276187763564"
"K03217"	"0.0237276187763564"
"K00012"	"0.024519115100815"
"K03701"	"0.024519115100815"
"K07407"	"0.024519115100815"
"K02316"	"0.0253330571529404"
"K01662"	"0.0261699411798132"
"K00873"	"0.0270302698429197"
"K00927"	"0.0270302698429197"
"K02073"	"0.0279145521562619"
"K00297"	"0.0288233034245466"
"K01791"	"0.0288233034245466"
"K02871"	"0.0288233034245466"
"K02906"	"0.0288233034245466"
"K07029"	"0.0297570451704086"
"K00648"	"0.0307163050616892"
"K01883"	"0.0307163050616892"
"K01868"	"0.0317016168274278"
"K01928"	"0.0317016168274278"
"K00865"	"0.0327135201739003"
"K01129"	"0.0337525606890626"
"K00266"	"0.0348192897470409"
"K00764"	"0.0348192897470409"
"K01704"	"0.0359142644007336"
"K01869"	"0.0359142644007336"
"K01874"	"0.0359142644007336"
"K00099"	"0.0370380472744776"
"K06881"	"0.0381912064445395"
"K13993"	"0.0381912064445395"
"K01465"	"0.0393743153197091"
"K00858"	"0.040587952509446"
"K01687"	"0.0418327016921802"
"K00864"	"0.04441789522903"
"K02986"	"0.04441789522903"
"K11753"	"0.0457595309732071"
"K01703"	"0.0471346611765864"
"K02874"	"0.0471346611765864"
"K17828"	"0.0471346611765864"
"K00791"	"0.0485438926088226"
"K01887"	"0.0499878361665468"
"K03685"	"0.0499878361665468"
