"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease1"	0	0.174384578663648	0.180888021640254	0.187866190359759	0.165703186627034	0.162736864691399	0.347897616108656	0.204794778523503	0.147265517562657	0.185581000707518	0.177939838120036	0.208994223748289	0.133993609682543	0.172938980266137	0.174138282903015	0.208241474381882	0.162602034957623	0.166371316353101	0.200830268985576	0.167760789277367	0.204875920654323	0.214761900798502	0.259791288173563	0.245927552422926	0.184645392916722	0.20854537031658	0.208009715819844	0.182010154311979	0.176956153296055	0.167816453977472	0.189216753579746	0.221767906472672	0.149439392459685	0.210847471641496	0.25085000089365	0.229176379594573	0.207613713087616	0.192339257247496	0.201525370145089	0.202284140415981	0.173023976168433	0.226343804333012	0.195929270076036	0.254097452630728	0.181184054369502	0.178058906249031	0.220063024525095	0.239145610127025	0.240562453451719	0.198058692947867	0.158181908952691	0.183274082141899	0.217960517637838	0.187144968828609	0.265602636773398	0.28866774504019	0.230303491682047	0.175650202264162	0.208494265484781	0.190774683823506	0.213787296481407	0.21423650102656	0.231553301463019	0.189028705992458	0.174228175681755	0.20515377397118	0.179301256275444	0.177981020332224
"Disease2"	0.174384578663648	0	0.151354904676891	0.163721903062978	0.164218884483508	0.138798916532803	0.39711564306489	0.150465118164348	0.144868877390981	0.153724837028151	0.134254807061564	0.184878351258247	0.154826286961056	0.164611902549609	0.189454308096536	0.173159723207043	0.182883383850288	0.157939652892352	0.182394347983943	0.142322656682587	0.144349594811658	0.148477006225144	0.168344528682907	0.164646321843058	0.165652735318052	0.166501191429457	0.143090595604855	0.147954600652121	0.108638787712033	0.132509099617089	0.166425485333324	0.135742498010337	0.165205778400735	0.168877867720991	0.240947101680977	0.161670832563952	0.146134486480493	0.150250700178211	0.177659418057543	0.179331150854276	0.146663945881792	0.164516903472984	0.130202579269679	0.171250593091891	0.180583349636373	0.159404798052435	0.140316330082176	0.16507640111377	0.186616091547608	0.173994450068175	0.132648763065133	0.116001592071068	0.181521104051499	0.164988155489568	0.172832095804801	0.220557438423742	0.162178928614554	0.128000644242608	0.163738439418646	0.146178583634715	0.149022142765365	0.16781727024699	0.138387660301683	0.120585198375759	0.141403224414016	0.16309959423707	0.141495725358855	0.161707797697964
"Disease3"	0.180888021640254	0.151354904676891	0	0.181922642136355	0.203438481704536	0.134378930582173	0.374982535336956	0.151998501375724	0.143167951066417	0.15945270913281	0.150143993824463	0.179810335606697	0.12671243899281	0.154654273805144	0.152828690125778	0.203489963562702	0.162177773201597	0.166420485483707	0.173038055425466	0.146053792193147	0.168878817572579	0.155810197021691	0.219728749747713	0.209408723048442	0.17255539203188	0.17084291825702	0.194893625421652	0.167247961896305	0.156057151955421	0.145388194854607	0.143016942814038	0.191593307546928	0.193748064808593	0.175064561583045	0.207730863963036	0.20407879905006	0.191434618245007	0.19803580959219	0.166580946426803	0.198965465471804	0.138012100851502	0.205532123728951	0.167817327259503	0.198199601628707	0.175915825587385	0.170402948724506	0.18066841126924	0.226905655474111	0.159549939394215	0.183066321384564	0.164777739930954	0.151609296610196	0.198240518495309	0.175677146849228	0.23766664351873	0.201603352969548	0.216790356747407	0.146408945293091	0.199766663251169	0.193438647329793	0.18632121346967	0.225770670396499	0.198393200109797	0.135735959338439	0.19357802570448	0.181768765497603	0.165402525739003	0.166510648899414
"Disease4"	0.187866190359759	0.163721903062978	0.181922642136355	0	0.15675135798638	0.13880790909703	0.434436129099746	0.113652140074898	0.155320004766781	0.160702132368238	0.108686580855096	0.154506978428635	0.161472007257937	0.150099506548264	0.157390516871538	0.177441481767792	0.140577523251865	0.176189375784484	0.199320909953537	0.165339666758691	0.165453354671508	0.133562613416393	0.175099149581825	0.176004178086543	0.191032295713859	0.16670847790165	0.148101769100169	0.161486027373386	0.145171893481176	0.163602043923713	0.168055913605377	0.161616848858777	0.198738582075423	0.190734292348958	0.193614445198718	0.165773684809336	0.143771094667351	0.172360710746867	0.178831131456394	0.138439713112677	0.167503849761067	0.184405132983258	0.158240217835255	0.190940130673915	0.186218829253376	0.177893341443155	0.153638642949852	0.188902139988348	0.175540112500757	0.150022050990454	0.15872863246122	0.150885088592965	0.150904411626122	0.165773181884846	0.183730928262422	0.237632669008683	0.201784376907447	0.166791470444644	0.172454199545731	0.163207966889488	0.158001316384869	0.172065700044186	0.176561445414324	0.144581536120292	0.164888683784215	0.179173824193635	0.13693775971962	0.173289048772985
"Disease5"	0.165703186627034	0.164218884483508	0.203438481704536	0.15675135798638	0	0.137426829454651	0.4076913039067	0.167089805066601	0.213289959976756	0.188842381606043	0.176112663247374	0.21038503219472	0.167538636558801	0.177103011104702	0.200881859704382	0.203637718381785	0.151789122498992	0.20249105374426	0.242240280104428	0.186781765029144	0.211037667727153	0.200354628398581	0.233137758531923	0.188387203361189	0.183630446558816	0.193820401825971	0.189554125758726	0.206766458606609	0.151474524895041	0.197919299461915	0.202996528815141	0.18885416277373	0.184759751699652	0.229192378108922	0.261768415005042	0.182982829013702	0.183214557811221	0.147553669133659	0.2309675580985	0.159919240308365	0.201490163289154	0.169017966592512	0.165326349217952	0.231987202788104	0.178964196116608	0.159536406703375	0.203071016640515	0.206277104836417	0.232614643817138	0.191328526050874	0.208827416214752	0.177672198571325	0.200092085012448	0.168392102798437	0.213925496732913	0.270367487260041	0.186099619280604	0.168072686388089	0.181740918753956	0.161937801501881	0.18721909857128	0.177978914986713	0.173998519043439	0.180029520877085	0.201242847607026	0.198236424272104	0.140676359607295	0.162913600031095
"Disease6"	0.162736864691399	0.138798916532803	0.134378930582173	0.13880790909703	0.137426829454651	0	0.379006438408605	0.133060329580721	0.158088616040949	0.16732335934001	0.132424194712449	0.17861898000555	0.110959754475773	0.126674754104263	0.143161857244315	0.188203091271403	0.11713032106851	0.158393846125076	0.168128641320034	0.13477881680093	0.166931067977997	0.1484206487126	0.215372623452544	0.182429140277633	0.150307437178813	0.14676919357833	0.153114255653073	0.161211167742408	0.115227186771824	0.155178814903932	0.160684483015333	0.161285892893923	0.160054927291254	0.177336908145029	0.234998734101545	0.173175376457816	0.157321896528977	0.13692961546527	0.166141243410244	0.150525905966821	0.136436208505808	0.150925311152215	0.12985541354046	0.18596576589241	0.156023702255061	0.128158801833738	0.162374051488526	0.187168046115597	0.163530788345513	0.168551153648461	0.158834055915385	0.131622878768558	0.190121624795972	0.172616196636776	0.20135531194531	0.217663264649925	0.160031360202759	0.111830180204564	0.139314373942155	0.121724915684212	0.129352383203287	0.165769323295004	0.17673979699174	0.150629300972319	0.172635517795745	0.157539441592322	0.114478818977132	0.132444766415838
"Disease7"	0.347897616108656	0.39711564306489	0.374982535336956	0.434436129099746	0.4076913039067	0.379006438408605	0	0.46132823762811	0.384158581390517	0.431987190932301	0.419881786082649	0.445165798171617	0.374555488093477	0.394165039500019	0.340116025328659	0.434178807093248	0.389230028391385	0.37427386402403	0.374740044117509	0.378337244770967	0.435155435376228	0.394848224453224	0.464641587980102	0.426654236166729	0.353153243799721	0.39198706632571	0.443147987648279	0.393230921894537	0.406304019563514	0.386630429028418	0.430115076254952	0.452970127210109	0.391701224924295	0.411639392736808	0.439313188397438	0.414951951850736	0.434791115653119	0.40704464269752	0.386747431609521	0.417357305536306	0.359363589307073	0.394633366044241	0.425077075978252	0.457825100791505	0.375079651502556	0.374821329423047	0.433096861266546	0.43233880745541	0.402114327481444	0.395009904198121	0.40656682673385	0.380925045499971	0.443740193292759	0.423068131069399	0.496890445996958	0.387107871378962	0.4216858478912	0.373008024017562	0.395865104096958	0.406323384113377	0.418824631997187	0.420578440053357	0.440182013659409	0.412523203983437	0.423755116988771	0.407925388816956	0.380092361885718	0.389260025285167
"Disease8"	0.204794778523503	0.150465118164348	0.151998501375724	0.113652140074898	0.167089805066601	0.133060329580721	0.46132823762811	0	0.161373047143058	0.142757663641596	0.114388316472708	0.13463857192216	0.142394717447082	0.151044405733362	0.162329328367599	0.181892000009916	0.147884946791666	0.180107367691433	0.204201807182935	0.154049037193542	0.146937134181174	0.152281021641896	0.193074150408339	0.175595705547199	0.185409908186477	0.179645643955832	0.139383757661842	0.17206013107234	0.131702548234852	0.161527678350523	0.133072342754623	0.134868838007475	0.203162401697848	0.1821830098303	0.207906068604646	0.182130786082794	0.153431232581755	0.173217811006865	0.177827029776144	0.157323307643838	0.182342821742181	0.195219101502386	0.131522228320542	0.154601461909412	0.196419056351165	0.181544414402686	0.156662303194653	0.202247761942738	0.181164989443319	0.180322159048831	0.141600897032354	0.163255989201334	0.153923732148035	0.163587165595148	0.176730549287376	0.220138676601936	0.192607959909181	0.163334157590221	0.189790398168043	0.157983902184921	0.153557897573643	0.173525253580578	0.159807027172377	0.134303955204258	0.167518617703459	0.176837939789282	0.154876355717384	0.16247475097732
"Disease9"	0.147265517562657	0.144868877390981	0.143167951066417	0.155320004766781	0.213289959976756	0.158088616040949	0.384158581390517	0.161373047143058	0	0.12592112658332	0.114681166018604	0.171346913951197	0.124420352561335	0.136135809965449	0.135297666685379	0.196320283398368	0.178529629884744	0.130764230613919	0.136714062322716	0.120806229703275	0.142918012405664	0.157972525896017	0.209201253113355	0.202195664881121	0.189988877946635	0.179929555678665	0.182241774140919	0.134689515507996	0.145632493175305	0.133384764019556	0.170907498091983	0.189131849779067	0.154951658162143	0.14847701173149	0.199512520577291	0.186300095894799	0.170606795101758	0.19559159340941	0.133720881480978	0.173276279686371	0.139538672623177	0.213410467810895	0.175140484930366	0.206662351282161	0.205878327264467	0.173402965062298	0.186025995623534	0.22684764237061	0.189989625067448	0.181943656038313	0.118888144903562	0.138822030015031	0.174573520502849	0.178825457222257	0.232676521335896	0.243502253729442	0.228554682233066	0.1655139744993	0.196386792210319	0.191994321863379	0.174879873065625	0.216576375117949	0.205481072299681	0.142782009204297	0.136064698539081	0.195359280108998	0.172789833359764	0.201735868707989
"Disease10"	0.185581000707518	0.153724837028151	0.15945270913281	0.160702132368238	0.188842381606043	0.16732335934001	0.431987190932301	0.142757663641596	0.12592112658332	0	0.117259968158294	0.159272643231679	0.168075172544569	0.146335762919756	0.161511549300544	0.198689296300906	0.209036069683278	0.166768471438247	0.184140128329138	0.144349182688494	0.144313026200381	0.167223953101603	0.198834348837567	0.179857196803841	0.222187057475786	0.189766201800236	0.195965291097876	0.155732496326401	0.147194810976093	0.139087697236022	0.156814450271573	0.172914623722353	0.203015138038723	0.139049462312561	0.211211296338459	0.17439633069397	0.174895280619689	0.204498858165842	0.182850742093256	0.193948398440392	0.160154131648819	0.219799818873711	0.189150295637807	0.197297230146955	0.189008142706903	0.188678883065321	0.182787356532006	0.213694596342098	0.189875576153576	0.183374906439275	0.140105077968587	0.15885208759857	0.152859809364444	0.145401235108737	0.216291007364818	0.225772399903114	0.223847668784324	0.175040714228158	0.215674987406032	0.197592533691906	0.190899378484356	0.231263131303817	0.183231074385139	0.144496333881047	0.190864338805105	0.216008759474533	0.190136893544326	0.210998495155928
