"sample"	"NMDS1"	"NMDS2"	"Group"
"Control1"	-0.00393916165380565	-4.29702410059984e-07	"Control"
"Control10"	-0.0039405065090632	5.68262031417413e-06	"Control"
"Control11"	-0.00394056325251763	-2.70473819184017e-09	"Control"
"Control12"	-0.00393653064926034	-7.82270441851755e-07	"Control"
"Control13"	-0.00393714270433526	-2.25445809056233e-07	"Control"
"Control14"	-0.00393841557293867	-3.47699844046972e-07	"Control"
"Control15"	-0.00393611241874751	3.92370810889332e-06	"Control"
"Control16"	-0.00393471449400954	1.70104965225521e-06	"Control"
"Control17"	-0.00393793069987503	6.52250178154537e-07	"Control"
"Control18"	-0.00393730940215829	6.62628504002837e-07	"Control"
"Control19"	-0.0039367314525376	-1.05865723346502e-06	"Control"
"Control2"	-0.00393609670832535	-1.41812864825681e-06	"Control"
"Control20"	-0.00393767867962963	-6.31147352015777e-07	"Control"
"Control21"	-0.00393562131067515	1.64653574381956e-06	"Control"
"Control22"	-0.00394129334392832	-1.63702182171342e-07	"Control"
"Control23"	-0.00393802179614911	8.65225358223972e-08	"Control"
"Control24"	-0.00393780218955733	1.89097753927726e-06	"Control"
"Control25"	-0.00393668065635466	-5.35212311777315e-08	"Control"
"Control26"	-0.00393763946672796	-7.31859832435656e-07	"Control"
"Control27"	-0.00393936360405912	-1.01757455062708e-06	"Control"
"Control28"	-0.00393726989306231	-2.78548228433493e-07	"Control"
"Control29"	-0.00393642073839882	1.09360706989121e-06	"Control"
"Control3"	-0.00393700478331804	-1.32310180451833e-06	"Control"
"Control30"	-0.00393720711722806	1.88570363371392e-07	"Control"
"Control31"	-0.0039440366063319	3.18061591665525e-06	"Control"
"Control32"	-0.0039390523545504	5.39527499508419e-07	"Control"
"Control33"	-0.00394010516441856	1.25202763354864e-06	"Control"
"Control34"	-0.00393918434712463	-2.64408352087349e-07	"Control"
"Control4"	-0.00393867879787643	-7.37901760218635e-06	"Control"
"Control5"	-0.0039361378996892	1.41080180898672e-06	"Control"
"Control6"	-0.00393939050846209	-1.03547475019493e-06	"Control"
"Control7"	-0.00393712830109921	-1.49774898249904e-06	"Control"
"Control8"	-0.00393800125807828	-1.12041394828461e-06	"Control"
"Control9"	-0.00393876871778391	-5.77726422257372e-07	"Control"
"Disease1"	-0.00393505320625319	-1.52302350604142e-06	"Disease"
"Disease10"	-0.00393608389559972	-7.04850024558769e-07	"Disease"
"Disease11"	-0.00394067839157331	3.32419427853831e-06	"Disease"
"Disease12"	-0.00393666770235493	-2.31321846863446e-06	"Disease"
"Disease13"	-0.00393702460344381	-1.00897204658558e-06	"Disease"
"Disease14"	-0.00393762390483683	-1.25578060902553e-06	"Disease"
"Disease15"	-0.00393987028497425	-2.6998998779824e-06	"Disease"
"Disease16"	-0.00393840263664862	-1.46292767652913e-06	"Disease"
"Disease17"	-0.00394025190132297	1.48596792475111e-07	"Disease"
"Disease18"	-0.00393530888570103	-1.01838780289569e-06	"Disease"
"Disease19"	-0.00393858382614647	4.06943392503223e-06	"Disease"
"Disease2"	-0.0039376922444783	-2.54675598594114e-07	"Disease"
"Disease20"	-0.00393829239955733	-7.68466176249369e-07	"Disease"
"Disease21"	-0.00393746222163279	1.56717961571187e-06	"Disease"
"Disease22"	-0.00393840599096426	-4.30980964897218e-07	"Disease"
"Disease23"	-0.00393765399592008	2.66663281105895e-06	"Disease"
"Disease24"	-0.00393631749107764	-6.30667955380732e-07	"Disease"
"Disease25"	-0.00393644028104255	-7.36624211782076e-07	"Disease"
"Disease26"	-0.00393685083831279	9.41487918604777e-07	"Disease"
"Disease27"	-0.00394166926019647	7.79205535155725e-07	"Disease"
"Disease28"	-0.00393666868177173	4.69051721744193e-08	"Disease"
"Disease29"	-0.00393845788337173	-8.71443542588601e-07	"Disease"
"Disease3"	-0.0039413121659898	1.46209494711864e-06	"Disease"
"Disease30"	-0.00393798783161425	-4.06911278842194e-07	"Disease"
"Disease31"	-0.00393889412684737	5.13743637284812e-07	"Disease"
"Disease32"	-0.00393806654471627	-1.75953459561169e-06	"Disease"
"Disease33"	-0.00393595833968977	-1.66428885069266e-06	"Disease"
"Disease34"	-0.003940397146484	-2.1802395111597e-06	"Disease"
"Disease4"	-0.00393935739203502	3.43156663757191e-07	"Disease"
"Disease5"	-0.00393914944639007	-3.44519305956116e-06	"Disease"
"Disease6"	-0.00393868016594369	1.59681764386981e-06	"Disease"
"Disease7"	0.26384850661306	9.51902606276621e-11	"Disease"
"Disease8"	-0.00393746719325104	-1.00738873138753e-06	"Disease"
"Disease9"	-0.00393607268084052	5.11134185341436e-06	"Disease"
