"sample"	"PC1"	"PC2"	"Group"
"Control1"	224079800.242276	88243194.9131193	"Control"
"Control10"	111558238.033892	24691670.4906468	"Control"
"Control11"	-102974121.884612	167393756.728017	"Control"
"Control12"	-155325634.137231	10049280.9794813	"Control"
"Control13"	17827479.7006098	100484445.591546	"Control"
"Control14"	-53788231.6476367	158820399.912958	"Control"
"Control15"	23867101.2557801	183933564.092902	"Control"
"Control16"	-42398206.3669476	149866455.244182	"Control"
"Control17"	43013950.7037453	-74433272.4448269	"Control"
"Control18"	-8048185.09952807	24615981.209205	"Control"
"Control19"	132149921.570722	-26967745.8376158	"Control"
"Control2"	79672766.3134922	39205998.2166479	"Control"
"Control20"	34368123.5963199	26215394.6733137	"Control"
"Control21"	113814329.709895	-70370483.0696276	"Control"
"Control22"	237071455.624572	160322454.168916	"Control"
"Control23"	-62754215.4706986	85032621.7255501	"Control"
"Control24"	-57554792.9980294	23226901.3517212	"Control"
"Control25"	-119667095.849728	50794285.3768863	"Control"
"Control26"	-98962297.2866223	10587272.053144	"Control"
"Control27"	-31605386.5243437	-144178065.086098	"Control"
"Control28"	-145390013.986631	35718884.1637234	"Control"
"Control29"	117726610.763594	48222451.8469223	"Control"
"Control3"	51413782.5259967	45031958.7218912	"Control"
"Control30"	70427738.1214965	-7174300.69440907	"Control"
"Control31"	27531438.4620321	-143640159.405751	"Control"
"Control32"	-61669923.902828	115897206.095314	"Control"
"Control33"	-123793315.83648	-56727440.6657319	"Control"
"Control34"	-137442579.658852	25471534.1384437	"Control"
"Control4"	-95109318.5756462	-115447979.288179	"Control"
"Control5"	53744589.3106781	107190679.965464	"Control"
"Control6"	-146462508.920212	-151173057.591246	"Control"
"Control7"	13941462.0404505	53591443.2701469	"Control"
"Control8"	-84406254.4485794	91880937.5026942	"Control"
"Control9"	-39872830.2846012	-60005476.0354984	"Control"
"Disease1"	-146516864.072893	-89297892.8019776	"Disease"
"Disease10"	163292965.903585	-14742318.826742	"Disease"
"Disease11"	117913646.167472	-83049085.2897962	"Disease"
"Disease12"	176464402.88309	-72644385.2278593	"Disease"
"Disease13"	-91898215.1032323	-126091446.173692	"Disease"
"Disease14"	79104432.0484102	-45917685.7729914	"Disease"
"Disease15"	-3050250.63833353	-64958757.7863386	"Disease"
"Disease16"	140332096.740872	-49452332.9084844	"Disease"
"Disease17"	-150533090.081545	-132951431.3011	"Disease"
"Disease18"	1994420.22468396	-9524370.79101986	"Disease"
"Disease19"	51384199.0080407	69061692.6697986	"Disease"
"Disease2"	10865777.9382157	-25994075.7546674	"Disease"
"Disease20"	58641188.6556046	-45235441.7210802	"Disease"
"Disease21"	207580743.789934	-95605074.5727454	"Disease"
"Disease22"	28053968.7036203	108903236.482314	"Disease"
"Disease23"	100998553.337327	177464168.067525	"Disease"
"Disease24"	132652433.687215	75140516.8129917	"Disease"
"Disease25"	-222945924.296648	27972838.2095071	"Disease"
"Disease26"	-58401608.5014911	169956225.373121	"Disease"
"Disease27"	24058859.3375869	-82557494.9221569	"Disease"
"Disease28"	96989879.7758701	34994701.8616987	"Disease"
"Disease29"	35891804.4530603	-56721226.6178998	"Disease"
"Disease3"	16606261.6079642	11593343.1146861	"Disease"
"Disease30"	37474969.5134374	-9419190.9628528	"Disease"
"Disease31"	36308531.6945144	-37498163.3464726	"Disease"
"Disease32"	137451356.440812	-56506900.3322773	"Disease"
"Disease33"	-96795868.5961955	-74294061.7878053	"Disease"
"Disease34"	152530702.367448	-35786710.2927198	"Disease"
"Disease4"	15840080.4336811	-134794902.329192	"Disease"
"Disease5"	-159707957.819601	-119835135.65266	"Disease"
"Disease6"	-82435088.8741116	-58642354.4539734	"Disease"
"Disease7"	-698040450.369395	69588313.1146204	"Disease"
"Disease8"	63911660.8859727	-157907602.811803	"Disease"
"Disease9"	38998507.6586833	-41617785.581799	"Disease"
