"sample"	"PC1"	"PC2"	"Group"
"Control1"	0.0250861556738941	0.0144167538667916	"Control"
"Control10"	0.0817392148059311	-0.0257604088833961	"Control"
"Control11"	-0.0233633620582382	-0.0630216217180904	"Control"
"Control12"	-0.031415578702961	-0.030163581820656	"Control"
"Control13"	0.0499963462133122	-0.0273699894868328	"Control"
"Control14"	0.059783560651833	-0.0782223196702206	"Control"
"Control15"	0.0134062012782103	-0.0594809940239508	"Control"
"Control16"	0.00952649648230922	-0.0589732566048051	"Control"
"Control17"	-0.0107247329171575	0.0643874541291562	"Control"
"Control18"	-0.0138344669914609	-0.00293908949359365	"Control"
"Control19"	0.0489834079232612	0.0384050488077068	"Control"
"Control2"	0.0276598532683104	-0.00286408863367058	"Control"
"Control20"	0.0140821082243722	0.0216702824413506	"Control"
"Control21"	0.110682774404223	0.0157827215598603	"Control"
"Control22"	0.0139858921427442	-0.0658731879021186	"Control"
"Control23"	0.0462369727211361	-0.0962929046313616	"Control"
"Control24"	-0.0193571105081703	-0.0212055079337993	"Control"
"Control25"	0.00657673704398497	-0.0652351448699286	"Control"
"Control26"	0.0192284731381811	-0.0523184352640458	"Control"
"Control27"	-0.00622372979776917	0.0258157836387824	"Control"
"Control28"	0.0431307008919155	-0.0831155591846551	"Control"
"Control29"	0.073152894440936	-0.0308616940268706	"Control"
"Control3"	0.0527973797742752	-0.0158881444460638	"Control"
"Control30"	0.0069350207473604	0.0285571589306226	"Control"
"Control31"	-0.010813198047107	0.0940574761777298	"Control"
"Control32"	0.023667794556331	-0.0832484428630889	"Control"
"Control33"	-0.014048472432817	-0.0270057429021766	"Control"
"Control34"	0.00240569790604481	-0.0720682510206854	"Control"
"Control4"	-0.00661246706525223	0.00702507929670604	"Control"
"Control5"	-0.0187569158809258	0.00134979728196754	"Control"
"Control6"	-0.00667268066610987	0.0065105161533662	"Control"
"Control7"	-0.0438432013092782	0.011937572434029	"Control"
"Control8"	0.0192249139890207	-0.0908887692055374	"Control"
"Control9"	0.0265742539714336	-0.00952568823265508	"Control"
"Disease1"	-0.0967128564113604	0.0427443130394618	"Disease"
"Disease10"	0.00381571151690563	0.08345812324715	"Disease"
"Disease11"	0.0111232252889642	0.0626909944369367	"Disease"
"Disease12"	0.0395865060906028	0.0586248342125784	"Disease"
"Disease13"	-0.0633791708615256	0.0432417565277002	"Disease"
"Disease14"	-0.0116139927136003	0.0368377313182804	"Disease"
"Disease15"	-0.0710626722921115	0.0448287680476546	"Disease"
"Disease16"	0.0298215260038771	0.0518588271751102	"Disease"
"Disease17"	-0.0402974974268462	0.00330479637409698	"Disease"
"Disease18"	-0.0473050209817321	0.0343529552833406	"Disease"
"Disease19"	-0.0582222396385634	0.0337190406700094	"Disease"
"Disease2"	-0.000168966387360609	0.018225031997335	"Disease"
"Disease20"	-0.0375629068332603	0.0468418449274204	"Disease"
"Disease21"	0.0228428231772028	0.0604179386569381	"Disease"
"Disease22"	0.0153204023595232	-0.0314740153844966	"Disease"
"Disease23"	0.0869307457607082	-0.0372872363378818	"Disease"
"Disease24"	0.0598761314912798	-0.0363524366032158	"Disease"
"Disease25"	-0.0408842587822954	-0.0656905414423369	"Disease"
"Disease26"	0.0017470620657093	-0.0622395965240386	"Disease"
"Disease27"	0.0502162027064684	0.016955102935891	"Disease"
"Disease28"	-0.00765242104721889	0.0290765781816885	"Disease"
"Disease29"	0.00996650540783553	0.0220234029842108	"Disease"
"Disease3"	-0.051344806088594	0.0331584469789463	"Disease"
"Disease30"	-0.0292837091409168	0.0414112931974652	"Disease"
"Disease31"	0.0218104030482176	0.00920321576066496	"Disease"
"Disease32"	0.0722610336740087	0.00835685162394404	"Disease"
"Disease33"	-0.0496308439517104	0.0413211459406341	"Disease"
"Disease34"	-0.0154592039990038	0.0791347750256441	"Disease"
"Disease4"	0.0240121174381168	0.0393209463598894	"Disease"
"Disease5"	-0.0123487822669134	-0.00186456849804715	"Disease"
"Disease6"	-0.0333210508888949	0.00354644325215379	"Disease"
"Disease7"	-0.349254702191082	-0.114753244988136	"Disease"
"Disease8"	0.0474223435094343	0.0568068315415818	"Disease"
"Disease9"	-0.0504445715076381	0.0806068281815598	"Disease"
