"variable"	"index"
"Disease1"	176334797
"Disease2"	-33588945
"Disease3"	-58172519
"Disease4"	6008650
"Disease5"	-51319558
"Disease6"	-86487374
"Disease7"	114684661
"Disease8"	-73819265
"Disease9"	200431954
"Disease10"	231814329
"Disease11"	43754689
"Disease12"	-69487229
"Disease13"	38250792
"Disease14"	4507628
"Disease15"	53097222
"Disease16"	-57696770
"Disease17"	-7180524
"Disease18"	42570615
"Disease19"	73475402
"Disease20"	-4988655
"Disease21"	90977548
"Disease22"	-170854642
"Disease23"	-230841184
"Disease24"	-240862248
"Disease25"	-145165077
"Disease26"	-191299070
"Disease27"	-102761289
"Disease28"	-67887991
"Disease29"	-67617094
"Disease30"	110619602
"Disease31"	-34337885
"Disease32"	-182228538
"Disease33"	65983721
"Disease34"	153022455
"Control1"	-105690954
"Control2"	-136330704
"Control3"	-196581777
"Control4"	-58527168
"Control5"	-91288055
"Control6"	7204158
"Control7"	-90168323
"Control8"	-289697959
"Control9"	-156920943
"Control10"	-295127827
"Control11"	-164431693
"Control12"	-128151156
"Control13"	-224714715
"Control14"	-358856663
"Control15"	-345146241
"Control16"	-218277717
"Control17"	127206202
"Control18"	-103966400
"Control19"	5391545
"Control20"	83928626
"Control21"	-221420722
"Control22"	-394595287
"Control23"	-282880663
"Control24"	-96453663
"Control25"	-231316606
"Control26"	-236955314
"Control27"	-100080898
"Control28"	-325814357
"Control29"	-282407213
"Control30"	-59443918
"Control31"	95382920
"Control32"	-394090174
"Control33"	-133029128
"Control34"	-245670280
