"variable"	"index"
"Disease1"	-77525249
"Disease2"	-211073703
"Disease3"	-236588956
"Disease4"	-289086627
"Disease5"	-249480175
"Disease6"	-247443180
"Disease7"	-154893114
"Disease8"	-287302238
"Disease9"	-141497068
"Disease10"	-165477802
"Disease11"	-214038465
"Disease12"	-328118830
"Disease13"	-177768834
"Disease14"	-294300405
"Disease15"	-199261225
"Disease16"	-275950998
"Disease17"	-271126230
"Disease18"	-189096752
"Disease19"	-223228450
"Disease20"	-211546062
"Disease21"	-215745502
"Disease22"	-401193752
"Disease23"	-408296347
"Disease24"	-462711654
"Disease25"	-330038351
"Disease26"	-409143239
"Disease27"	-327435404
"Disease28"	-274402188
"Disease29"	-266674768
"Disease30"	-139400484
"Disease31"	-355866911
"Disease32"	-365168952
"Disease33"	-175900645
"Disease34"	-186279420
"Control1"	-490397500
"Control2"	-399470100
"Control3"	-499509886
"Control4"	-285674969
"Control5"	-324213555
"Control6"	-259822015
"Control7"	-241786699
"Control8"	-481007566
"Control9"	-323898675
"Control10"	-477049785
"Control11"	-356362443
"Control12"	-282690599
"Control13"	-400417962
"Control14"	-523821901
"Control15"	-543226160
"Control16"	-409505748
"Control17"	-124189791
"Control18"	-265374370
"Control19"	-334511681
"Control20"	-306994275
"Control21"	-380653976
"Control22"	-628705998
"Control23"	-506179529
"Control24"	-301519325
"Control25"	-388454884
"Control26"	-393538330
"Control27"	-241871207
"Control28"	-520937800
"Control29"	-451924814
"Control30"	-257628312
"Control31"	-144925226
"Control32"	-620096792
"Control33"	-313787218
"Control34"	-409622346
