"variable"	"index"
"Disease1"	687847002
"Disease2"	222363996
"Disease3"	410593454
"Disease4"	201143546
"Disease5"	49850037
"Disease6"	137556716
"Disease7"	96770058
"Disease8"	213058300
"Disease9"	880440661
"Disease10"	816438870
"Disease11"	475320754
"Disease12"	430605832
"Disease13"	466434800
"Disease14"	418534644
"Disease15"	598149120
"Disease16"	419812130
"Disease17"	152345792
"Disease18"	636477888
"Disease19"	776571615
"Disease20"	517552827
"Disease21"	527576568
"Disease22"	-229894784
"Disease23"	-297075701
"Disease24"	-286089142
"Disease25"	-262663534
"Disease26"	-282274112
"Disease27"	34526856
"Disease28"	435639491
"Disease29"	151439702
"Disease30"	507622595
"Disease31"	174194579
"Disease32"	-15912261
"Disease33"	535538086
"Disease34"	758760600
"Control1"	300467135
"Control2"	44301452
"Control3"	-261714062
"Control4"	112493917
"Control5"	382433717
"Control6"	50741607
"Control7"	245821505
"Control8"	-461770145
"Control9"	-131559146
"Control10"	-291465226
"Control11"	-212965860
"Control12"	-91638870
"Control13"	-264105715
"Control14"	-697982544
"Control15"	-500480007
"Control16"	-315748321
"Control17"	513904679
"Control18"	75751623
"Control19"	207297195
"Control20"	280151213
"Control21"	-150832223
"Control22"	-411154217
"Control23"	-521400770
"Control24"	-39623398
"Control25"	-292658211
"Control26"	-325855669
"Control27"	82870260
"Control28"	-662475555
"Control29"	-295661439
"Control30"	188292380
"Control31"	671913848
"Control32"	-743953533
"Control33"	-130087718
"Control34"	-431235564
