"FDR"	"class"	"Control"	"Disease"	"max"	"min"	"LDAscore"	"Pvalues"	"color"
"Khasianine"	0.011512	"Disease"	13595527.6470588	21992080.7647059	21992080.7647059	13595527.6470588	5.44	2.1969e-05	"red"
"Solasodine"	0.023271	"Disease"	1364788.94411765	1942518.17941176	1942518.17941176	1364788.94411765	4.27	0.00026962	"red"
"Madasiatic acid"	0.023271	"Control"	91580008.0294118	60813357.7352941	91580008.0294118	60813357.7352941	6	0.00031087	"darkgreen"
"Lyciumamide N"	0.033917	"Control"	1515928.22352941	1047889.40588235	1515928.22352941	1047889.40588235	4.18	0.00084923	"darkgreen"
"Histamine"	0.033917	"Disease"	1101989.03235294	1983956.49323529	1983956.49323529	1101989.03235294	4.46	0.0011038	"red"
"Diosgenin glucoside"	0.033917	"Disease"	523238.032647059	905100.593823529	905100.593823529	523238.032647059	4.09	0.0011525	"red"
"Solasonine"	0.033917	"Disease"	7257494.26470588	11838458.8529412	11838458.8529412	7257494.26470588	5.17	0.0013109	"red"
"Prosapogenin A"	0.033917	"Disease"	359663.994705882	662048.37	662048.37	359663.994705882	3.99	0.0014274	"red"
"Corosolic acid"	0.033917	"Control"	107963218.5	84495625.4117647	107963218.5	84495625.4117647	5.88	0.0014892	"darkgreen"
"Maslinic acid"	0.033917	"Control"	106851308	83032638.4411765	106851308	83032638.4411765	5.89	0.0014892	"darkgreen"
"Capsianoside I"	0.033959	"Disease"	1192290.39705882	2218030.37647059	2218030.37647059	1192290.39705882	4.52	0.0016202	"red"
"Indioside H"	0.040547	"Disease"	1368792.54411765	2419112.82941176	2419112.82941176	1368792.54411765	4.53	0.0021666	"red"
"Gluconic acid"	0.044543	"Control"	5068182.52941176	4090764.85294118	5068182.52941176	4090764.85294118	4.5	0.0025502	"darkgreen"
"Leptine II"	0.051492	"Disease"	542009.285294118	842102.833529412	842102.833529412	542009.285294118	3.99	0.0031166	"red"
"Leptine I"	0.055891	"Control"	4309908.25670588	1440867.9145	4309908.25670588	1440867.9145	4.97	0.0039465	"darkgreen"
"Ursolic acid"	0.091285	"Control"	6255116.47058824	4441899.11764706	6255116.47058824	4441899.11764706	4.77	0.008362	"darkgreen"
"Betulinic acid"	0.11159	"Control"	6262209.82352941	4498670.88235294	6262209.82352941	4498670.88235294	4.76	0.012778	"darkgreen"
"Cinnamoyltyramine"	0.11997	"Disease"	3986285.67352941	5436658.17058824	5436658.17058824	3986285.67352941	4.67	0.014653	"red"
"Funkioside_C"	0.12681	"Disease"	57946.5433235294	88050.1174117647	88050.1174117647	57946.5433235294	2.99	0.016215	"red"
"Isohyperoside"	0.1292	"Disease"	5055278.43529412	8440255.24117647	8440255.24117647	5055278.43529412	5.04	0.016767	"red"
"Dehydrodemissine"	0.13165	"Disease"	85485269.4705882	103970813.823529	103970813.823529	85485269.4705882	5.78	0.017335	"red"
"Cimidahurinine"	0.15085	"Disease"	3985460.85294118	4577012.58823529	4577012.58823529	3985460.85294118	4.28	0.020439	"red"
"Coniferaldehyde"	0.15156	"Control"	853532.085294118	701730.423529412	853532.085294118	701730.423529412	3.69	0.021115	"darkgreen"
"Citric Acid"	0.15238	"Disease"	16159206.8970588	20387677.6205882	20387677.6205882	16159206.8970588	5.14	0.02181	"red"
"Borassoside D"	0.15537	"Control"	1292443.62941176	1056295.22941176	1292443.62941176	1056295.22941176	3.89	0.023261	"darkgreen"
"Solasuaveoline"	0.16094	"Disease"	746652.763529412	1186861.18882353	1186861.18882353	746652.763529412	4.16	0.026414	"red"
"Tetradecanedioic acid"	0.16747	"Control"	176411.5	166488.717647059	176411.5	166488.717647059	2.51	0.028125	"darkgreen"
"Prosapogenin D3"	0.17198	"Control"	1267719.21764706	1046313.15588235	1267719.21764706	1046313.15588235	3.86	0.031835	"darkgreen"
"Isoquercetin"	0.17198	"Disease"	5202893.60588235	8884160.36176471	8884160.36176471	5202893.60588235	5.08	0.031835	"red"
"Adenosine"	0.17201	"Control"	2305352.015	1794968.15794118	2305352.015	1794968.15794118	4.22	0.032826	"darkgreen"
"Mevalonic acid"	0.18293	"Control"	4145744.58823529	3703217.44117647	4145744.58823529	3703217.44117647	4.16	0.035957	"darkgreen"
"Vanillic acid"	0.19447	"Disease"	1779937.93235294	2386203.24411765	2386203.24411765	1779937.93235294	4.29	0.03934	"red"
"Isochlorogenic acid A"	0.20067	"Disease"	11735477.8529412	20110100.2352941	20110100.2352941	11735477.8529412	5.43	0.041742	"red"
"Daphnetin"	0.21087	"Disease"	15414197.5617647	20717965.5705882	20717965.5705882	15414197.5617647	5.24	0.044267	"red"
"Fumaric acid"	0.21379	"Control"	3362649.91176471	2835741.85294118	3362649.91176471	2835741.85294118	4.23	0.045577	"darkgreen"
"Baimaside"	0.21379	"Disease"	150534.772911765	322542.685117647	322542.685117647	150534.772911765	3.75	0.04692	"red"
