"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"	"ID"
"3-O-Methylgallic acid"	1647529.657	1392081.013	413492.157	477848.61	1391225.588	954200.51	415152.699	790097.226	425875.964	1004453.546	438823.171	1736022.587	346299.679	557030.516	1229708.135	423182.938	97139.851	852319.693	493880.763	54456.919	577952.397	252438.031	145962.556	199060.882	127030.334	158767.552	154522.622	90465.447	124599.353	792658.385	101555.796	797553.128	679128.898	61224.967	1024562.418	1136298.518	168217.947	106730.872	617756.973	78394.307	184636.871	358903.74	104849.619	54629.943	236580.184	60238.087	74141.353	117265.349	80234.832	116678.818	90185.795	39461.634	181747.908	203253.828	245434.673	115238.235	479315.229	365412.276	136158.883	129166.577	45915.244	323709.959	176069.289	222264.636	182868.608	434857.023	155119.628	1400954.193	"3-O-Methylgallic acid"
"\"9,10,13-Trihydroxy-11-Octadecenoic Acid\""	9255808.598	8968229.373	15848720.27	15961771.04	9117164.886	11734539.61	72655493.48	8766531.1	7050200.456	6776089.179	7765428.699	7726512.799	9345155.524	10861298.07	24909093.79	25250353.31	35309069.95	36460344	27394490.26	23640009.09	21523670.87	20362458.24	29858290.44	18863471.43	44000737.08	27655465.43	14897613.57	12571516.38	15931414.43	11102866.9	19863825.4	14362091.67	15543810.68	9317922.822	17330958.85	24600107	18096827.42	19979542.37	17405625.83	16761790.37	15320849.22	24841451.19	23633240.73	16775815.17	22316917.93	18844221.33	14215880.22	18193293.41	15578958.87	35645082.61	13404501.38	19283611.43	14659540.91	20242343.17	16545586.42	39837259.24	29860713.29	15933015.78	26519171.24	25146188.26	16476483.89	27993794.03	27178333.91	20971277.69	13615509.47	26090824.97	27488230.65	17066962.27	"\"9,10,13-Trihydroxy-11-Octadecenoic Acid\""
"\"3,24-Dihydroxy-17,21-semiacetal-12(13)oleanolic fruit\""	39255762.4	58017361.54	71893721.33	93590153.24	72570129.86	75482243.4	34549222.26	85624899.77	54302235.38	61036347.8	72506116.36	99643715.12	60125273.53	84715425.01	66697910.67	72629728.5	76601401.78	65389320.25	70122980.66	52653688.98	64517444.74	107820524.5	105348877	107693176.8	81523938.66	99875909.69	87575987.5	77874322.25	71199656.01	45389787.51	98175636.96	93200029.26	55520913.49	55817159.4	137536423.3	92132879.45	131225438.3	79026099.8	85334863.1	78995643.31	60235637.15	114062400.4	70173410.79	113763520.3	90350614.41	65274041.86	104277175.4	126562228.7	135712524.7	97771523.53	40380950.54	66214724.08	111147305.7	77017017.61	85665378.5	147754532.5	115728827.1	77042673.52	93172119.62	90552567.43	57754305.3	120550783.4	110576844.2	70231182.38	53904954.76	146771466	82201545.03	101459626.5	"\"3,24-Dihydroxy-17,21-semiacetal-12(13)oleanolic fruit\""
"Maslinic acid"	46634110.47	64253867.87	79046322.34	104839112.6	80841722.21	85839403.74	36150883.7	100214534.5	64558116.82	68978972.03	90121505.33	109071496.3	67616882.99	95004094.32	75812177.24	82386824.39	86711870.92	70932288.51	68025900.28	58639612.91	73567915.31	121747905.6	115313589.5	121019877	92065123.61	110522848.1	97010887.51	83579143.41	76097326.47	50157572.32	110999939.3	108105400.1	63823408.34	63419072.67	153458729.8	100338610.7	139188894.6	89162478.89	97747298.7	88559550.25	68749955.99	125399578.8	81533575.6	128817031.3	98480024.39	80909841.97	114232327.1	139846434.8	153015237.7	108032683.5	47935722.17	74254140.93	127210615.4	87081004.31	96666679.28	170343866.3	129921650	80775460.07	103258045.1	101445704.9	66267164.48	136179677.1	124213385.1	78104468.41	60252407.32	173635787	91347863.74	116578576.6	"Maslinic acid"
"2α-Hydroxyursolic acid"	41210825.86	53813750.05	70489923.5	93807383.04	69617697.47	72542493.71	33140004.77	90054811.75	55693622.76	64928706.2	77974552.53	99276007.23	60095190.97	85538242.27	67384104.04	74659382.41	77012718.99	63438367.55	62409684.82	51920756.57	65806365.92	109519205.2	104262649.8	108099448.8	82001664.55	98830503.16	86009468.98	73178171.11	68520861.87	44344993.24	95246832.77	92593702.92	53004345.52	56318351.67	135047827.2	91108896.3	125675659.6	78827386.13	86342955.99	78215658.14	64867086.74	114433840.6	72921353.16	112995557.6	85278333.97	68905510.88	102162248.9	126614795.1	137701426.7	95794608.77	41982995.51	65388317.95	115034588.3	79903948.9	85399880.62	150971693.9	112872839.7	77225684.13	91279080.07	88691417.9	60072958.1	118107769.8	112956313.6	71142215.81	52776267.18	153136618.1	80853069.06	102370724.9	"2α-Hydroxyursolic acid"
"\"2α,3α,23-trihydroxyolean-12-en-28-oic acid\""	14368048.65	55699751.15	39110982.97	54144116.8	64991715.3	52244172.43	19775103.21	55372926.55	34786484.08	42495503.14	44843190.25	78893566.43	37869787.62	74093388.13	37630459.85	64962495.24	48501612.3	44256322.1	42045106.31	49525994.2	55063413.03	88164271.44	82342360.64	134030501.6	56680400.83	106649472.4	72063359.71	55397300.13	62534206.55	32224906.39	86095735.33	86219282.62	32793753.75	35265594.15	94832597.06	102415366.3	130339042.7	53100097.96	74563741.32	63075102.68	46321198.69	105277243.6	81718142.13	112403252.2	89572670.22	63615582.87	91926695.08	128209205.7	137692710.1	108259472.1	31464600.31	54219383.95	38042469.05	83421709.76	103800415.7	152183284.9	138936984.5	69222362.92	81610939.33	89658481.72	51463760.53	127255518.4	102577907.8	35107635.4	25889693.04	138140714.6	45598802.62	95613763.1	"\"2α,3α,23-trihydroxyolean-12-en-28-oic acid\""
"1-O-Caffeoyl-(6-O-glucosyl)-β-D-glucose"	1780031.561	2415277.912	1107576.588	2563820.018	3007938.548	1730419.19	107727.166	2322942.752	1928086.069	3311217.545	2638190.61	3509153.089	1306235.825	2456913.538	2351508.872	959639.34	1776806.283	2072022.704	2408021.266	2711369.861	1454582.686	3402363.348	2499989.807	4400030.37	2871072.74	1555849.522	2521292.952	4668761.585	2443798.277	3287077.786	2049685.639	3023668.421	3222219.558	6225710.666	2900616.213	3291483.387	1739211.297	3141067.031	2611728.897	4080822.267	3432815.51	2876845.342	5497126.727	5568070.978	1149806.744	4085751.515	3641439.21	2648244.956	2680051.851	3598689.455	3281081.146	4845232.76	6770885.386	2644642.209	6283270.355	1076329.789	1097944.25	2996579.702	2534164.515	3882427.162	10389895.53	3538139.918	1497708.789	4568846.725	3168763.153	3783096.208	4339601.287	3143703.068	"1-O-Caffeoyl-(6-O-glucosyl)-β-D-glucose"
"Pennogenin 3-O-beta-chacotrioside"	81100.869	16650.152	38171.647	52807.468	63369.982	75199.777	7951.947	86714.005	131710.972	68574.875	60134.551	38653.89	23783.027	63038.227	159860.547	27267.305	215184.611	80753.825	21487.805	23418.241	66041.016	46811.17	93812.557	30310.036	32517.013	16866.163	52349.3	12090.675	10881.622	68950.526	34862.333	28930.383	43595.396	33449.203	88901.217	12649.227	52975.401	6796.424	20232.064	18078.872	14553.403	18005.289	23962.52	22206.184	12815.704	11918.807	29958.755	17884.628	25884.779	20142.281	29415.277	10740.706	123838.194	17854.191	16319.446	33683.958	22731.302	26323.321	12450.259	13547.19	4577.681	31199.259	31491.926	11961.819	79798.156	22484.981	25271.557	21037.957	"Pennogenin 3-O-beta-chacotrioside"
"\"(3,4-Dimustard acyl)-fructosyl-α-D-(6-mustard acyl)glucoside\""	32262.08	32522.091	20383.088	33918.215	21141.091	22425.992	21176.246	18407.263	65237.227	36709.384	47999.119	69051.394	34202.186	16804.944	35619.616	91604.909	43969.58	209327.444	3532.826	16301.252	46065.121	17342.613	7571.206	7231.41	9185.837	5818.749	75460.185	9332.487	11696.254	29250.475	17411.683	10701.663	33214.065	15183.792	10559.495	5022.774	38556.421	13696.494	5594.285	39529.676	3366.622	7091.753	15475.508	8844.66	2535.337	6684.001	18039.092	8098.689	21235.69	4131.094	30338.053	5159.216	35588.105	7741.537	17233.432	6317.5	18468.026	18674.296	7263.257	5781.443	5400.499	11801.786	17258.82	6416.75	159776.595	8195.965	24754.432	3966.757	"\"(3,4-Dimustard acyl)-fructosyl-α-D-(6-mustard acyl)glucoside\""
"2'-Deoxyadenosine"	2698105.46	4716492.966	3749115.666	4274321.482	7038577.775	3553176.155	560141.578	5245623.703	2625006.765	4302328.961	2982023.872	4749643.736	2183089.639	3182390.239	3090905.312	4561518.042	4237057.11	2690185.081	2325275.685	2371383.473	2732725.726	6371595.268	2236732.239	6827479.8	3086136.341	2746328.371	1821814.854	3907116.038	3754779.184	4447816.124	2046151.847	4083905.154	4626701.738	3836265.226	9399370.349	4181505.411	6293792.088	5315931.159	3202197.628	2525815.271	3372316.221	5958617.186	5511613.695	3929335.134	2320588.618	4287354.309	5714548.384	5002284.309	3919601.482	5047211.519	3988448.944	3401828.573	6802598.745	8472562.381	3289592.555	5238936.887	4992998.24	3806211.538	3360455.139	3874705.867	3377826.115	5815909.355	4940541.909	3800568.89	5152307.402	3512664.885	3219616.904	5333735	"2'-Deoxyadenosine"
