"var"	"estimate"	"conf.low"	"conf.high"	"p.value"	"Group"
"Madasiatic acid"	30766650.2838235	15806545.2716247	45726755.2960223	"0.000224673846021025"	"Control"
"\"2α,3α,23-trihydroxyolean-12-en-28-oic acid\""	29599860.6782353	14929840.1953605	44269881.1611101	"0.000358432721729681"	"Control"
"Maslinic acid"	23818669.5173529	10728967.0960732	36908371.9386327	"0.00125997876117622"	"Control"
"Corosolic acid"	23467593.0697059	10426955.1092531	36508231.0301587	"0.00125997876117622"	"Control"
"\"2,3-dihydroxy-12-ursen-28-oic acid\""	22335973.025	9771079.48493986	34900866.5650602	"0.00131891483845317"	"Control"
"2α-Hydroxyursolic acid"	21597492.2738235	9965872.27154405	33229112.276103	"0.000953888131839903"	"Control"
"2-Hydroxyoleanolic acid"	21093299.4017647	9440073.68789769	32746525.1156317	"0.00125997876117622"	"Control"
"\"3,24-Dihydroxy-17,21-semiacetal-12(13)oleanolic fruit\""	20930006.6782353	9308736.10835178	32551277.2481188	"0.00151106720098876"	"Control"
"6-Hydroxy-4-methylcoumarin"	5446665.7215	1997922.79317839	8895408.64982161	"0.0018884170278082"	"Control"
"p-Coumaraldehyde"	4967365.58105882	850354.606028651	9084376.556089	"0.0175355638392515"	"Control"
"Leptine I"	2869040.34220588	1292284.39946452	4445796.28494724	"0.00358568306136004"	"Control"
"\"9,10,13-Trihydroxy-11-Octadecenoic Acid\""	1976542.69688235	-3115759.06296056	7068844.45672527	"0.0327135201739003"	"Control"
"Ursolic acid"	1813217.44644118	585697.108126358	3040737.78475599	"0.00792397077071731"	"Control"
"9-(Arabinosyl)hypoxanthine"	1806773.44532353	-117565.626462976	3731112.51711003	"0.0222100107017505"	"Control"
"Betulinic acid"	1763538.96491177	537763.549920642	2989314.37990289	"0.0123420943908454"	"Control"
"N-Sinapoylputrescine"	1603999.26802941	274954.785004659	2933043.75105417	"0.0317016168274278"	"Control"
"\"24,30-Dihydroxy-12(13)-enolupinol\""	1486467.20482353	487739.096853958	2485195.3127931	"0.00762840096010787"	"Control"
"2-Propylglutaric acid"	1481370.86567647	280739.696112251	2682002.03524069	"0.00516732991081421"	"Control"
"Tomatidine-3-O-glucoside"	1343909.10723529	379106.946998127	2308711.26747246	"0.0152668782154038"	"Control"
"1-O-Caffeoyl-(6-O-glucosyl)-β-D-glucose"	1079267.09523529	345822.076683904	1812712.11378668	"0.000999656225223891"	"Control"
"N-trans-sinapoyltyramine"	1054423.42973529	170257.449731616	1938589.40973897	"0.0317016168274278"	"Control"
"2-Hydroxy-4-methylpentanoic acid"	1054384.092	84076.6079171578	2024691.57608284	"0.00559366943950493"	"Control"
"2'-Deoxyadenosine"	1020637.69064706	301256.775503067	1740018.60579105	"0.00516732991081421"	"Control"
"Gluconic acid"	977417.700852941	264195.34722043	1690640.05448545	"0.00224956311303709"	"Control"
"Dihydro-9-hydroxysolasodine"	865137.995411765	356320.632503513	1373955.35832002	"0.000868037020095922"	"Control"
"\"N',N'',N'''-p-Coumaroyl-cinnamoyl-caffeoyl spermidine\""	652444.2105	171652.402726945	1133236.01827306	"0.0102911957058282"	"Control"
"1-O-[(E)-Caffeoyl]-D-glucose"	629441.444705883	188207.897143808	1070674.99226796	"0.00559366943950493"	"Control"
