"variable"	"Group"	"Mean"
"\"(25R)-spirost-5-en-3β,14α-diol-3-0-β-D-glucopyranosyl-(1_2)-[β-D-glucopyranosyl-(1_3)]-β-D-galactopyranoside-(1_4)-β-D-galactopyranoside\""	"Control"	622615.525323529
"\"(25R)-spirost-5-en-3β,14α-diol-3-0-β-D-glucopyranosyl-(1_2)-[β-D-glucopyranosyl-(1_3)]-β-D-galactopyranoside-(1_4)-β-D-galactopyranoside\""	"Disease"	931372.188617647
"\"(3,4-Dimustard acyl)-fructosyl-α-D-(6-mustard acyl)glucoside\""	"Control"	17605.8252941176
"\"(3,4-Dimustard acyl)-fructosyl-α-D-(6-mustard acyl)glucoside\""	"Disease"	34354.7496176471
"\"13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid\""	"Control"	53315.1245294118
"\"13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid\""	"Disease"	43625.6661176471
"\"2-(3,4-dihydroxyphenyl)ethanediol 1-O-β-D-glucopyranoside\""	"Control"	434257.251470588
"\"2-(3,4-dihydroxyphenyl)ethanediol 1-O-β-D-glucopyranoside\""	"Disease"	651315.180235294
"\"2,3-dihydroxy-12-ursen-28-oic acid\""	"Control"	104659174.441176
"\"2,3-dihydroxy-12-ursen-28-oic acid\""	"Disease"	82323201.4161765
"\"24,30-Dihydroxy-12(13)-enolupinol\""	"Control"	5044474.10217647
"\"24,30-Dihydroxy-12(13)-enolupinol\""	"Disease"	3558006.89735294
"\"26-O-Glu-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-rha(1_2)-glucoside\""	"Control"	2572813.53788235
"\"26-O-Glu-3β,26-dihydroxy-5-cholesten-16,22-dioxo-3-O-α-rha(1_2)-glucoside\""	"Disease"	3354657.98994118
"\"2α,3α,23-trihydroxyolean-12-en-28-oic acid\""	"Control"	86692074.9511765
"\"2α,3α,23-trihydroxyolean-12-en-28-oic acid\""	"Disease"	57092214.2729412
"\"3,24-Dihydroxy-17,21-semiacetal-12(13)oleanolic fruit\""	"Control"	95016506.7255882
