"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"10359"	"Peploviricota"	"Herviviricetes"	"Herpesvirales"	"Herpesviridae"	"Cytomegalovirus"	"Human betaherpesvirus 5"
"10376"	"Peploviricota"	"Herviviricetes"	"Herpesvirales"	"Herpesviridae"	"Lymphocryptovirus"	"Human gammaherpesvirus 4"
"10677"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Muvirus"	"Escherichia virus Mu"
"10678"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Punavirus"	"Escherichia virus P1"
"10679"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Peduovirus"	"Escherichia virus P2"
"10680"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Unclassified"	"Unclassified"	"Enterobacteria phage P4"
"10690"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Hpunavirus"	"Haemophilus virus HP1"
"10693"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Tequatrovirus"	"Enterobacteria phage RB51"
"10708"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus D3112"
"10710"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Lambdavirus"	"Escherichia virus Lambda"
"10713"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage phi80"
"10726"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Demerecviridae"	"Tequintavirus"	"Escherichia virus T5"
"10742"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Hendrixvirus"	"Escherichia virus HK022"
"10752"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Enquatrovirus"	"Escherichia virus N4"
"10754"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella virus P22"
"10761"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Shigella virus Sf6"
"12360"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 11"
"12390"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage phiLC3"
"12402"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Streptococcus phage EJ-1"
"12407"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Eganvirus"	"Salmonella virus PsP3"
"12417"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage phiadh"
"28295"	"Pisuviricota"	"Pisoniviricetes"	"Nidovirales"	"Coronaviridae"	"Alphacoronavirus"	"Porcine epidemic diarrhea virus"
"29252"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Eganvirus"	"Escherichia virus 186"
"31754"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage BK5-T"
"35241"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage Tuc2009"
"35345"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage TP901-1"
"37554"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Hendrixvirus"	"Escherichia virus HK97"
"39103"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage PL-1"
"40631"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Ravinvirus"	"Escherichia virus N15"
"43685"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage r1t"
"45406"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Tequatrovirus"	"Escherichia virus RB32"
"51313"	"Unclassified"	"Unclassified"	"Unclassified"	"Baculoviridae"	"Alphabaculovirus"	"Helicoverpa armigera nucleopolyhedrovirus"
"51369"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage A2"
"52979"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage phig1e"
"53369"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 80alpha"
"55511"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 187"
"55884"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Enterobacteria phage SfV"
"59241"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage Dp-1"
"59506"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus 85"
"64186"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus virus Sfi21"
"66284"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Shigella phage SfII"
"66797"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Spbetavirus"	"Bacillus virus SPbeta"
"68887"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Unclassified"	"Torque teno virus"
"69609"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Tequatrovirus"	"Enterobacteria phage RB27"
"71366"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage PVL"
"72638"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus virus Sfi19"
"73422"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage TP-J34"
"78541"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Brussowvirus"	"Streptococcus virus Sfi11"
"85154"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Brussowvirus"	"Streptococcus virus O1205"
"90410"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus virus DT1"
"99179"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Bacteroides phage B40-8"
"101570"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage ES18"
"103216"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Peduovirus"	"Escherichia virus Wphi"
"103807"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Enterobacteria phage phiP27"
"106284"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus phiETA"
"112023"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus virus 7201"
"114416"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactococcus phage ul36"
