"Disease1"	"Disease2"	"Disease3"	"Disease4"	"Disease5"	"Disease6"	"Disease7"	"Disease8"	"Disease9"	"Disease10"	"Disease11"	"Disease12"	"Disease13"	"Disease14"	"Disease15"	"Disease16"	"Disease17"	"Disease18"	"Disease19"	"Disease20"	"Disease21"	"Disease22"	"Disease23"	"Disease24"	"Disease25"	"Disease26"	"Disease27"	"Disease28"	"Disease29"	"Disease30"	"Disease31"	"Disease32"	"Disease33"	"Disease34"	"Control1"	"Control2"	"Control3"	"Control4"	"Control5"	"Control6"	"Control7"	"Control8"	"Control9"	"Control10"	"Control11"	"Control12"	"Control13"	"Control14"	"Control15"	"Control16"	"Control17"	"Control18"	"Control19"	"Control20"	"Control21"	"Control22"	"Control23"	"Control24"	"Control25"	"Control26"	"Control27"	"Control28"	"Control29"	"Control30"	"Control31"	"Control32"	"Control33"	"Control34"
"Disease1"	0	0.989684521166765	0.883872829206469	0.674445330311529	0.633074758820862	0.606018838194887	0.616455383006274	0.631780584886123	0.574362183914325	0.565214249297098	0.480830096056652	0.62190427630978	0.965308192375172	0.772641433033247	0.599913746013532	0.688212890635939	0.798586320833934	0.83568477967674	0.651525870337797	0.60714256248125	0.882447767207849	0.821299812083478	0.553259536323729	0.735101082287622	0.640236503573124	0.589051627636385	0.713926705943217	0.491573229668695	0.93819661938811	0.618879139236209	0.574529396338143	0.792309878243052	0.747856792440348	0.981002038127341	0.709334625135434	0.576589762655454	0.654632505295181	0.681460821662403	0.543772449032108	0.516935669124617	0.680352232190604	0.575115379163732	0.662230143722645	0.550705242344343	0.365086402354456	0.812645358907031	0.506363615656334	0.77492160517066	0.635939536869851	0.897886054403434	0.796815250423822	0.766297480021288	0.865471252162038	0.676768077184958	0.615230662461077	0.91099633386922	0.574005114283873	0.567560558452633	0.520534506906619	0.998019014051316	0.80583773692934	0.416421235942023	0.883985420704515	0.607048059812897	0.567470318874272	0.813880664888983	0.959060363902655	0.926539874490075
"Disease2"	0.989684521166765	0	0.996773364086881	0.987520000214207	0.987470091222932	0.990536357559354	0.980773839886664	0.988781884229051	0.991167616957174	0.987066191633623	0.952295647040278	0.985485139718645	0.0824645773913412	0.778796072297735	0.997220737622655	0.983444854075406	0.823004672908969	0.909562723503064	0.994337456958916	0.985263196282434	0.474843151977879	0.491312740723841	0.986763383559428	0.431584011694115	0.998578396307649	0.995796589701944	0.693777571583448	0.998421215221351	0.0750499886071415	0.981031728251598	0.984753500101155	0.951005086538201	0.969059437202871	0.0123629885073576	0.999653123633998	0.989594069221915	0.997891999609409	0.991065325880217	0.991475276125327	0.999167419268042	0.998814526044102	0.988273030857225	0.997048315983134	0.992484364487686	0.99102580178295	0.999027020678787	0.99851427476945	0.991027391105548	0.994149407135837	0.989745279483934	0.578708136626239	0.988073138382905	0.995483973530859	0.99449061200155	0.990774092659673	0.111872112148696	0.995913871369249	0.998461239052007	0.991053936413126	0.00938127461502006	0.988689246231589	0.990461531769018	0.988690351935226	0.994304450462687	0.991359052600517	0.992775603295532	0.0506653169230233	0.989933441703038
"Disease3"	0.883872829206469	0.996773364086881	0	0.905078159677453	0.874281023654336	0.889908325329708	0.88171288477171	0.867549265632534	0.877314301002147	0.891049056085419	0.916396118963886	0.868864207670143	0.958430327824021	0.924380318141278	0.906311804847214	0.847311031672151	0.902628863124541	0.901214608705463	0.878468182703309	0.871151453472233	0.927177224767605	0.902087740098308	0.870441428041519	0.87908231401287	0.874863832468779	0.883520029121924	0.879457016959248	0.883782125618969	0.93806381268931	0.853295282805251	0.879976201288873	0.936032092416793	0.874285173126732	0.987969269294728	0.894603067475387	0.88643892595435	0.921012980442119	0.909560073137677	0.850313457334789	0.889670758848522	0.895292790860041	0.886557797888552	0.888170112703463	0.867176253752389	0.91734223210878	0.892667874598538	0.895914381686921	0.923234510982511	0.880456578567285	0.938996243814181	0.868593651158751	0.910375455629245	0.962056247844558	0.879225559985722	0.867063147514206	0.916124202561436	0.890040880897324	0.884990180514844	0.880317910791337	0.998592572874109	0.903527299313195	0.882761005040794	0.952764693184349	0.906433244067127	0.829319915491621	0.907668470140411	0.960747123460195	0.933145951967534
"Disease4"	0.674445330311529	0.987520000214207	0.905078159677453	0	0.722943144663139	0.673599957660341	0.747563281946808	0.633074607517097	0.689825880969495	0.580417171378713	0.657287645395916	0.525073439417923	0.948730423238069	0.631528621329222	0.721809595991328	0.668260525331722	0.779305633850964	0.799674125342506	0.646626320749074	0.774451419298408	0.902662988699547	0.806590410059257	0.781403753045324	0.765830233942476	0.683593800348683	0.551112578067808	0.754392091786103	0.689540966199133	0.951285009311059	0.704257092553058	0.517536314130017	0.826113568720333	0.646732230934908	0.978808652723287	0.68122879212123	0.678803377090433	0.853421185335032	0.672429854042419	0.623810049444763	0.784499278016019	0.76096245901593	0.634842274032858	0.735189099803503	0.654726019691472	0.679160628739715	0.81767447902669	0.672185499763214	0.697271706027582	0.645430966844174	0.866961987478131	0.745011601900123	0.633530233111442	0.959620211397845	0.596982644597552	0.516148885160495	0.911952807864628	0.711945345863719	0.662607159737999	0.622165412674267	0.996001520481405	0.721800189762069	0.68508918331878	0.903850177435872	0.711543396128855	0.681830878227925	0.770507267972645	0.956028924098214	0.789510406805107
"Disease5"	0.633074758820862	0.987470091222932	0.874281023654336	0.722943144663139	0	0.632449719976276	0.71861859627166	0.558429482125861	0.441070822642618	0.741925523342673	0.719735373315031	0.626082268813593	0.965484023362403	0.588738840426925	0.394574878621212	0.65184633740615	0.587739562659346	0.80731508979321	0.501915797822159	0.566970566340105	0.906317220677521	0.698784910018857	0.696587868977768	0.761894459507134	0.562108814902386	0.52439802030782	0.759394961022288	0.559646626534874	0.926540457696952	0.521220883424109	0.484139686452306	0.841440706308075	0.733317222829712	0.979746142811693	0.355438993037908	0.644031919199892	0.627358459520708	0.463146417249643	0.519558562371682	0.54776313756093	0.633397608072157	0.597076440142989	0.356887676123961	0.4641051996195	0.73883922171456	0.700676085520635	0.717748144482045	0.545743102445655	0.3430517290171	0.926223626665864	0.808581306846271	0.529393570575582	0.896953459991392	0.469602661577931	0.621550162933095	0.893501718023776	0.532334549273724	0.507807753356755	0.542289559938386	0.995550953286638	0.785968749793002	0.675825080379672	0.927294260094724	0.6397381317652	0.666059656206925	0.588111469038833	0.950346263212459	0.927322201065389
"Disease6"	0.606018838194887	0.990536357559354	0.889908325329708	0.673599957660341	0.632449719976276	0	0.733613933381921	0.563248461619926	0.524391479837378	0.469710650831076	0.676645746055482	0.534725733586859	0.957734165179677	0.756862601379286	0.714897623319916	0.641615039225249	0.79558084300775	0.853207446771518	0.398538355969255	0.680567799510978	0.91145010790932	0.784095697381007	0.56342085499612	0.669532959090489	0.66316681058637	0.535839557077354	0.749842768262438	0.329090616262036	0.935564254834033	0.593766049073973	0.450511017492258	0.823088240218401	0.769759612405413	0.983122378526703	0.587030299010055	0.578629885843401	0.690606949975391	0.688111954826678	0.502674811089061	0.507701711573647	0.758532608282165	0.328888328237124	0.433836473889328	0.492285902436229	0.700218478571243	0.802627470394733	0.501546995074091	0.769718540897864	0.650693330832388	0.926266324258415	0.793674064893462	0.627421423528448	0.956065506035828	0.52217594087055	0.543561354215988	0.897668336541618	0.432593838493716	0.637333213510082	0.599470347567048	0.998657991287701	0.792655472700748	0.489256404047393	0.918883093751557	0.427772012744411	0.614226543715886	0.398631025360794	0.950558224085278	0.931169890511006
"Disease7"	0.616455383006274	0.980773839886664	0.88171288477171	0.747563281946808	0.71861859627166	0.733613933381921	0	0.582462189674441	0.60810143237601	0.669646885573907	0.722872783009372	0.683125646770328	0.949330830015639	0.791237111252997	0.756048684230082	0.631171664938353	0.698773145963307	0.753971409207681	0.640467859171424	0.607738301124227	0.858317690708761	0.716806778831864	0.6280129214439	0.772947966351548	0.651634345375835	0.675935435515362	0.750868311688731	0.757243212512614	0.939510404715939	0.655066088387082	0.633514813174564	0.855803972078736	0.760676553505353	0.973453619070389	0.726357218676658	0.755847310339688	0.690512588333424	0.714724956065364	0.639548264205995	0.737279068587016	0.662393488137374	0.71879373701501	0.751421661472951	0.640096124614827	0.778536785255004	0.713887759348513	0.7501156264764	0.748049053012371	0.633645721226114	0.901079339431735	0.839721932057483	0.772653380377233	0.921924256222614	0.728296898540346	0.633931770662844	0.902015370695529	0.769081469597539	0.661454455551428	0.662791817792299	0.98877599276009	0.802961784033272	0.767540414866882	0.929484644538617	0.777756651144192	0.732756621883462	0.768410819460092	0.953141899028381	0.926613414633578
"Disease8"	0.631780584886123	0.988781884229051	0.867549265632534	0.633074607517097	0.558429482125861	0.563248461619926	0.582462189674441	0	0.537506715260366	0.406737831604337	0.772292373128936	0.518176585653192	0.947500502295436	0.73387336239439	0.559744398971698	0.535191518219648	0.591698348289673	0.756706698085116	0.411916302302063	0.527823840613774	0.894470894511756	0.610486331302365	0.712414212878174	0.703590220301423	0.492974206421497	0.464497738093152	0.71161398151464	0.613644172505857	0.941888922073111	0.517248196548289	0.448455393812331	0.882320612022223	0.672269428335209	0.982976058900209	0.510735863064017	0.654303310798377	0.782931637521426	0.593709526619684	0.4726590574044	0.610568988478122	0.586915363189019	0.548415863733897	0.630278297916767	0.447655037365206	0.730630998491025	0.624538084661845	0.639587748239629	0.709401761899072	0.489344338392703	0.897139502004435	0.774798093928896	0.589376478053696	0.902123987084888	0.465731193280896	0.498775137481515	0.895163654820125	0.586812163780716	0.458472888549916	0.446349624554779	0.996219677378377	0.695689064853521	0.695945598247849	0.922417993587987	0.692080542062018	0.643571062843482	0.564632199284585	0.952388251103485	0.900620905223492
"Disease9"	0.574362183914325	0.991167616957174	0.877314301002147	0.689825880969495	0.441070822642618	0.524391479837378	0.60810143237601	0.537506715260366	0	0.665066724424556	0.685771951770096	0.593942826328678	0.944005816455875	0.68135200663995	0.597720009228251	0.531157178484086	0.587413373157106	0.785789197207634	0.390481986014156	0.51291226891204	0.89751053397034	0.662304161228009	0.575863057726003	0.660456177661289	0.35598054073219	0.450192038286033	0.682100662810258	0.473522298304125	0.935340362809441	0.344346748551673	0.401173489740043	0.816696901991625	0.710234667812165	0.982167991694442	0.515145415077954	0.537724085959146	0.528187170866467	0.533477315125674	0.412161038908511	0.465320687382648	0.63115954750339	0.454801405619378	0.384469162216375	0.319224848332386	0.724488421991903	0.656335707758342	0.581307594945502	0.608047797534026	0.372454572707759	0.922723859856534	0.770328252195916	0.638077189884181	0.852249390309146	0.455157503515404	0.440686732352543	0.887796114326258	0.517108690431934	0.394295591422358	0.406970987746885	0.998789915479798	0.751059059866977	0.5983210810632	0.920103792725941	0.556402856537103	0.593910683066267	0.537500681519043	0.95022048474143	0.930440024562026
"Disease10"	0.565214249297098	0.987066191633623	0.891049056085419	0.580417171378713	0.741925523342673	0.469710650831076	0.669646885573907	0.406737831604337	0.665066724424556	0	0.693261231998725	0.664200260037451	0.955938112425533	0.767852396664546	0.656099293391865	0.572371147211992	0.789781067516205	0.826759703537522	0.472481470058107	0.709543852849805	0.911214087740429	0.796528688675308	0.565928282663254	0.659945376274746	0.692643205451864	0.634230473128348	0.752717423580848	0.424207014825011	0.952229099176671	0.623212661963581	0.512252742563437	0.886591222956448	0.711703014593854	0.980493598736814	0.711708284722716	0.578776258449583	0.857919316091169	0.708032721614887	0.650691967132279	0.524405515245979	0.794537749767385	0.462542692621433	0.565829664454183	0.527111089745315	0.634397819802744	0.808767248157295	0.441843212598898	0.759118779436727	0.677782037720751	0.907358205553949	0.787340139202812	0.693674839154214	0.9489066551345	0.592360385646365	0.503783083598049	0.909511422696647	0.447283956971449	0.631792629522885	0.564831488415141	0.995368619599501	0.754961840232686	0.461599793385433	0.887653338440166	0.453897687513671	0.689893671166077	0.57499161862703	0.958424156561714	0.910591971784083
