"sample"	"NMDS1"	"NMDS2"	"Group"
"Control1"	-0.406487135892556	0.0175371289814823	"Control"
"Control10"	0.0776346986911458	-0.0775186842418466	"Control"
"Control11"	0.158594912895031	0.424953569411904	"Control"
"Control12"	0.0842537099202516	0.163496667623487	"Control"
"Control13"	-0.202265567080608	0.288107995564937	"Control"
"Control14"	-0.0159013097145695	0.820060343734982	"Control"
"Control15"	-0.0901491909977635	-0.0661100819154831	"Control"
"Control16"	0.859720972921314	0.7159159395865	"Control"
"Control17"	0.350196067009307	-0.32028831080341	"Control"
"Control18"	0.306462539468336	0.361652019343261	"Control"
"Control19"	-0.126222068539056	1.04655689361538	"Control"
"Control2"	0.45704135841635	0.0967655503845751	"Control"
"Control20"	-0.00163215674650658	0.135892938545309	"Control"
"Control21"	-0.111784767954435	0.0728210444251599	"Control"
"Control22"	0.0606686587088992	-0.11898651644956	"Control"
"Control23"	0.0107718607353403	0.100773085893403	"Control"
"Control24"	-0.15884194603641	0.0315613877866373	"Control"
"Control25"	-0.14853722506619	-0.0124361621482122	"Control"
"Control26"	0.801698736535631	-0.960444691937949	"Control"
"Control27"	1.29142858914485	0.709542407493846	"Control"
"Control28"	0.870345863086479	0.165557714009131	"Control"
"Control29"	1.36911313970525	-0.837755453102925	"Control"
"Control3"	-0.00791330586562813	-0.381649011240393	"Control"
"Control30"	0.209967800004544	0.295044339419969	"Control"
"Control31"	-0.0776734998052257	-0.321775044357623	"Control"
"Control32"	-0.486744138986401	0.231245597123347	"Control"
"Control33"	0.0343429412569894	-0.324836903671749	"Control"
"Control34"	0.486386347315001	0.867152759469507	"Control"
"Control4"	-0.445875918896862	0.465357724644731	"Control"
"Control5"	0.259183342884598	0.00606992081091773	"Control"
"Control6"	-0.193442825343077	-0.0852405805278253	"Control"
"Control7"	0.399503769797804	0.583706520379556	"Control"
"Control8"	0.0256579770842904	0.28682567316414	"Control"
"Control9"	-0.131149028133894	-0.0720129473730144	"Control"
"Disease1"	-0.298819232590919	-0.224484001152957	"Disease"
"Disease10"	-0.536159143480193	0.326407839718284	"Disease"
"Disease11"	-0.62162259307189	-0.363645643982115	"Disease"
"Disease12"	0.0328053059658459	-0.0359741128497394	"Disease"
"Disease13"	-0.271574573222784	-0.46463830356763	"Disease"
"Disease14"	-0.619918622048387	0.0141120069491425	"Disease"
"Disease15"	-0.147033123768202	0.326182917737648	"Disease"
"Disease16"	-0.358191859491443	0.222471583283292	"Disease"
"Disease17"	-0.577224851957703	0.185499769107925	"Disease"
"Disease18"	-1.03154036186204	-0.048526683852364	"Disease"
"Disease19"	-0.0399513830037255	0.0175028716154554	"Disease"
"Disease2"	-0.0581926159001536	-2.0357315248594	"Disease"
"Disease20"	-0.418967938963336	-0.375988097081136	"Disease"
"Disease21"	-0.477371090977115	-0.132418164938237	"Disease"
"Disease22"	-0.424853098467651	0.106727085137183	"Disease"
"Disease23"	0.186657331275647	-0.151646398912332	"Disease"
"Disease24"	-0.0585443472484266	-0.117577843933268	"Disease"
"Disease25"	0.204415771355869	-0.47476324965847	"Disease"
"Disease26"	-0.176944033461607	0.0360861033468917	"Disease"
"Disease27"	1.36381045629743	0.0386829718464147	"Disease"
"Disease28"	-0.182454339334971	-0.117078485320592	"Disease"
"Disease29"	0.0648811265636556	-0.579753514295354	"Disease"
"Disease3"	1.08171065733415	-0.438685604857411	"Disease"
"Disease30"	-0.0331500724861695	-0.110380297147314	"Disease"
"Disease31"	-0.223201717476261	0.0635995621433346	"Disease"
"Disease32"	-0.584356004031036	-0.602308281150713	"Disease"
"Disease33"	-0.135569436035183	0.577678763595463	"Disease"
"Disease34"	0.393414637902602	-0.200315726256773	"Disease"
"Disease4"	-0.18945108874782	0.224784587811908	"Disease"
"Disease5"	0.110728672915314	0.00131650438189147	"Disease"
"Disease6"	-0.257319652498182	-0.125134486642719	"Disease"
"Disease7"	-0.764933421432172	-0.0211029098179116	"Disease"
"Disease8"	-0.31182451961646	0.293517251231017	"Disease"
"Disease9"	-0.147608038958914	-0.121959321271584	"Disease"
