"sample"	"PC1"	"PC2"	"Group"
"Control1"	16.0690289148713	10.7250809315754	"Control"
"Control10"	14.6805964211225	7.11201954254521	"Control"
"Control11"	15.7241503069908	8.75029121541541	"Control"
"Control12"	14.3100072654829	8.41821057240044	"Control"
"Control13"	15.4426905901067	10.4874183655512	"Control"
"Control14"	16.1211548092451	7.95913784425335	"Control"
"Control15"	14.8725060052907	7.92353134873763	"Control"
"Control16"	12.5160622710795	-19.5213063921409	"Control"
"Control17"	-27.7928931860996	-13.325210951792	"Control"
"Control18"	15.4887684759114	-14.3402044537915	"Control"
"Control19"	14.5283223473926	5.2014548589687	"Control"
"Control2"	14.6387398970391	-21.2782184137194	"Control"
"Control20"	15.0990012594948	7.34018290348451	"Control"
"Control21"	14.2892677845968	4.44165157377913	"Control"
"Control22"	-75.6840116141295	1.90795751813919	"Control"
"Control23"	15.7060872517559	10.359868593345	"Control"
"Control24"	14.997111068293	8.66741485267053	"Control"
"Control25"	14.4681201529702	6.41373626068894	"Control"
"Control26"	-87.0646554504557	1.35809880674722	"Control"
"Control27"	12.1149391188784	-4.53790683147476	"Control"
"Control28"	13.9971132475427	5.26302751183129	"Control"
"Control29"	10.7678534919102	0.747613721378749	"Control"
"Control3"	12.5254509817131	2.29159355785959	"Control"
"Control30"	15.0352534277109	9.85538104098545	"Control"
"Control31"	12.8479417705716	0.741978686055962	"Control"
"Control32"	14.0778895756021	8.44629121780514	"Control"
"Control33"	-81.7052513165767	1.31739756238381	"Control"
"Control34"	13.9051811861048	-44.6660590513765	"Control"
"Control4"	16.0473235298268	9.82575868858998	"Control"
"Control5"	14.081415234987	3.53692088771353	"Control"
"Control6"	14.8413003034941	9.13936275959662	"Control"
"Control7"	14.0468931340208	6.84486355936899	"Control"
"Control8"	14.3061378972803	5.48943261563087	"Control"
"Control9"	14.7249054114502	7.67828015140242	"Control"
"Disease1"	14.5014643912378	4.90476533221413	"Disease"
"Disease10"	13.9621214956867	3.35437689229476	"Disease"
"Disease11"	8.72737105531598	3.55096703380337	"Disease"
"Disease12"	13.7996550925101	-17.0988872925527	"Disease"
"Disease13"	-78.5966410785286	1.24186859933158	"Disease"
"Disease14"	-7.51552346893784	5.25713852645724	"Disease"
"Disease15"	16.5467734803193	12.162871734856	"Disease"
"Disease16"	13.886079380371	-20.2780098303528	"Disease"
"Disease17"	-2.32788141930377	6.31064224848995	"Disease"
"Disease18"	5.25229220914124	-28.1366423453649	"Disease"
"Disease19"	14.4096131710517	7.71666400538877	"Disease"
"Disease2"	-86.2051786488127	0.694225238391854	"Disease"
"Disease20"	13.4878517754882	3.75979978092802	"Disease"
"Disease21"	-39.9249817531947	-1.3383928741167	"Disease"
"Disease22"	-36.8929292122411	4.74801306653152	"Disease"
"Disease23"	13.068972444969	1.08875428905907	"Disease"
"Disease24"	-42.2921539087953	-0.322179349759833	"Disease"
"Disease25"	14.0636021784802	6.75339584316838	"Disease"
"Disease26"	15.2579895518209	7.15367878399723	"Disease"
"Disease27"	-17.565235140431	0.806850886744757	"Disease"
"Disease28"	14.9706698137251	8.83294539588295	"Disease"
"Disease29"	-79.4019665376855	1.47053503189152	"Disease"
"Disease3"	11.4290361437845	0.589303712168161	"Disease"
"Disease30"	13.4532548939602	-7.53271808371559	"Disease"
"Disease31"	14.2113475948095	5.3941787180906	"Disease"
"Disease32"	10.5314282392364	-47.7905193524852	"Disease"
"Disease33"	12.8557097049565	-40.1996002468232	"Disease"
"Disease34"	-85.2052267905897	0.830004382643589	"Disease"
"Disease4"	13.2238339225509	-3.35097474581398	"Disease"
"Disease5"	14.2988856948092	6.72013794116245	"Disease"
"Disease6"	14.1463814894308	4.69621844523913	"Disease"
"Disease7"	12.0526378884249	0.956212931846254	"Disease"
"Disease8"	13.8358451177388	1.74701950797893	"Disease"
"Disease9"	13.930499663227	4.73230473781544	"Disease"
