"sample"	"PC1"	"PC2"	"Group"
"Control1"	-0.203890539319178	-0.127467900329312	"Control"
"Control10"	-0.244212411282566	-0.118164640530001	"Control"
"Control11"	-0.121215368896176	0.0194601982794914	"Control"
"Control12"	-0.0937219734717935	-0.147091033120683	"Control"
"Control13"	-0.199543204300425	-0.104704823100608	"Control"
"Control14"	-0.128626979041374	-0.0302065696362341	"Control"
"Control15"	-0.220339926897247	-0.157179404633646	"Control"
"Control16"	0.142151195799154	0.475725263334527	"Control"
"Control17"	0.389597582636626	0.188856994745487	"Control"
"Control18"	-0.11887875996129	0.244894242428126	"Control"
"Control19"	0.0834106118234729	0.102818887385973	"Control"
"Control2"	-0.114984530315678	0.335178065784868	"Control"
"Control20"	-0.222745227849105	-0.101781811242038	"Control"
"Control21"	-0.20424255660032	-0.0513011505818249	"Control"
"Control22"	0.613560633393803	-0.144657105165669	"Control"
"Control23"	-0.234581058785536	-0.143422506711372	"Control"
"Control24"	-0.233686556323951	-0.174569944150109	"Control"
"Control25"	-0.223553769806679	-0.111451034315731	"Control"
"Control26"	0.718487574313144	-0.146642903745247	"Control"
"Control27"	-0.00344669768913148	0.196901285744733	"Control"
"Control28"	-0.153104981751447	0.0395007996629861	"Control"
"Control29"	0.111761038178679	0.12370134194376	"Control"
"Control3"	-0.0581023018760687	0.0192114346657722	"Control"
"Control30"	-0.206209174587862	-0.129059702818364	"Control"
"Control31"	-0.094408710930065	0.0899032117913789	"Control"
"Control32"	-0.195109124268346	-0.201263468589717	"Control"
"Control33"	0.673326709496075	-0.134434887328289	"Control"
"Control34"	0.150020618440391	0.589544974073272	"Control"
"Control4"	-0.180729920886467	-0.108930314951483	"Control"
"Control5"	-0.190795172122506	-0.0177596927850005	"Control"
"Control6"	-0.207082295118537	-0.114503431861565	"Control"
"Control7"	-0.134986857767376	-0.139375436861552	"Control"
"Control8"	-0.224207063303741	-0.0665810526811248	"Control"
"Control9"	-0.21941683591313	-0.0999839232486251	"Control"
"Disease1"	-0.154466823581092	0.0448523221797716	"Disease"
"Disease10"	-0.168763621844133	0.00960235430589715	"Disease"
"Disease11"	-0.0306321771867116	0.0787339867403982	"Disease"
"Disease12"	-0.1025668632848	0.268192989039143	"Disease"
"Disease13"	0.679368495248971	-0.134071065572303	"Disease"
"Disease14"	0.117515103789327	-0.133708126247364	"Disease"
"Disease15"	-0.21308548993819	-0.171013667470726	"Disease"
"Disease16"	-0.105728897824933	0.27406246527814	"Disease"
"Disease17"	0.0404272182191857	-0.212802468974002	"Disease"
"Disease18"	0.14744431083265	0.385482868983046	"Disease"
"Disease19"	-0.249249561330247	-0.168855234534186	"Disease"
"Disease2"	0.714325825815769	-0.13673437061172	"Disease"
"Disease20"	-0.13855081819499	-0.0524392669123672	"Disease"
"Disease21"	0.544956405986987	-0.0578969153047549	"Disease"
"Disease22"	0.318169507705183	-0.277271886738709	"Disease"
"Disease23"	-0.0984606490678321	0.0900369376099682	"Disease"
"Disease24"	0.359627498462745	-0.102164990527589	"Disease"
"Disease25"	-0.196913206992115	-0.139208982510208	"Disease"
"Disease26"	-0.210638837540732	-0.0723401022329009	"Disease"
"Disease27"	0.259008593000584	-0.0168533923544149	"Disease"
"Disease28"	-0.230159560500111	-0.0918884490707329	"Disease"
"Disease29"	0.658870172675647	-0.131265094090831	"Disease"
"Disease3"	0.099317413263379	0.127007132227663	"Disease"
"Disease30"	-0.161101475248612	0.100640050898757	"Disease"
"Disease31"	-0.223693091635292	-0.0594803523543372	"Disease"
"Disease32"	0.14249148553072	0.534544430928865	"Disease"
"Disease33"	-0.0100258955100995	0.397899883955099	"Disease"
"Disease34"	0.706214792098581	-0.134172326592359	"Disease"
"Disease4"	-0.0938144708119396	0.132130738177631	"Disease"
"Disease5"	-0.189228239213573	-0.0916952699680652	"Disease"
"Disease6"	-0.193536501886975	-0.0292996548305446	"Disease"
"Disease7"	-0.0686559823384848	0.0375936238266097	"Disease"
"Disease8"	-0.181332485126473	-0.0425871216735209	"Disease"
"Disease9"	-0.217626138587743	-0.0801950070315393	"Disease"
