"variable"	"index"
"Disease1"	27.4885378
"Disease2"	98.94981993
"Disease3"	1.59854
"Disease4"	7.03718
"Disease5"	19.5089695
"Disease6"	14.5715456
"Disease7"	10.58802
"Disease8"	10.52001
"Disease9"	16.16896
"Disease10"	2.917074
"Disease11"	23.13785
"Disease12"	-18.774809
"Disease13"	91.67185
"Disease14"	26.01924
"Disease15"	2.980468
"Disease16"	-2.97113
"Disease17"	18.9544591
"Disease18"	-12.96547
"Disease19"	9.50064
"Disease20"	14.6673209
"Disease21"	19.42453
"Disease22"	53.2739583
"Disease23"	10.3059552
"Disease24"	60.155033
"Disease25"	10.40381
"Disease26"	11.5335941
"Disease27"	23.183067
"Disease28"	13.163593174
"Disease29"	94.1766131
"Disease30"	9.7089653
"Disease31"	9.617403
"Disease32"	2.27001
"Disease33"	-2.925579
"Disease34"	97.9333671
"Control1"	7.38379552
"Control2"	5.944459
"Control3"	36.735288
"Control4"	7.4266215
"Control5"	9.4967123
"Control6"	15.44800757
"Control7"	15.02763
"Control8"	13.202285
"Control9"	15.6071916
"Control10"	6.680647
"Control11"	19.016674
"Control12"	3.49555338
"Control13"	7.30813241
"Control14"	7.5516728
"Control15"	7.25649777
"Control16"	-8.354011
"Control17"	32.23246
"Control18"	-4.975033
"Control19"	-1.103906
"Control20"	6.7692425
"Control21"	15.24271
"Control22"	90.42360584
"Control23"	3.6623702
"Control24"	12.9070604
"Control25"	8.2882376
"Control26"	99.79903426
"Control27"	-14.48513
"Control28"	6.15913
"Control29"	1.013338
"Control30"	9.76329145
"Control31"	7.02828
"Control32"	2.2705185
"Control33"	95.3618957
"Control34"	-61.1836788
