"variable"	"index"
"Disease1"	-14.20959367
"Disease2"	-0.007852846
"Disease3"	57.474571
"Disease4"	-17.14126
"Disease5"	-3.185213
"Disease6"	-41.83381883
"Disease7"	-6.9783916
"Disease8"	-5.28834427
"Disease9"	-14.37093182
"Disease10"	-23.07285415
"Disease11"	-13.38044
"Disease12"	-4.3024607
"Disease13"	-1.389575957
"Disease14"	-21.55221771
"Disease15"	-2.25939395
"Disease16"	-13.258411
"Disease17"	-1.44183773
"Disease18"	-2.182923
"Disease19"	-27.28072
"Disease20"	-1.00360895
"Disease21"	-0.6752789
"Disease22"	-4.36691904
"Disease23"	-15.30896
"Disease24"	-11.289722272
"Disease25"	-9.49839143
"Disease26"	-5.23171374
"Disease27"	-3.935032
"Disease28"	-32.28787117
"Disease29"	-0.2618555773
"Disease30"	-11.40994
"Disease31"	-19.17168345
"Disease32"	-0.9233742
"Disease33"	-0.8931129
"Disease34"	-0.2870244
"Control1"	-4.08306053
"Control2"	-11.68058
"Control3"	-2.739950977
"Control4"	-6.71040452
"Control5"	-4.40850825
"Control6"	-22.391234351
"Control7"	-16.1537
"Control8"	-42.01715
"Control9"	-21.27393337
"Control10"	-17.02368944
"Control11"	-16.40013515
"Control12"	-4.66937799
"Control13"	-34.642376037
"Control14"	-4.7931498
"Control15"	-10.45442968
"Control16"	-2.333356
"Control17"	-4.721477
"Control18"	-3.03512
"Control19"	-0.02537481
"Control20"	-6.724474377
"Control21"	-14.7252111
"Control22"	-1.4258888
"Control23"	-33.3394411
"Control24"	-13.74235851
"Control25"	-10.67431394
"Control26"	-0.005302638
"Control27"	-1.677276
"Control28"	-25.58265
"Control29"	-1.713338
"Control30"	-50.95074692
"Control31"	-1.74059451
"Control32"	-46.69284265
"Control33"	-1.10077704
"Control34"	-0.6972622
