"variable"	"index"
"Disease1"	-0.6462268
"Disease2"	-0.07247949
"Disease3"	0
"Disease4"	-14.10315
"Disease5"	-0.2505566
"Disease6"	-0.2873304
"Disease7"	0
"Disease8"	0
"Disease9"	0
"Disease10"	-1.16549
"Disease11"	0
"Disease12"	-26.93638
"Disease13"	0
"Disease14"	0
"Disease15"	0
"Disease16"	-6.887077
"Disease17"	-0.3919769
"Disease18"	-23.72356
"Disease19"	0
"Disease20"	-0.2014635
"Disease21"	-33.10323
"Disease22"	-0.1349761
"Disease23"	-0.7380487
"Disease24"	-0.3151032
"Disease25"	0
"Disease26"	-0.4996724
"Disease27"	-9.816439
"Disease28"	-0.009959853
"Disease29"	-0.1029981
"Disease30"	-0.3857447
"Disease31"	0
"Disease32"	-9.64712
"Disease33"	-7.020302
"Disease34"	-0.1757679
"Control1"	-0.05755703
"Control2"	-7.933167
"Control3"	-1.110658
"Control4"	-0.7190324
"Control5"	-0.6461346
"Control6"	-0.01621468
"Control7"	-2.12959
"Control8"	-2.373895
"Control9"	-0.3194287
"Control10"	-1.911493
"Control11"	-2.044725
"Control12"	-0.08146184
"Control13"	-0.04810079
"Control14"	-0.7635737
"Control15"	-0.05227563
"Control16"	-10.51102
"Control17"	-13.79943
"Control18"	-10.01498
"Control19"	-2.285025
"Control20"	-0.6738972
"Control21"	-2.05797
"Control22"	-0.03839482
"Control23"	-0.1339007
"Control24"	-0.2031068
"Control25"	-0.4971546
"Control26"	-0.06097556
"Control27"	-17.57491
"Control28"	-3.649529
"Control29"	-2.1733
"Control30"	-0.04038344
"Control31"	-1.794408
"Control32"	-0.1482629
"Control33"	-0.3874585
"Control34"	-61.67099
