"ID"	"Control"	"Disease"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"K01610"	6.1175	6.4862	7.3614	0.929
"K20509"	4.7601	6.4001	6.6094	0.7027
"K00262"	3.1536	3.7624	4.7853	0.3285
"K15633"	2.9494	3.9341	4.7618	0.4886
"K04079"	0.6025	4.3059	4.1924	0.4021
"K02564"	3.2539	3.0547	4.1191	0.3832
"K01130"	3.6029	2.8904	3.9368	0.2476
"K02867"	3.3242	3.2143	3.8906	0.1904
"K01880"	1.7049	3.805	3.7413	0.305
"K03671"	3.6668	2.2355	3.7048	0.3229
"K01928"	2.6449	2.4998	3.2355	0.1122
"K01937"	2.4892	1.6257	3.1481	0.1035
"K01223"	2.5865	2.6433	3.1154	0.3532
"K11749"	1.0767	3.0231	2.9472	0.167
"K01624"	2.3236	2.5319	2.9359	0.1685
"K01607"	2.2954	1.5842	2.9226	0.2577
"K01912"	3.1345	1.3599	2.901	0.1848
"K01945"	1.6921	2.8673	2.8469	0.1915
